17:5:001:1	Esther éí aláahgo naat'áanii áádóó Héíman yá áda'íísįįdjį' hágo yidííniid
17:5:001:0	Ákódzaadóó hodílzingo doo adą́ tágí jį́ azlį́į'go Esther éí naat'á éé' nizhóníii biih jííyáago aláahgo naat'áanii bighan bich'éédą́ą'gi haz'ání góne' yah ajííyá , áko aláahgo naat'áanii bibik'i dah asdáhí bikáá'dóó nahat'áii yikáá' dah sidáago binaashiidę́ę́' dziizį' .
17:5:002:0	Áko kóhóót'įįd : éí haz'ání góne' asdzą́ą́ naat'ááh Esther dzizį́įgo aláahgo naat'áanii hoołtsą́ągo bił jíílįįd , áko aláahgo naat'áanii bi'óola naat'á gish bílák'ee sitánígíí Esther yich'į' yideeztsih . Ákohgo Esther éí aláahgo naat'áanii bit'áahjį' jideeyáago óola naat'á gish bílátahdę́ę́' bizhdeelchid .
17:5:003:0	Áko aláahgo naat'áanii áhodííniid , Ha'át'íishą' naat'ááh nílíinii , Esther ? Ha'át'íishą' yíníkeed ? Aláahgo bee shóhólníihgo bił haz'áanii ałníí'dóo nidi naa didoot'ááł .
17:5:004:0	Áko Esther ázhdííniid , Aláahgo naat'áanii bił hóshǫ́ǫ́ ládą́ą́' bíni' díí jį́ aláahgo naat'áanii bá ída'íísįįdíjį' Héíman yił doo'ash .
17:5:005:0	Ákohgo aláahgo naat'áanii ádííniid , Esther ánínígíí íidoolííł biniyé Héíman tsį́įłgo nídoohłóós . Ákohgo aláahgo naat'áanii áádóó Héíman éí Esther ída'íísįįdjį' ní'áázh .
17:5:006:0	Áko ída'azįįdgi wáin yidlą́ągo aláahgo naat'áanii éí Esther áyidííniid , Ha'át'íishą' naa didoot'áałgo baa ná'iinikąąh ? Áko ha'át'íishą' yíníkeed ? Aláahgo bee shóhólníihgo bił haz'áanii ałníí'dóó shííníkeed nidi ná bohodoolnííł .
17:5:007:0	Ákohgo Esther ádííniid , Baa ná'iinishkąąhii áádóó yíníshkeedii éí díí :
17:5:002:1	Mórdiikai éí tsin bąąh dah bidi'doolt'eełii hasht'eelyaa
17:5:008:0	aláahgo naat'áanii shich'oha'néego shaa nitsíkeesgo baa ná'iinishkąąhgo yíníshkeedii éí aláahgo naat'áanii shadi'doo'áałgi bił yá'íít'ééh ládą́ą́' , bíni' yiską́ągo aláahgo naat'áanii bá ída'azįįd hodeeshłíiłjį' Héíman yił doo'ash , áko yiską́ągo t'áá aláahgo naat'áanii ádííniidígi ádeeshnííł .
17:5:009:0	Áko éí bijį́ Héíman bił hózhǫ́ǫgo índa bijéí bił nihoozhǫǫhgo dah diiyá . Nidi aláahgo naat'áanii bich'é'étiingóó dáń'dítį́hígi Mórdiikai doo t'áá k'ad yiizį'góó índa doo t'áá k'ad hideesnáá'góó éí Héíman yiyiiłtsą́ągo t'áá íiyisí Mórdiikai yich'į' báhóóchįįd .
17:5:010:0	Nidi Héíman éí t'áá bí t'óó déesyéelgo hooghangóó anáádzáago áadi bik'isóó danilíinii índa be'asdzą́ą́ Zííresh bíká i'jííł'a' .
17:5:011:0	Áko Héíman ayóó át'é jit'íinii bee ádaa hoji'niihii áádóó haye'ké danilíinii ánéelą́ą'gi bee bił hojoolne' ; bee ayahoniidlįįh t'áá át'é aláahgo naat'áanii bee bił jílíinii áádóó naat'áanii danilíinii índa aláahgo naat'áanii bá naal'a'í danilíinii biláahgo yá'át'éehgo náás hodeest'e'ígíí bee bił hojoolne' .
17:5:012:0	Náá'áłdó' Héíman hanáádzoodzíi'go ájíní , Asdzą́ą́ naat'ááh nilíinii Esther éí ída'azįįd hasht'eyiilaaígíí aláahgo naat'áanii doo ła' bił yah azhdoogááłgóó yee hooł'a' , nidi t'áá shí t'éiyá , áko yiską́ągo aláahgo naat'áanii bił hach'į' yah anáádeesht'ash .
17:5:013:0	Ákondi éí t'áá át'é doo bee shił hózhǫ́ǫ le' át'ée da , háálá Mórdiikai Jew dine'é jílį́įgo aláahgo naat'áanii bich'éédą́ą́'góó dáń'dítį́hígi dah dzizdáago náhoostsééh .
17:5:014:0	Ákohgo hwe'asdzą́ą́ Zííresh áádóó hak'is danilíinii t'áá ałtso ádahodííniid , Háni' tsosts'idiindóó ba'aan ashdla' ké silá áníłnéezgo tsin ła' hasht'edoolnííł , áko abínígo aláahgo naat'áanii ábididííniiłgo éí tsin hasht'eelyaaígíí bąąh Mórdiikai dah bidi'doodloh , áko bąą nił hózhǫ́ǫgo ída'azįįdgóó aláahgo naat'áanii bił díí'ash . Díí Héíman t'áá íiyisí bił yá'íít'ééh áádóó tsin bąąh dahodi'yiidleehígíí ádoolníiłgo yee hooł'a' .
