39:2:001:0	Náá'iiłniihii danohłíinii, díí k'ad bik'eh ó'oo' níiłii nihá át'é. 
39:2:002:0	Doo dashíínółts'ą́ą́'góó índa nihijéí tł'ááhdę́ę́' shízhi' doo baa dahohniih dago ts'ídá hóyé'ígi át'éego bee nihá hadeesdzihii nihik'ijį' kódeeshłííł. Áádóó bee nihik'ihojidlíii hóyée'go bá hadeesdzih; t'áá aaníí, t'áá íídą́ą́' hóyée'go bá haasdzíí', háálá t'áadoo bee ádiih tsídasookéez da, ní t'áá ałtsoní bee Bóhólníihii. 
39:2:003:0	Dashoołchíinii dadeeshchxǫǫł, índa hodílzingo áłah ná'ádleehgo náádahoołnii'ii bichaan nihinii'jį' bee deeshdlish áádóó éí bił ch'ínihidínéeshkał, jó'akon. 
39:2:004:0	Shibee aha'deet'áanii éí Líívai bá náás yit'ih dooleeł biniyé díí bik'eh ó'oo'níiłii nihich'į' kóshłaago nihił béédahózin doo, ní t'áá ałtsoní bee Bóhólníihii. 
39:2:005:0	Iiná áádóó ach'į' hózhǫ́ bee bił aha'dinisht'ą́; éí hodísin doo biniyé baa diní'ą́, áko shidísingo shízhi' bił nilį́į́ nít'éé'. 
39:2:006:0	Bee haz'áanii t'áá aaníinii yee yáłti'go doo ákwii ádaat'éii doo yee yáłti' da nít'éé'; ach'į' hózhǫ́ índa ts'ídá t'áá ákóne' át'éii biyi'góó shił yi'ash nít'éé', áádóó diné t'óó ahayóí ádił nida'iilzíihii yits'ą́ąjį' yił nináhaaskai. 
39:2:007:0	Náá'iiłniihii éí ił ééhózinii yee yáłti'go doo nahjį' kódooníił da nít'éé' áádóó bee haz'áanii bee diné nazhnitin doo nít'éé', háálá t'áá ałtsoní bee Bóhólníihii binaal'a'í jílį́. 
39:2:008:0	Nidi k'éhézdon honít'i' bits'áhóhjeehgo bąą áádóó t'áá ádzaagóó bee haz'áanii bee na'nitin biniinaa t'óó ahayóí ádił da'asiihgo Líívai bibee aha'deet'áanii daołchxǫ' lá, ní t'áá ałtsoní bee Bóhólníihii. 
39:2:001:1	Ízrel dine'é doo bada'ahódlíii bi'deesteh
39:2:009:0	Éí bąą diné t'áá ałtso binááł nihá nahat'i'go ánihiishłaa, háálá ánísht'éii doo bik'ehgo deínóhkáah da, nidi bee haz'áanii doo bik'ehgóó ał'oh át'éego baa nitsídasookééz lá. 
39:2:010:0	Ts'ídá t'áá áníiltso t'ááłá'í nihiTaa'. Diyin God ts'ídá t'ááłá'ígíí ánihiilaa. Áko haash yit'éego nihí t'ááłá'í niitínígo nihik'isóó binda'siidlo'go bee danihizhé'é yę́ę bibee aha'deet'áanii deiilchxǫ? 
39:2:011:0	Júdah dine'é na'adlo' nidayiisdéél índa Ízrel kéyahgi áádóó Jerúsalem kin haal'áagi doo yildinígi ádaadzaa; jó, Júdah dine'é éí diyin bidi'níinii bitsi' bá dzízyehgo hodiyingo haz'áanii éí Bóhólníihii ayóó'áyó'nínígíí doo diyingóó ájiilaa. 
39:2:012:0	Jéíkab dine'é dah yinééłdóó diné ła' kójíít'įįdígíí na'nitiní, doodaii' ídahooł'aahii, doodaii' t'áá háiida t'áá ałtsoní bee Bóhólníihii bich'į' náá'jiiłniihígíí éí Bóhólníihii áhółdįįh le'. 
39:2:013:0	Áko díigi ánáádaahdzaa. Bóhólníihii bibikáá' náá'iiniihí nihinák'eeshto' bik'i nidasoonil índa ádił háádaahdzołgo daahcha, háálá náádahołniihígíí doo yinízin da, doodaii' doo nihá néidiilée da. 
39:2:014:0	Nida'ídółkidgo ádadohní, Ha'át'éegoshą'? Ániid nanináádą́ą́' ne'asdzą́ą́ bina'ílo'go biniinaa nihita'gi Bóhólníihii oo'íinii nilį́į́ nít'éé'. Éí t'ahdii nich'ooní át'é nidi, bee aha'deet'áanii binahjį' ne'asdzą́ą́ silį́į́' nít'éé' nidi, ákódaohdzaa. 
39:2:015:0	Da' doósh Diyin God t'áá ła' sookéhígíí t'áá łah dinołt'éhígo ánihiilaa da? Índa éí bee iiná nihaa yiilé. Ha'át'íísh biniyé t'áá ła' sooké? Shoołchínígíí diyingo dayíkáah doo biniyé. Éí bąą ániid nanináádą́ą́' ne'asdzą́ą́ silį́į'ii t'áadoo bina'ílo'í. 
39:2:002:1	Aa hwiinít'įįh beidoołkááł t'áá áyídí hadziih
39:2:016:0	Háálá ałts'á'ít'aash jooshłxá, ní Ízrel biBóhólníihii Diyin God. T'áá na'níle'dii ó'oo'nííł bee bi'ée'go naagháhígíí ałdó' jooshłxá, ní t'áá ałtsoní bee Bóhólníihii. Éí bąą ádaa ádahołyą́ índa t'áadoo nihinda'adlo'í. 
39:2:017:0	Bóhólníihii nihizaad yąąh ch'ééh deeyá. Áko ádadohní, Haash yit'éego doo bił hózhǫ́ǫ́góó ádeiilyaa? Bóhólníihii binááł t'ááłá'í jinítínígo, T'áá íiyisí doo yá'áshóonii ájíít'įįdii éí yá'át'ééh índa éí bił hóshǫ́, dadohnínígíí biniinaa. Áádóó nida'ídółkidgo ádadohní, Diyin God t'áá ákogi át'éego ánihwii'aahiishą' háájí?
