40:23:001:1	Jesus éí bee haz'áanii yínda'niłtinii índa Férisii danilíinii yideezteh
40:23:001:0	Ákohgo Jesus éí diné haal'áhígíí índa bídahooł'aahii áyidííniid, 
40:23:002:0	Bee haz'áanii yínda'niłtinii áádóó Férisii danilíinii Mózes dah sidáá nít'éé' yę́ęgi dah naazdá; 
40:23:003:0	éí bąą yee nihił dahalne'ígíí t'áá ałtso bida'o ł'į́įgo baa naahkai, nidi ádaat'ínígi át'éego éí t'áadoo ádaaht'íní, háálá éí yádaałti', nidi doo yik'ehgo ádaat'į́į da. 
40:23:004:0	Hééł doo dashdooyééł át'éégóó nidaazgo yééda'atł'óohgo diné yiwosgi dah nídeigééh, nidi t'áá bí t'éiyá dabílázhoozh t'ááłá'í nidi doo t'áá k'ad yee yidadeesnii' da. 
40:23:005:0	Nidi ádaaníłígíí éí t'áá ałtso t'óó bee dabidi'níl'į́ yiniyé ádaat'į́, háálá Diyin God bizaad bee ak'e'ashchínígíí biyi'dóó saad łahgo dah naazhjaa' bizis danteelgo ádeile'go bídaastł'ǫ́ áádóó dabi'éé' bijánil danineezgo ádeile', 
40:23:006:0	áádóó áda'azįįdgóó índa kin bii' áłah nída'adleehí naaznil biyi'góó aląąjį' naazíinii bá nidahaz'ą́ą́góó bił ayóó ádahoot'é, 
40:23:007:0	índa nida'iiniihgóó diné k'é dabiłníigo, índa na'nitiní, dabiłníigo bił ayóó ádaat'é. 
40:23:008:0	Nidi na'nitiní t'áadoo bee danihi'dójíhí, háálá t'ááłá'í nihiNa'nitiní nilį́, áádóó nihí t'áá ánółtso ałk'isóó danohłį́. 
40:23:009:0	Áádóó nahasdzáán bikáa'gi diné ła' shizhé'é t'áadoo dabidohníní, háálá t'ááłá'í nihiTaa' nilį́, éí yá'ąąshdi hólǫ́. 
40:23:010:0	Índa bóhólníihii t'áadoo danihi'di'níní, háálá t'ááłá'í nihiBóhólníihii, éí Christ. 
40:23:011:0	Nidi nihitahgóó aláahgo ayóó át'éhígíí éí nihá naal'a' doo, 
40:23:012:0	áádóó t'áá háiida ayóó ájít'é ízh'dólzinígíí éí a'ohgo ájít'éego áhodi'doolnííł, áádóó t'áá háiida a'ohgo ádaa nitsídzíkeesígíí éí ayóó át'éii jílį́įgo áhodi'doolnííł.  
40:23:013:0	Nidi bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá yá'ąąshii bee bóhólníihgo bił haz'áanii diné bits'ą́ą́' bidáń'da'dołkał, háálá t'áá nihí nidi doo yah adaahkáah da, índa k'adę́ę yah adaakáhígíí nidi, yah adadookahgi bąąh daah'į́. 
40:23:014:0	[Bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá asdzání bąąh ádahasdįįdii dabighan baa nidahodohkai, áádóó t'óó ádahodoł'į́įgo nízaadgóó sodadołzin; éí bąą nihí aláahdi át'éego nihá nidahodoot'ááł.] 
40:23:015:0	Bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá t'ááłá'í nidi ła'da t'áá nihí nidahohłáhígi át'éego nahałá ádadoohłííł biniyé tónteel bikáá'góó índa ni' bikáá'góó t'áá át'éé nít'éé' nídadohkah, áko ła'da éigi át'éego nahałá ádaał'įįhgo naakidi nihiláahdi ánát'éego hool'áágóó ti'hoo'nííh bił haz'áanii yą́ą́h nilį́įgo ádaał'įįh. 
40:23:016:0	Nihí doo da'oh'į́į́góó nida'oh'eeshii doo hojooba' ájíníi da, háálá ádadohní, T'áá háiida kin bii' sohodizin bee ádee hadziidziihígíí éí t'áadoo át'éhí da, nidi t'áá háiida kin bii' sohodizin góne' óola hólónígíí bee ádee hadziidziihígíí, t'áá éí bá nijitłizh. 
40:23:017:0	Nihí doo da'oh'į́į́góó t'óó ádahodoołgisii! Háishą' aláahgo ayóó át'é, óola daats'í, éí doodago kin bii' sohodizin óola diyingo áyósinígíí daats'í? 
40:23:018:0	Áádóó t'áá háiida bikáá' náá'iiniihí bee ádee hadziidziihígíí, éí t'áadoo át'éhí da, nidi t'áá háiida bikáá' náá'iiniihí bikáa'gi nehelyéhígíí bee ádee hadziidziihígíí, éí bá nijitłizh, dadohní. 
40:23:019:0	[Doo ádahołyą́ą́góó] doo da'oh'íinii! Háishą' aláahgo ayóó át'é, nááhániihii daats'í, éí doodaii' bikáá' náá'iiniihí éí nááhániihii diyingo áyósinígíí daats'í? 
40:23:020:0	Éí bąą t'áá háiida bikáá' náá'iiniihí bee ádee hadziidziihígíí, t'áá éí índa bikáa'gi nehelyéhígíí t'áá ałtso bee ádee hadziidziihgo át'é, 
40:23:021:0	áádóó t'áá háiida kin bii' sohodizin bee ádee hadziidziihígíí, t'áá éí bee índa yiyi' kééhat'ínígíí bee ádee hadziidziihgo át'é, 
40:23:022:0	áádóó t'áá háiida yá'ąąsh bee ádee hadziidziihígíí, Diyin God yikáá'dóó naha'áii índa t'áá éí yik'i dah sidáii bee ádee hadziidziihgo át'é.  
40:23:023:0	Bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá ch'il, tólchiin áádóó dil índa kómin daolyéhígíí neeznáá daníjoolígíí éí t'ááłá'ígo shijool Diyin God baa nídahidoh'aah, nidi bee haz'áanii biyi'dóó aláahgo ádaat'éii t'áá ó'ólne' góne' át'éii áádóó aa a'ááh hasin índa oodlą́ éí doo baa áńdahodółt'į́į da. Éí baa nidaahkai dooleeł nít'éé' áádóó ła'ígíí ałdó' t'áá bił baa naahkai doo nít'éé'. 
40:23:024:0	Nihí doo da'oh'į́į́góó nida'oh'eeshii, bee ha'al'eełí bee tsiiyánii hadahoł'eeł, nidi ghą́ą́'ask'idii adahołneeh! 
40:23:025:0	Bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá bee adlání índa łeets'aa' bikáá'dę́ę́' t'éiyá táádaahgis, nidi agha'ílyé áádóó áchą́hwíídéeni' bii' hadadeezbin. 
40:23:026:0	Férisii nílíinii doo ííní'íinii! Bee adlání índa łeets'aa' bikáá'dę́ę́' ałdó' chin bąąh ádin dooleeł biniyé áłtsé biyi' tááhógis. 
40:23:027:0	Bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá kin bii' yóó'áda'alne'ii bikáá'dę́ę́' łigaigo daashdléezhgo ayóó ádanoolnin, nidi biyi'di diné daneeznáanii bits'in índa doo yá'ádaashóonii t'áá ałtso hadadeezbinígíí nidahonohłin. 
40:23:028:0	T'áá ákót'éego nihí ałdó' t'áá ákogi ádanoht'é nidahonohłingo danihidi'níl'į́, nidi t'óó áhodí'į́ índa doo ákǫ́ǫ́ át'éii nihii' hadadeezbin. 
40:23:029:0	Bee haz'áanii bínda'nołtinii índa Férisii danohłíinii, t'óó ádahodoł'íinii, doo hojooba' ájíníi da! Háálá Diyin God yá dahalne'ii yę́ę dabijishcháá' bikáa'gi kin danizhónígíí ádaahłe', bee béédahaniih biniyé, áádóó diné t'áá ákogi ádaat'éii yę́ę dabijishcháá' bikáa'gi bee bééhániih biniyé ha'át'íida nidaas'nilii nidaahch'ąąh. 
40:23:030:0	Áko ádadohní, Danihizhé'é bídayéełkaah yę́ędą́ą́' dahinii'náago, Diyin God yá dahalne'ii nideistseedgo bidił bits'ádaazlį́ yę́ę doo bitah dasiidlį́į' da doo nít'éé'. 
40:23:031:0	Jó, nít'éé' Diyin God yá dahalne'ii nideistseed yę́ę ba'áłchíní danohłį́įgo t'áá nihí ádaa dahołne'. 
40:23:032:0	Hágoshį́į́ lą́ą, danihizhé'é bąąhági át'éii yaa naaskai yę́ę bíighah da'ohłeeh. 
