40:17:001:1	Łahgo ázhnoolningo áho'diilyaa
40:17:001:0	Áko hastą́ą́h yiską́ą́dóó bik'ijį' Jesus, éí Peter áádóó James índa bitsilí John ałdó' dziłghą́ą́'góó t'áá sáhí hajizh'eezh. 
40:17:002:0	Ákohgo t'áá binááł łahgo ázhnoolningo áho'diilyaa, hanii'jį' jį́honaa'éí nahalingo bits'ádi'nílííd silį́į́', ha'éé' łigaigo bee adinídíín nahalin silį́į́'. 
40:17:003:0	Áádóó jó'akon, Mózes índa Iiláíjah éí Jesus yił ałch'į' yádaałti'go dajiiłtsą́. 
40:17:004:0	Áko Peter éí Jesus áyidííniid, Bóhólníihii, kwe'é neiikaígíí dooládó' yá'át'éeh da; íinínízin ládą́ą́' kwe'é chaha'oh táa'go nidadii'nił, ła' ni ná, ła' éí Mózes bá, áádóó ła' éí Iiláíjah bá. 
40:17:005:0	Áko t'ah yájíłti'go jó'akon, k'os bits'ádi'nílíidgo hoł łeeshoogizh, áko biyi'dę́ę́' iinéé' diists'ą́ą'go ání, Díí shiYe' ayóó'óósh'níinii jílį́, t'áá íiyisí hąą shił hózhǫ́; dahwíísółts'ą́ą́'. 
40:17:006:0	Hódahooł'aahii díí deidiizts'ą́ą'go, tsé'yaa aníídee'go t'áá íiyisí nídaasdzíidgo bił dahodííyįįd. 
40:17:007:0	Áko Jesus hach'į' dah diiyáago hohidilchíidgo áháłní, Nídoohjeeh, t'áadoo nídaałdzidí. 
40:17:008:0	Áko dazhdéé'į́į́', nít'éé' t'áadoo diné ła' dajiiłtsání da, t'áá hazhó'ó Jesus t'éiyá. 
40:17:009:0	Áko dziłghą́ą́'dę́ę́' hadah níjookahgo Jesus kót'éego hach'į' haadzíí', Nihił ádzaaígíí diné ła'da t'ááká bee bił dahoołne' yíila', Diné Silį́į'ii daaztsą́ą́dę́ę́' náádiidzáago índa. 
40:17:010:0	Áko hódahooł'aahii kódaaníigo nidahódééłkid, Ákoshą' ha'át'íí biniyé bee haz'áanii yínda'niłtinii éí Iiláíjah áłtsé doogááł daaní? 
