40:4:001:1	Jesus bóhodi'neestą́ą́'
40:4:001:0	Nít'éé' níłch'i bida'iiníziinii binanit'a'í Jesus nayídínóotah biniyé Jesus éí Níłch'i Diyinii honoojíígóó abíísá. 
40:4:002:0	Áko t'áadoo ajiyání dízdiin jį́ índa dízdiin tł'éé' azlį́į́'dóó bik'ijį' índa dichin dzizlį́į́'. 
40:4:003:0	Áko na' íńtaahii haa níyáago áháłní, Diyin God biYe' nílį́į́ ládą́ą́' díí kǫ́ǫ́ tsé naaznilígíí bááh nídadoodleełgo bá handziih. 
40:4:004:0	Jesus haadzíi'go ání, Diyin God bizaad bee ak'e'ashchíinii kóní:Diné doo bááh t'éí yee hináa da doo,nidi saad t'áá ałtso Diyin God yee hahadziihii yee hináa doo.  
40:4:005:0	Áko níłch'i bida'iiníziinii binanit'a'í éí diyingo kin haal'áágóó hoł ní'áazhgo áadi kin bii' sohodizin bikáá'dóó dego yaa'áhígíí bílátahgi dah hwiisį'go, 
40:4:006:0	ánááhodi'ní, Diyin God biYe' nílį́į́ ládą́ą́' kodóó hadah dah diilyeed, háálá kót'éego bee ak'e'ashchį́:Diyin God éí bidiyingo nidaal'a'í naa ádahalyą́ągo íidoolííł,bíla' yee dah daníłteehgo doo tsé bik'ą́ą́h didííltał da.  
40:4:007:0	Áádóó Jesus éí níłch'i bida'iiníziinii binanit'a'í ánéidoo'niid, Jó, Diyin God bizaad bee ak'e'ashchíinii ałdó' ání, Bóhólníihii nihiDiyin God t'ááká nabínóótaah lágo. 
40:4:008:0	Náá'áłdó' níłch'i bida'iiníziinii binanit'a'í dził aghánáhóó'áajį' hoł hanáánásht'áazhgo, nahasdzáán bikáa'gi bee ídahólníihgo bił nahaz'áanii áádóó yee ayóó ádaat'éii t'áá ałtso hoł yit'íní áyiilaa, 
40:4:009:0	áádóó áháłní, Shich'į' nitsidíínígo'go áádóó shich'į' nahosínísáago díí t'áá ałtso naa dideesh'ááł. 
40:4:010:0	Nít'éé' Jesus ánáádí'ní, Yówehdi naniná, Séítan! Háálá Diyin God bizaad bee ak'e'ashchíinii ání:Bóhólníihii niDiyin God bich'į' nahółáa doo,áádóó t'áá bí t'éiyá bá nanil'a' doo.  
40:4:002:1	Gáliliigi Jesus éí Hane' Yá'át'éehii yaa aho'niilne'
40:4:011:0	Ákohgo índa níłch'i bida'iiníziinii binanit'a'í hak'i deeyáago dahodiile'. Áádóó jó'akon diyingo nidaal'a'í haa haaskaigo há chodaoz'įįd. 
40:4:012:0	Jesus éí John yah abi'doolt'e'ígíí jíínii'go Gálilii kéyah góne' ajííyá, 
40:4:013:0	áko Názarethdóó dashdiiyáago Zébyulan áádóó Náftalai kéyah biyi' Kapérniyam hoolyéhígi be'ek'id bąąhgóó kééhojit'į́į́ nít'éé'. 
40:4:014:0	Diyin God yá halne'ii Aizéíyah kóníigo yee haadzíi'ii bohodoolnííł biniyé áadi kééhojit'į́į́ nít'éé': 
40:4:015:0	Zébyulan kéyah áádóó Náftalai kéyah,tooh Jórdan bilááhdóó, be'ek'id bich'į'go Gálilii kéyahgi,doo Jew dine'é danilíinii kéédahat'į́. 
40:4:016:0	Diné éí chahałheeł yii' kéédahat'į́į́ nít'é'ígíí ayóó át'éego adinídíingo dayiiłtsą́,áádóó anoonééł nahaz'ą́ą́góó índa bichaha'ohgóó nidaháaztą́ą́ nít'é'ígíí bił ch'ída'deezdláád.  
40:4:003:1	Jesus éí łóó' hadayiileehí dį́lt'éego yíká ádííniid
40:4:017:0	Éí hoolzhish yę́ędóó wóshdę́ę́' Jesus aho'niilne'go ání, Łahgo át'éego Diyin God bich'į' tsíńdahidohkeesgo ádił nida'iyohsíihii bits'áhóhkááh, háálá yá'ąąshii bee bóhólníihgo bił haz'áanii bílátah dahashzhiizh.  
40:4:018:0	Áko Gálilii be'ek'id bąąhgóó joogááł, nít'éé' diné t'áá ła' háá'áazhgo, ła' Sáíman éí Peter wolyéhígíí, áádóó bitsilí Andrew, łóó' bee hahaltsósí taah yiłtsóosgo jiiłtsą́, háálá éí łóó' hayiileehí nilį́. 
40:4:019:0	Áádóó ábizhdííniid, Tį', shikéé' woh'ash, áko łóó' hayiileehí nahalingo diné náhółbįįhgo ánihideeshłííł. 
40:4:020:0	T'áá áko hałóó' bee hahaltsósí t'áá ákǫ́ǫ́ nizhnínilgo bikéé' dashdii'áázh. 
40:4:021:0	Áádóó dah náázdiidzáago Zébedii biye'ké t'áá ła' háá'áazhii nilį́įgo, éí James áádóó bitsilí John, bizhé'é Zébedii tsinaa'eeł biyi' yił naháaztą́ągo łóó' bee hadahaltsósí hasht'éédeidle'go jiiłtsą́, áádóó hágo bizhdííniid. 
40:4:004:1	Hasłą́ą́góó Jesus aho'niilne'
40:4:022:0	T'áá áko tsinaa'eeł t'áá ákǫ́ǫgo hazhé'é bits'ą́ą́' dashdii'áázh, áádóó Jesus bikéé' jiní'áázh. 
40:4:023:0	Gálilii kéyahgóó t'áá níłtéél nít'éé' kéédahat'ínígíí bikin yii' áłah nídaadleehí naaznilgóó Jesus nazh'nitingo, áádóó aláahgo bee óhólníihgo bił haz'áanii baa hane' yá'át'éehii baa hojilne', índa diné bitahgóó naałniih bąąh dahólóonii t'áá ałtso áádóó ka nidaakaígíí t'áá ałtso hadaałt'é ándajidle'go tázhdííyá. 
40:4:024:0	Áko Síriya kéyah biyi'góó t'áá át'éé nít'éé' bee haa ha'niihígíí dadideezdláád, áádóó ka nidaakaígíí t'áá ałtso t'áá da'níł'ąą ádaat'éego bąąh dah nahaz'ánígíí áádóó dadiniihígíí índa níłch'i bi'iiníziinii biyi' dahólónígíí, áádóó tsi'nídadikahígíí índa bitah doo nidahwii'nánígíí haa dayiizhjaa'go hadaałt'é áńdajiidlaa. 
40:4:025:0	Áko Gálilii kéyahdę́ę́' índa Diikápolisdę́ę́' áádóó Jerúsalemdę́ę́' áádóó Judíyadę́ę́' índa Jórdan tooh wónaanídę́ę́' diné nidahaaskaigo t'óó ahayóí hakéé' naanánooyééł.
