52:5:001:1	Pen . v .
52:5:002:1	Espesu yddyn am ddydd brawd ac am ddyvodiat yr Arglwydd y mae . Gau eu hannoc y wiliad , A’ synnyed ar y ei ’sy’n precethu gair Duw yn y plith wy .
52:5:001:0	AC am yr amsereu a’r prydieu , vroder , nyd rait yvvch scrivenu o hanof atoch .
52:5:002:0	O bleit chvvi eich vnain a wyddoch yn espes , can ys y daw dydd yr Arglwydd ys mal lleitr o hyd nos .
52:5:003:0	Can ys pan ddywetont , Tangneddyf , a’ diogelwch , yno y daw arnynt ðestrywiad disymuth , megis gofid gwraic veithioc wrrh escor , ac ny’s ddiangant .
52:5:004:0	Anyd chvvychvvi vroder , nyd ydych yn‐tywyllwch , val y delei y dydd hwnw arnoch , megis lleitr .
52:5:005:0	A’ chvvichwy oll plant y golauni ytych , a’ phlant , y dydd : nyd ym ni i’r nos , nac i’r tywyllwch .
52:5:006:0	Sef gan hyny na chyscwn val eraill , eithr gwiliwn , a’ byddwn ddiwyd .
52:5:007:0	Can ys yr ei a gyscant , y nos y cuscant , a’r ei a veddwant , y nos y meddwant ,
52:5:008:0	Eithyr nyni ac yn blant ir dydd , byddwn ddiwyd , gan wisco am danom ðwyfronnec y ffydd a’ chariat , a’ gobaith yr iechedwrieth yn lle helym .
52:5:009:0	Can na ddarparawdd Duw nyni y ðiglloni , anyd er caffaeliad iechedvvrieth , trwy vvaith ein Arglwydd Iesu Christ ,
52:5:010:0	yr hwn a vu varw trosam , val ai gwiliem ai cuscem , y byddem vyw nghyd gyd ac ef .
52:5:011:0	Erwydd paam cygcorwch eu gylydd , ac adeilwch bop vn eu gylydd , megis ac ydd ych yn gwneuthur .
52:5:012:0	Ac ni atolygwn ywch vroder , adnabot yr ei , a lavuriant yn eich plith ac a ynt ich llywodraethu yn yr Arglwydd , ac yn eich cygcori ,
52:5:013:0	a’ rhowch eich traserch arnynt er mwyn y gwaith wy . Byddwch dangneddyfus yn eich plith eichunain .
52:5:014:0	A’ ni ddeisyfwn arnoch , vroder , rhybyddiwch yr ei anllywodraethus : diddenwch y rhai gwan veðwl : cynhaliwch y gweniait : byddwch ymarous wrth bavvp oll .
52:5:015:0	Gwelwch na thalo neb ðrwc dros ðrwc y nebun : eithr yn ’oystatol dilynwch yr hyn sy dda , ’sef y chwi ychunain , ac y bawp eraill .
52:5:016:0	Byddwch lawen yn ’oystadol
52:5:017:0	Gweddiwch eb peidio .
52:5:018:0	Ym‐pop dim dyolchwch : can ys hyn yw wyllys Duw in‐Christ Iesu tu ac atoch .
52:5:019:0	Na ddiffoddwch yr Yspryt .
52:5:020:0	Na thremygwch brophwytoliaeth .
52:5:021:0	Provwch bop dim , ac atdeliwch yr hyn ’sy dda ,
52:5:022:0	Ymgedwch rac pop cyfrith drigioni .
52:5:023:0	Ac ys Duw y tangneddyf a’ch sancteiddio yn oll gwbl : a’ phoed eich cyfan yspryt a’ch eneid ach corph , a gatwer yn ddihawl erbyn dyuodiat ein Arglwydd Iesu Christ .
52:5:024:0	Ys ffyddlon yw’r hwn ach galwodd , yr vnhefyt ei gwna .
52:5:025:0	Brodur , gweddiwch trosam .
52:5:026:0	Anerchwch yr oll vrodyr a’ chusan sanctavvl .
52:5:027:0	Ydd wyf yn ych noddio yn yr Arglwyð , ar vot ddarllen yr epistol hwn ir oll Sainct vroder .
52:5:028:0	Rat ein Arglwydd Iesu Christ y gyd a chwi , Amen . *Yr epistol cyntaf ad y Thessaloniceit a scrivennwyt o Athen .
