52:1:001:1	Pen . j .
52:1:002:1	Y mae ef yn diolch y Dduw drostwyn , y bot hwy mor ðiyscoc yn ffydd a’ gweithrededd da , Ac yn derbyn yr Euangel mor
52:1:003:1	*
52:1:004:1	brysur
52:1:005:1	ddyfri , val y maent yu esempl i bawp eraill .
52:1:001:0	PAul ac Siluanus , a’ Thimotheus , at Eccles y Thessaloniceit , rhon ’sy yn Duw Tat ac yn yr Arglwydd Iesu Christ : Rat y gyd a chwi , a’ thangneðyf y gan Duw ein Tat , a’ chan yr Arglwydd Iesu Christ .
52:1:002:0	Ydd ym yn diolch y Dduw yn’oystatol y troso‐chwi oll , gan wneuthur coffa am danoch yn ein gweðieu
52:1:003:0	yn ddibaid , gan goffau eich grymiol ffydd , a’ch diwyd gariat ac ymaros eich gobeith yn ein Arglwydd Iesu Christ rac bron Duw ’sef ein Tat ,
52:1:004:0	gan yni wybot , vroder caredigion , eich bot yn etholedigion y gan Dduw .
52:1:005:0	Can ys ein Euangel ni ny bu yn‐gair yn vnic , eithr hefyt ym meðiant , ac yn yr Yspryt glan , ac yn‐dilysrwydd mawr , megis y gwyddoch ba ryw vodd ydd oeddem yn eich plith er eich mwyn .
52:1:006:0	A’ chwi vuoch yn ddilynwyr i ni , ac ir Arglwydd , ac a dderbyniesoch y gair yn‐gorthrymder mawr , y gyd a llawenyð gan yr Yspryt glan ,
52:1:007:0	val yr oeddech yn esemplae ir sawl oll a credant ym Macedonia ac Achaia .
52:1:008:0	Cā ys y wrth‐y‐chwi y soniawdd gair yr Arglwydd , nyd ym‐Macedonia ac in Achaia yn vnic : eithr : eich ffydd chvvi hefyt yr hon ’sy ar Dduw , aeth ar lled ym‐pdp ban , val na rait i ni ddywedyt dim .
52:1:009:0	Can ys yntwy a venagant am danoch pa ryw fforddliat y mewn y gawsam atoch , a’ pha wedd yr ymchwelesoch at Dduw y wrth ddelwae , i wasanaethu y byw a’r gwir Dduw ,
52:1:010:0	ac y edrych am y Vap ef o’r nefoedd , yr hwn a gyvodes ef o veirw , ’sef Iesu yr hwn a’n gwared ni rac y digofeint ’sy ar ddyvot .
