52:3:001:1	Pen . iij .
52:3:002:1	Dangos y mae vaint y serch yddwynt can yddaw ddanvon Timotheus atwynt , A’ hefyd am y vot yn gweddiaw drostwynt .
52:3:001:0	AM hyny can na allem ymattal a vei hwy , ys tybiesam vod yn oreu y ni aros yn Athen ein vnain ,
52:3:002:0	a’ hebrwng Timotheus ein brawt a’ gwenidawc Duw , a’n cydweithwr yn yr Euangel Christ , ich cadarnhau , ac ich confforto yn‐cylch eich ffydd ,
52:3:003:0	val na chynnyrfyt neb o bleit y gorthrymderae hyn : can ys chvvichvvi ychunain a wyddoch , ein darparu ni y hynny .
52:3:004:0	Can ys yn wir pan oeddem y gyd a chwi , ys rac ðywedesam ywch’ y byddei y ni gahel gorthrymdereu , vegis ac y darvu , ac y gwyddoch .
52:3:005:0	Sef o bleit hyn , pryd na allwn ymattal yn hwy , ys auvonais ef y ymwybot y wrth eich ffydd , rrac darvot ir temptiwr eich temptio mewn neb ryw vodd , a’ myned o ein gwaith yn wac .
52:3:006:0	Eithr yn hwyr yr owhon gwedy dyvot Timotheus odd ywrthych atom , a’ menegi y ni ddaeoni am ych ffydd a’ch cariat , a’ch bod yn cadw cof da am danam yn ’oystadol , gan ðeisyfu cahel ein gweled , vegis ac ydd ym ninheu am danoch chwitheu ,
52:3:007:0	am hyny , vroder , in confforthit ni ynoch , yn ein ol’ orthymder a’n angenoctit trwy ych ffydd chwi .
52:3:008:0	Can ys yr awrhon ydd ym yn vyw , a’d yw chwi yn sefyll yn ddyfal yn yr Arglwydd .
52:3:009:0	Can ys pa ddyolvvch allwn ni y ad‐talu y Dduw ydrosoch am yr oll llawenydd a’r yð ym yn llawenychu er eich mwyn gar bron ein Duw ,
52:3:010:0	nos a’ dydd yn tra gweddiaw ar weled o hanam eich wynep , a chyflawny y sydd yn eisieu ich ffydd ?
52:3:011:0	Ac yntef y Duw , ’sef ein Tat , a’r Arglwydd Iesu Christ , a vniono ein ffordd atoch ,
52:3:012:0	a’r Arglwydd a’ch lliosoco ac a’ch amplao yn‐cariat y gylydd , ac y bawp oll , megis ac ydd ym ni y chwi :
52:3:013:0	er goystatau eich calonae yn ddigwliedic yn sancteidd geyr bron Duw ’sef ein Tad , yn‐dyuodiat ein Arglwyd Iesu Christ y gyd ai oll Sainctæ .
