52:2:001:1	Pen . ij .
52:2:002:1	Er mwyn na ddeffigient y dan y
52:2:003:1	*
52:2:004:1	groes
52:2:005:1	groc , Y mae ef yn cymmēnu y astudrwydd yhun yn precethu , ar vn yddynt wy yn vvyddhau . Y mae yn ym escuso am y vot ymaith ac na allei ddyvot ac egluro ei galou yddwynt .
52:2:001:0	CAn ys chvvi ychunain a wyðoch vrodur , y ein fforddiat y mevvn atoch na vu yn over .
52:2:002:0	Eithr a’ gwedy y ni racddyoddef a’ chael anvri yn Phillippi ( val y gwyddoch ) ys buom hyderus yn ein Duw , y ddywedyt ywch Euangel Dduw gan vawr ymdrino :
52:2:003:0	Can ys ein annoc ni nyd oedd wrth hoccet , nac wrth aflendit , nag wrth ddichell .
52:2:004:0	Eithr val ydd oeddem yn gymradwy gan Dduw , val yr ymddiriedit y ni am yr Euangel , velly ydd ym yn ymadrodd , nyd val’rei a rengant bodd y ddynion , anyd y Dduw , yr hwn a braw ein calonae .
52:2:005:0	A’ chwaith nyd arveresam erioed ac ymadrodd gweiniaithus val y gwyddoch , nac echlusur i gupydddot , Duw yn test .
52:2:006:0	Ac ny cheisiasam voliant gan ðynion , na chan y chwi , na chan eraill , pan allesem vot yn bwys , val Apostolion Christ :
52:2:007:0	eithr ydd oeddem yn dyner yn eich cyfrwng , ’sef megis mamaeth yn cynnesu hei phlant .
52:2:008:0	Mal hyn can hoffed ywch genym , rhwyð wyllysio yð oeðē gyfranu y‐chwy , nyd yn vnic Euangel Dduw , anyd hefyt ein enedieu ein vnain , can ys ych bot yn anwyl genym .
52:2:009:0	Can ys cof genych vroder , ein llavur a’n poen : can ys gweithiem ddydd a’ nos , rac pwyso ar yr vn o hanoch , ac a precethē y chwi Euāgel Dduw .
52:2:010:0	Testion ydy chwi , a’ Duw hefyt , mor sanctaidd , ac mor gyfiawn , ac mor ddiargywedd yr ymddugesam yn eich plith yr ei ’sy yn credu .
52:2:011:0	Megis y gwyddoch val ych cygcorem , ac y conffortem , ac yr ervyniē y bop vn o hanoch ( megis tad am ei blant )
52:2:012:0	ar ywch rodio yn deilwng i Dduw , ’rhwn ath galwoð y’w deyrnas a’i gogoniant .
52:2:013:0	O bleit hyn hefyt y diolchwn y Dduw yn ddibait , am’ywch pan dderbyniesoch y genym gair pregeth Dduw , na’s derbyniesoch mal gair dyn , eithyr val y mae yn ddilys yn ’air Duw , yr hwn hefyt ’sy yn gweithio ynoch y ’sawl a credant .
52:2:014:0	Can ys vroder , chvvi aethoch yn ddilynieit y Eccles Duw , yr ei yn Iudaia ynt in‐Christ Iesu , can y chwy hefyt ddyoddef yr vnryw betheu gan wyr‐eich‐gwlad , ac wyntwy gan yr Iuddaeon ,
52:2:015:0	yr ei ac a laddent yr Arglwyð Iesu a’i Prophwyti y hunain , ac a’n ymlidieson nine a’ Duw ny voddhant , ac ynt yn erbyn pop dyn ,
52:2:016:0	ac yn ein gohardd i precethu ir Genetloedd , val yr iachëid hwy , y gyflawny eu pechotae yn ’oystatawl : can ys digofein Duvv a ddeuth arnyn , yd yr eithav .
52:2:017:0	Can ys vroder , darvot ein gwneuthur yn ymddifaid am danoch dros ychydic amser , yn‐golwc , ac nyd yn‐calon , mwy astud vuam y geisio gweled eich wynep , gan vawr ddamuned .
52:2:018:0	Am hyny yr oedd ein wyllys y ddyvot atoch ( mivi Paul , ys vnwaith neu ðwyaith ) anyd rwystro o Satan nyni .
52:2:019:0	Cnn ys peth yw ein gobaith neu ’n llawenydd , neu goron ein gorvoledd ? anyd ys chwychvvi yn‐gwydd ein Arglwyð Iesu Christ yn y ddyfodiat ef ?
52:2:020:0	sef chvvychwi yw’n gogoniant a’n llewenydd .
