12:21:001:1	Manáseh nant'áá nít'éé'
12:21:001:0	Manáseh naakits'áadah binááhaigo aláahgo nant'á silį́į́', áko Jerúsalemgi nant'áago ashdladiindóó ba'aan ashdla' nááhai. Bimá éí Héfzibah wolyé. 
12:21:002:0	Bóhólníihii éí Ízrel dine'é bitahdóó ał'ąą dine'é doo daaldinii yaa naakaigo ch'íniiníłkaadii t'áá éí bik'ehgo Bóhólníihii binááł doo yá'ádaashóonii yaa naayá. 
12:21:003:0	Áko hazhé'é Heziikáíyah yę́ę ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaii niyiishchxǫ'ígíí áńdajiidlaago Ízrel dine'é aláahgo binanit'a'í Éíhab áát'įįdígi át'éego Béíyal bá bikáá' náá'iiniihí áádóó asdzání be'elyaii ájiilaa, índa yót'ááh hiníláii yich'į' nahałáago yaa naagháá nít'éé'. 
12:21:004:0	Áádóó Bóhólníihii éí, Jerúsalemgi shízhi' bohoolyée dooleeł, níí nít'éé' yę́ęgi Bóhólníihii bikin bii' sohodizin góne' bikáá' nááda'iiniihí ádayiilaa. 
12:21:005:0	Áko Bóhólníihii bikin bii' sohodizindóó tł'óo'di naakigo haz'ánígíí bii' yádiłhił bii' dahiníláii t'áá ałtso bikáá' nááda'iiniihí yá ádayiilaa. 
12:21:006:0	Índa haye' didlidgo náájiisnii' áádóó álíleego bee ééhózingo bee nahagháii áádóó da'diłgąshii áádóó ch'į́įdii yádabiiłti'ii índa ihwiinidzin chodayooł'į́, áko t'áá íiyisí doo yá'ádaashóonii Bóhólníihii binááł yaa naagháago yee yáhóółchįįd. 
12:21:007:0	Áádóó Bóhólníihii éí David yę́ę áádóó biye' Sálaman yę́ę áyidííniid, Díí kin bii' sohodizingi áádóó Jerúsalem kin haal'áagi Ízrel dine'é t'áá ałtso bitahdóó náhodii'ánígi shízhi' bee wójíigo ahóyéel'áa doo, nínígíí ákwii asdzání be'elyaii áyiilaago éí kin bii' sohodizin góne' yiyiisį'. 
12:21:008:0	Áádóó Bóhólníihii ádííniid, Bee hoséł'áanii t'áá át'é áádóó bee haz'áanii t'áá át'é éí shá naal'a'í Mózes hach'į' yee haadzí'ígíí bik'eh dahojíł'į́įgo dahazhé'é yę́ę kéyah baa diní'áanii bits'ą́ą́dóó doo nahjį' kónááhodeeshdlíił da. 
12:21:009:0	Nít'éé' doo da'íists'ą́ą' da, áko Bóhólníihii éí Ízrel dine'é bits'ą́ą́dóó ał'ąą dine'é íísdįįdígíí ádáát'įįdii t'ah biláhídi át'éego Manáseh éí doo yá'ádaashóonii yiih hóó'eezhgo éí baa nidziskai. 
12:21:010:0	Áko Bóhólníihii bá nidaal'a'í bá dahalne'ii yee hahaasdzíi'go ání, 
