12:8:001:1	Shúnemdóó asdzání bikéyah baa nídeet'ą́
12:8:001:0	Nít'éé' Iiláísha éí asdzání biyáázh hináago ánáyiidlaaígíí yich'į' haadzíi'go ání, Nídiidáahgo nighandóóígíí bił dah diinéehgo háágóó shį́į́ doohnéełgo áadi nihighan doo, háálá Bóhólníihii hodidoochįįłii yee haadzíí', áádóó tsosts'id nááhaijį' ákót'ée doo. 
12:8:002:0	Áádóó Diyin God yá naal'a'í yee haadzí'ígíí bik'ehgo asdzání bighandóóígíí yił dah diináago Filístiya dine'é bikéyahdi jinínáago áadi tsosts'id hwéédááhai. 
12:8:003:0	Nít'éé' tsosts'id nááhaigo asdzání éí Filístiya dine'é bikéyahdę́ę́' ch'ééjí'náago haghan áádóó hakéyah baa níjookąąh doo biniyé aláahgo naat'áanii baazhníyá. 
12:8:004:0	Íídą́ą́' aláahgo naat'áanii éí Diyin God yá naal'a'í Giihéízai yich'į' yáłti'go ání, Iiláísha ayóó át'éii yaa naayáhígíí bee shił hólne'. 
12:8:005:0	Nít'éé' Iiláísha éí diné daaztsáanii hináago ánáyiidlaaígíí aláahgo naat'áanii bee bił hojilne'go, jó, asdzání biyáázh hinááh ánábi'diilyaaígíí bighan áádóó bikéyah éí aláahgo naat'áanii yaa náyookąąh yiniyé níyá. Áádóó Giihéízai ání, Bóhonishníihii, aláahgo shinanit'a'í nílíinii, díí asdzání éí át'į́, áádóó Iiláísha eii hayáázh hináago ánáyiidlaaígíí ájít'į́. 
12:8:002:1	Házeiyel éí Síriya dine'é aláahgo yinanit'a'í silį́į́'
12:8:006:0	Aláahgo naat'áanii éí asdzání nayízhdééłkidgo hoł hoolne'. Áko aláahgo naat'áanii éí naat'áanii danilínígíí ła' há yik'i diilnii'go ííłní, Hakéyahdóó dashdiiyá yę́ędą́ą́' áádóó díí jį́įjį' kéyah chooz'įįd áádóó bikáá' dahazlį́į'ii bą́ą́h nida'iizlį́į'ii bíighahgo t'áá ałtso haa nídinooh'aah. 
12:8:007:0	Iiláísha éí Damáskas kin haal'áajį' níyá, áko Síriya dine'é aláahgo binanit'a'í Ben-héídad daatsaah lá, áko, Diyin God yá naal'a'í kwe'é níyá, ha'níigo bił hóóne'. 
12:8:008:0	Áko aláahgo naat'áanii éí Házeiyel ííłní, Díí aa doolyéełii shá yíléełgo, nílááh, Diyin God yá naal'a'í bidááhgóó dínáahgo Bóhólníihii nayídídóołkił biniyé shá kóbidiní, Díí naałniih daats'í shik'i dooldohgo náádideeshdááł? 
12:8:009:0	Kót'éego Házeiyel éí Damáskasdóó ghą́ą́'ask'idii dízdiingo bee yá'ádaat'éehii t'áá ałtso aa doolyéłígíí dayíłjiidgo Iiláísha bidááhgóó jiníyáago bidááhdę́ę́' dziizį'go ájíní, Niye' Síriya dine'é aláahgo binanit'a'í Ben-héídad nich'į' shiníł'a'go áníłní, Díí naałniih daats' í shik'i dooldohgo náádideeshdááł? 
12:8:010:0	Nít'éé' Iiláísha áháłní, Nílááh, nídídáahgo kóhodiní, Díí naałniih nik'i dooldohgo náádidíídááł, nidi t'áá dazdootsaałgo Bóhólníihii shich'į' ííshją́ą́ áyiilaa. 
12:8:011:0	Áádóó Iiláísha hodiniilgęęzhgo wónáásdóó t'óó bik'ee hoł ahóóyóí, áko Diyin God yá naal'a'í yícha. 
12:8:012:0	Áko Házeiyel ání, Shinanit'a'í, ha'át'íí lá baa nicha? Nít'éé' bich'į' hadzoodzíi'go ájíní, Ízrel dine'é bich'į' doo yá'áshóonii baa nidíínaałgo shił bééhoozin, éí biniinaa; yine' nidaadzi'ígíí biih dahodidííni ł índa dabidinééh diltłish bee nidííłtsił áádóó bada'áłchíní nikídahididííłtsxis índa asdzání daaltsánígíí bibid ąą dahididíízǫ́ǫ́s. 
12:8:013:0	Áádóó Házeiyel ání, Ha'át'íishą' ná naash'a'íísh łééchąą'ígi ánísht'éego díí t'óó ayóigi ádeeshnííł? Áko Iiláísha haadzíi' go ání, Síriya dine'é aláahgo binanit'a'í dííleełgo Bóhólníihii shich'į' ííshją́ą́ áyiilaa. 
12:8:014:0	Áko Iiláísha bits'ą́ą́' dah nízhdiidzáago bóhojółníihii baa nídzídzáago áháłní, Iiláísha lá, ha'át'íí niłní? Áko ábijiní, T'áá aaníí náádidíídááł, niłníigo yee shił hoolne'. 
