12:14:001:1	Amazáíyah nant'áá nít'éé'
12:14:001:0	Ízrel dine'é aláahgo binanit'a'í Jiihó'ahaz yę́ę biye' Jó'ash nant'áago naaki náhááh góne' Júdah dine'é aláahgo binanit'a'í Jó'ash yę́ę biye' Amazáíyah aláahgo nant'á silį́į́'. 
12:14:002:0	Éí naadiin ashdla' binááhaigo aláahgo naat'áanii nilį́įgo hahoolzhiizh, áádóó naadiin náhást'éí nááhaijį' Jerúsalem kin haal'áagi nant'áá nít'éé'. Áko bimá éí Jerúsalemdóó naagháago Jiihó'adan wolyéé nít'éé'. 
12:14:003:0	Áádóó Bóhólníihii binááł t'áá ákogi ádaat'éii yaa naayá, nidi doo bizhé'é David yę́ęgi át'éego naayáa da, áko bizhé'é Jó'ash t'áá ałtso yaa naayáhígíí bik'ehgo yaa naayá. 
12:14:004:0	Nidi dah daask'id bighą́ą'di ádaalyaaígíí doo nahjį' kólnééhgóó ákwe'é tsin bijeeh dilidgo łikání halchinii diné t'ah náádayiiłniih nít'éé'. 
12:14:005:0	Kódzaago bee óhólnííh haa deet'ą́ągo t'áá áko há naal'a'í nidilt'éego hazhé'é aláahgo naat'áanii yiyiisxínígíí nidzistseed. 
12:14:006:0	Nidi hazhé'é yiyiisxínígíí ba'áłchíní éí t'áadoo nidzistseed da; Mózes binaaltsoos biyi' bee haz'áanii t'áá bee ak'e'ashchínígíí biyi' Bóhólníihii haadzíí' kóníigo, Azhé'é danilíinii áłchíní biniinaa doo nidootsił da, doodaii' áłchíní bizhé'é biniinaa doo nidootsił da, nidi diné t'ááłá'í jinítínígo ádił nidadziisíhígíí biniinaa nidaho'ditseed doo.  
12:14:007:0	Áádóó Áshįįh Bił Honíts'aa' hoolyéé góyaa Íídam dine'é bisiláo neeznáadi míilgo nidzistseed, índa Síílah kin haal'áii anaa' bee dzisná, áádóó díí jį́įjį' Jákthiyel bee hojíízhi'. 
12:14:008:0	Nít'éé' Amazáíyah éí Jííhu binálí Jiihó'ahaz biye' Ízrel dine'é aláahgo binanit'a'í Jiihó'ash yich'į' hane' yił nidaal'a'í ayííł'a'go ííłní, Hágo, anaa' biniyé ahididiit'ashgo ahidiigą́ą́ł. 
12:14:009:0	Áko Ízrel dine'é aláahgo binanit'a'í Jiihó'ash éí Júdah dine'é aláahgo binanit'a'í Amazáíyah yich'į' i'ííł'a'go ííłní, Lébanan kéyahdóó ch'il deeníní éí Lébanandóó gad sikaadii yich'į' i'ííł'a'go kóní, Nitsi' shiye' yił ahaa doot'ash biniyé baa dííłtééł; nít'éé' Lébanangi naaldlooshii ałchinii naagháago éí ch'il deeníní łeeh yí'ííł'eez. 
12:14:010:0	Íídam dine'é bisiláo t'áá aaníí nisíníłtseedgo éí bee ádaa hosíní'nih; bee ádaa ho'niihígíí hazhó'ó nighangi bił ánít'é. Ha'át'íísh biniyé ni áádóó Júdah dine'é t'áá bił nihik'eh didoodleełgo atínihidoolíiłii baa nánít'į́? 
