12:23:001:1	Josáíyah hasht'éénáhoodlaaígíí
12:23:001:0	Áko aláahgo naat'áanii i'iis'a'go Júdah dine'é bitahdóó áádóó Jerúsalem kin haal'áádóó hastóí aląąjį' naazíinii haa áłah ádayiilaa. 
12:23:002:0	Áádóó aláahgo naat'áanii éí Júdah kéyahgi diné áádóó Jerúsalemgi kéédahat'ínígíí áádóó nááda'iiłniihii áádóó Diyin God yá dahalne'ii áádóó diné a'ohgo ádaat'éii índa ayóó ádaat'éii t'áá ałtso yił Bóhólníihii bikin bii' sohodizingóó haaskai; éí Bóhólníihii bikin bii' sohodizin góne' saad bee aha'deet'áanii naaltsoos nídiit'ánígíí bii'dóó saad t'áá át'é bich'į' jííłta'. 
12:23:003:0	Áádóó aláahgo naat'áanii éí kin bíyah nii'áii yíighahgi sizį́įgo Bóhólníihii bił ahazhdeet'ą́; éí Bóhólníihii bikéé' joogáał doo áádóó bibik'eh ó'oo'níiłii áádóó yee hahaasdzíi'ii índa yee nihwiiz'áanii hajéí t'áá át'é bee índa hwii' sizíinii t'áá át'é bee aha'deet'áanii naaltsoos biyi' bee ak'e'ashchíinii bi'jósin doo. Áádóó diné t'áá ałtso bee aha'deet'áanii bił daalą́go yee nídiijéé'. 
12:23:004:0	Áko aláahgo naat'áanii éí aláahgo náá'iiłniihii Hilkáíyah áádóó akéé'dóó nááda'iiłniihii índa dáádílkał yaa ádahalyáanii yich'į' haadzíi'go Bóhólníihii bikin bii' sohodizin góne' chodao'íinii Béíyal bá ádaalyaii t'áá át'é índa asdzání be'elyaii áádóó yót'ááh hiníláii t'áá át'é bá ádaalyaii ch'ídahidoojih, áádóó Jerúsalem tł'óo'di Kídran halgaigi dadidoołiłgo biłeeshch'iih éí Béthelgóó dadoohééł. 
12:23:005:0	Áádóó aláahgo naat'áanii danilíinii nááda'iiłniihii Júdahgi kin hadaas'áhídóó áádóó Jerúsalem binaagóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígóó tsin bijeeh dilidgo łikání halchinii náádayiiłniih yiniyé nidayiiznilígíí éí Josáíyah nahjį' hayíínil; éí nááda'iiłniihii ałdó' Béíyal bich'į' áádóó jį́honaa'éí bich'į' áádóó tł'ééhonaa'éí bich'į' áádóó sǫ' bich'į' índa yót'ááh hiníláii t'áá át'é yich'į' tsin bijeeh dilidgo łikání halchinii náádayiiłniih. 
12:23:006:0	Áko Bóhólníihii bikin bii' sohodizin bii'dóó asdzání be'elyaii ch'ízhníłtį́įgo Jerúsalemdóó Kídran tó nílíníjį' jiníłtį́įgo jidííłid áádóó dzíítseedgo dibahgo ájiilaa, índa diné dabijishcháá' bikáá'góó adziiskaad. 
12:23:007:0	Áádóó Bóhólníihii bikin bii' sohodizin bíighahgi diné t'áá bí ahaa nináldeehii bá kin naaznilígíí naa'ahizneeskaad; ákwii sáanii éí asdzání be'elyaii yá dáádiníbaal deitł'óó nít'éé'. 
12:23:008:0	Áko Júdah kéyahgi kin hadaas'áádóó nááda'iiłniihii ch'íjiizh'eezh, áádóó Gííba kin shijaa'dóó Bíyer-shííbajį' ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaii nááda'iiłniihii éí tsin bijeeh dilidgo łikání halchinii náádayiiłniih yę́ęgóó ałtso bits'ą́ą́' jííłchxǫ' índa kin haal'áádóó naat'áanii Jáshowa biyah a'atiinígi kin haal'á yah a'atiin binishtł'ahjígo diyingo nahaz'ánígíí ałtso naa'ajiistł'ííd. 
12:23:009:0	Ákondi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígi nááda'iiłniihii éí Jerúsalemgi Bóhólníihii bibikáá' náá'iiniihí hólǫ́ǫjį' doo ałnáádaakah da, nidi bik'isóó bitahgóó díík'ǫsh t'áágééd bááh ályaii nídeidį́į́h nít'éé'. 
12:23:010:0	Áádóó Hínam ba'áłchíní yíldzis góyaa kéédahat' ínígi Tófeth hoolyéii yiyííłchǫ', áko ákwii diné doo ła' biye', doodaii' bitsi'da yidiłidgo diyin bidi'níinii Mólek yich'į' nínéidiyoołnih da. 
