12:13:001:1	Jiihó'ahaz nant'áá nít'éé'
12:13:001:0	Júdah dine'é aláahgo binanit'a'í Éíhazáíyah biye' Jó'ash nant'áago naadiin táá' náhááh binih Jííhu biye' Jiihó'ahaz éí Samériya kin haal'áagi Ízrel dine'é aláahgo yinanit'a'í silį́į́'; aláahgo naat'áanii nilį́įgo tsosts'idts'áadah nááhai. 
12:13:002:0	Áko Bóhólníihii binááł doo yá'áshóonii yaa naayá, Nííbat biye' Jerobówam yee ni'iisí'ígíí, éí bee Ízrel dine'é nida'iisíihgo áyiilaii yik'ehgóó níyáago t'áadoo yóó'iidíí'ą́ą da. 
12:13:003:0	Bóhólníihii éí Ízrel dine'é yich'į' báhóóchįįdgo Síriya dine'é aláahgo binanit'a'í Házeiyel índa biye' Ben-héídad yaa náhodi'áahgo hoolzhiizh. 
12:13:004:0	Síriya dine'é aláahgo binanit'a'í éí Ízrel dine'é yide áhósingo Ízrel dine'é bich'į' nidahwii'ná; éí bąą Jiihó'ahaz éí Bóhólníihii baa níjooskango hodiizts'ą́ą́'. 
12:13:005:0	(Áko Bóhólníihii éí Ízrel dine'é yisdábidooniłii yeidiní' ą́, ákót'éego Síriya dine'é biyaadóó hajookai, áko índa Ízrel dine'é átséédą́ą́' dabighan yii' kéédahat'į́į́ nít'é'ígi át'éego ninákai. 
12:13:006:0	Kót'ée nidi Jerobówam bits'ą́ą́dóó oochíłígíí éí yee nida'iisí'ígíí, éí bee Ízrel dine'é nida'iisíihgo áyiilaii yik'ehgo deíkáahgo t'áadoo yóó'adeidíí'ą́ą da, áádóó Samériya kin haal'áagi ałdó' asdzání bida'alyaii t'ah hólǫ́.) 
12:13:007:0	Ben-héídad éí Jiihó'ahaz ashdladiin łį́į́' yee nidaabaahígíí áádóó tsindaabąąs bijáád naakiígíí neeznáá índa siláo neeznáadi míilgo t'éiyá niinínil, háálá Síriya dine'é aláahgo binanit'a'í łahjį' diné ałtso íísdįįdgo łeezh dibahí nahalingo áyiilaa. 
12:13:008:0	Nít'éé' Jiihó'ahaz łahjį' ádzaaígíí áádóó yaa naayáii t'áá ałtso índa yee ayóó át'éé nít'éé' yę́ę éí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:13:002:1	Jó'ash éí Ízrel kéyahgi nant'áá nít'éé'
12:13:009:0	Áko Jiihó'ahaz éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh, áádóó Samériya kin haal'áagi yóó'ádahojiilaa, áko haye' Jó'ash hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'. 
