12:12:001:1	Jiihó'ash éí Júdahgi nant'áá nít'éé'
12:12:001:0	Jííhu nant'áago tsosts'id náhááh binih Jiihó'ash aláahgo naat'áanii silį́į́', índa Jerúsalemgi nant'áago dízdiin nááhai. Bimá éí Bíyer-shííba hoolyéédóó naagháago Zíbiyah wolyé. 
12:12:002:0	Áádóó Jiihó'ash éí Bóhólníihii binááł t'áá ákogi át'éego t'áá náá'iiłniihii Jiihóíyada nahoneeztą́'ígíí bik'ehgo joogááł. 
12:12:003:0	Nidi ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí éí doo nahjį' kólyaa da; diné éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí tsin bijeeh dilidgo łikání halchingo nááhániihii t'ah náádayiiłniih. 
12:12:004:0	Áko Jiihó'ash éí nááda'iiłniihii ííłní, Béeso dílzingo nidahideest'ánígíí Bóhólníihii bikin bii' sohodizinjį' nehejáhígíí t'áá át'é éí dine'é t'áá ałtso nidayiiléhígíí, t'áá éí nideidiyooléłígíí áádóó diné t'áá bí ádeinízingo nidayiiléhígíí bik'ehgo Bóhólníihii bikin bii' sohodizin góne' yah adahohjááh. 
12:12:005:0	Bíni'dii nááda'iiłniihii t'ááłá'í nítínígo yił ahéédahólzinii bits'ą́ą́dóó béeso nídeididooniłgo kin bii' sohodizin dááchxǫ' yę́ęgóó hasht'éédeidoodlííł. 
12:12:006:0	Nidi kóhóót'įįd: aláahgo naat'áanii Jiihó'ash naadiin táá' nááhaijį' aláahgo naat'áanii jílį́įgo hoolzhiizhígíí biyi' éí nááda'iiłniihii kin bii' sohodizin dááchxǫ' yę́ęgóó t'ah doo hasht'éédeidléeh da lá. 
12:12:007:0	Nít'éé' aláahgo naat'áanii Jiihó'ash éí náá'iiłniihii Jiihóíyada índa náánáła' nááda'iiłniihii ałdó' hágo yidííniidgo ííłní, Haash yit'éego kin bii' sohodizin dááchxǫ' yę́ęgóó doo hasht'éédaohdléeh da? Éí bąą k'ad, béeso doo ła' nihaa náádadoo'nił da, nidi kin bii' sohodizin bee hasht'éédoolníiłjį' nidanohnííł. 
12:12:008:0	Áko nááda'iiłniihii éí diné bits'ą́ą́dę́ę́' béeso doo baa náádadoo'niłgóó, doo nidi kin bii' sohodizin dááchxǫ' yę́ęgóó hasht'éédeidoodlííłgóó yee lą́ da'asłį́į́'. 
12:12:009:0	Nidi náá'iiłniihii Jiihóíyada éí tsits'aa' néidii'ą́ągo bidáń'dítį́hígíí yighá'nínilgo éí bikáá' náá'iiniihí bíighahgi Bóhólníihii bikin bii' sohodizin góne' nish'náádę́ę'go yah adajiikáhígi niiní'ą́, áádóó nááda'iiłniihii ch'é'étiin yaa ádahalyánígíí éí Bóhólníihii bikin bii' sohodizin góne' béeso yah adeizhjaa'ígíí t'áá át'é tsits'aa' yiih deiznil. 
12:12:010:0	Nít'éé' éí tsits'aa' bii' béeso t'óó ahayóí lágo dayiiłtsą́ągo, aláahgo naat'áanii binaaltsoos ííł'íní éí aláahgo náá'iiłniihii yił ní'áazhgo Bóhólníihii bikin bii' sohodizin góne' béeso yiyííłta'go azis yiih yiyíínil. 
12:12:011:0	Béeso dah dahidiidlo'ígíí éí nidaalnishígíí índa Bóhólníihii bikin bii' sohodizingi bik'ehgo nida'anishígíí yaa deiznil, áádóó éí tsin neheeshjíí' nideiyiich'iishígíí índa kin ádeiléhígíí éí Bóhólníihii bikin bii' sohodizin yindaalnishígíí yich'į' nidayiizlá. 
12:12:012:0	Tsé deitł'inígíí índa tsé hasht'eniyída'ałne'ígíí ałdó' yich'į' nidayiizlá; Bóhólníihii bikin bii' sohodizin dááchxǫ' yę́ęgóó hasht'éédadoolnííł biniyé tsin dilk'is índa tsé hasht'edaalyaaígíí áádóó kin hasht'éédoolnííł biniyé nii'nilígíí t'áá át'é béeso bee nidahaaznii'. 
12:12:013:0	Nidi Bóhólníihii bikin bii' sohodizin góne' béésh łigaii da'asaa' áádóó kǫ' bee niltsésí áádóó łeets'aa' áádóó béésh dilní bee í'dílzoołí índa t'áá ha'át'íhída béésh łigaii bee ádaalyaaígíí, doodaii' óola bee ádaalyaaígíí éí Bóhólníihii bikin bii' sohodizin góne' béeso yah aajaa'ígíí doo bee nidahaaznii' da, 
12:12:014:0	nidi éí nidaalnishígíí yaa deiznilgo Bóhólníihii bikin bii' sohodizin yee hasht'éédayiidlaa. 
12:12:015:0	Náá'áłdó' bá nida'anishígíí éí nidaalnishígíí yich'į' nidayiilée doo biniyé béeso baa daas'nilígíí éí doo yaa ch'ínídahwiit'aah da, háálá bada'ahódlíigo chodayooł'į́į́ nít'éé'. 
12:12:016:0	Bee haz'áanii k'éti'jí nááhániihii áádóó ádił oodzíi'gi bee k'ééhodoodǫǫłgo nááhániihii bá béeso sinilígíí éí nááda'iiłniihii daabí; éí doo Bóhólníihii bikin bii' sohodizin góne' yah aajaa' da.  
12:12:017:0	Nít'éé' Síriya dine'é aláahgo binanit'a'í Házeiyel éí Gath kin haal'áágóó haayáago yik'ijį' naazbaa'go yisná, áádóó Házeiyel éí Jerúsalem góde doogáałgo bíni' áhoolaa. 
12:12:018:0	Áádóó Júdah dine'é aláahgo binanit'a'í Jiihó'ash éí hazhé'é yę́ę Júdah dine'é aláahgo bindanit'a'í Jiiháshafat áádóó Jiihóram índa Eihazáíyah éí dílzingo ninádeidiyiiz'ą́ą́ nít'é'ígíí t'áá át'é, áádóó t'áá hó t'áadoo le'é dílzingo nináhizdeez'ánígíí, índa Bóhólníihii bikin bii' sohodizin góne' da'ílíinii hasht'e'sinilígíí bitahdóó índa aláahgo naat'áanii bikindóóígíí óola t'áá át'é éí nízhdiinilgo Síriya dine'é aláahgo binanit'a'í bich'į' há eejaa', áko Házeiyel éí Jerúsalem yits'ą́ąjigo dah diiyá. 
12:12:019:0	Áko Jiihó'ash łahjį' ádzaaígíí áádóó yaa naayáhígíí t'áá át'é Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:12:020:0	Bá nidaal'a'í dah dii'áazhgo hak'ijį' hohodeez'ą́ągo Síla haz'ą́ą́ góyaa atiinígóó ákwii kin Míllo wolyéhígíí biyi' góne' Jiihó'ash yiyiisxį́. 
12:12:021:0	Shímiyath biye' Józakar áádóó Shómar biye' Jiihózabad há naal'a'í nilíinii éí díí atíhoolaago dadziztsą́; nít'éé' David yę́ę bikin haal'áagi dahazhé'é yę́ę yóó'ádaalyaaígi yóó'ádahoolaa, áko haye' Amazáíyah hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'.
