12:15:001:1	Azaráíyah nant'áá nít'éé'
12:15:001:0	Ízrel dine'é aláahgo binanit'a'í Jerobówam nant'áago naadiin tsosts'id náhááh góne' Júdah dine'é aláahgo binanit'a'í Amazáíyah yę́ę biye' Azaráíyah aláahgo nant'á silį́į́'. 
12:15:002:0	Éí hastą́'áadah binááhaigo aláahgo nant'á silį́į́'. Jerúsalem kin haal'áagi nant'áago ashdladiindóó ba'aan naaki nááhai. Bimá éí Jerúsalemdóó naagháago Jekoláíyah wolyé. 
12:15:003:0	Áádóó hazhé'é Amazáíyah áát'įįdígíí t'áá át'é bik'ehgo éí Bóhólníihii binááł t'áá ákogi ádaat'éii baa nijiyá. 
12:15:004:0	T'áá hazhó'ó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígíí t'áadoo nahjį' kólyaa da; ákwe'é t'ahdii didlidgo nááhániihii índa tsin bijeeh dilidgo łikání halchinii nááhániihii náádajiiłniih. 
12:15:005:0	Nít'éé' aláahgo naat'áanii éí łóód ats'íís yiyáanii naałdzidii yee Bóhólníihii atíbiilaago daaztsą́ bijį́įjį' t'áá sahdii bighan nít'éé'. Aláahgo naat'áanii biye' Jótham haghan bee bóhólníihgo kéyahgi kéédahat'ínígíí yinant'áá nít'éé'. 
12:15:006:0	Azaráíyah łahjį' ádzaaígíí áádóó yaa naayáhígíí t'áá át'é Júdah dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
12:15:002:1	Zakaráíyah nant'áá nít'éé'
12:15:007:0	Áko Azaráíyah éí dahazhé'é da'iiłhaazhígi át'éego ajiiłhaazh, áádóó David yę́ę bikin haal'áagi dahazhé'é yę́ę yóó'ádabi'diilyaaígi yóó'áho'diilyaa, áádóó haye' Jótham hatsásk'ehgi aláahgo naat'áanii silį́į́'. 
12:15:008:0	Azaráíyah éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo tádiindóó ba'aan tseebíí náhááh góne' Jerobówam yę́ę biye' Zakaráíyah éí Samériya kin haal'áagi Ízrel dine'é yinant'áago hastą́ą́h nídeezid. 
12:15:009:0	Dahazhé'é ádáát'įįdígíí bik'ehgo Bóhólníihii binááł doo yá'ádaashóonii baa nijiyá; Nííbat biye' Jerobówam yee ni'iisí'ígíí éí bee Ízrel dine'é nida'iisíihgo áyiilaii éí t'áadoo yóó'iidíí'ą́ą da. 
12:15:010:0	Jéíbesh biye' Shálam honahaz'ą́ągo dine'é yinááł atíhoolaago hwiisxį́ áádóó hatsásk'ehgi aláahgo nant'á silį́į́'. 
