8:3:001:1	Ruth áádóó Bó'az éí ha'al'ésídi naa'aash
8:3:001:0	Ákohgo Neiyómii bizháá'áád nilíní áyidííniid , Shich'é'é , da' hooghanísh doo ná hásht'į́į da doo ? Éí ná yá'át'éehii át'é .
8:3:002:0	Áko k'ad Bó'az éí t'áá aaníí nihik'éí jílį́ ; éí há nidaal'a'í ch'ikéí bił nanikai . Jó , díí tł'éé' ha'al'éesgi tł'oh naadą́ą́' bidee'í yąąh yoołch'íih doo .
8:3:003:0	Éí bąą tá'ádígisgo tłashchíín bee ádíltłah , áádóó ni'éé' agháago yá'át'éehii bee hadínééh áádóó ha'al'éés góyaa díínááł , ákondi doo t'áá hooshch' į' diné bich'į' ádééhodíílzįįł da , ałtso ííyą́ą'go índa .
8:3:004:0	Áko neeztį́įgo neeztį́įgi hazhó'ó hasht'e'nibídíílyęsh , áádóó yah adíínáałgo bikee'jį' bik'i didííłtsosgo ákǫ́ǫ́ díníítééł , áko ádííníiłgi yee nił hodoolnih .
8:3:005:0	Áko ánááhodoo'niid , T'áá ádíníígóó ááshníi ł doo .
8:3:006:0	Áko ha'al'éés góyaa dashdiiyá áádóó bizháá'áád jílíní t'áá áhodííniidígi ádziidzaa .
8:3:007:0	Áko áádóó Bó'az ííyą́ą́' áádóó oodlą́ą'go bijéí bił hózhǫ́ǫgo tł'oh naadą́ą́' bidee'í t'óó ałk'i yanáa'á bíighahgi neeztį́ . Áádóó hazhóó'ógo yah aji'yííts'i'go bikee'jį' bik'izdííłtsoozgo ákwii dzineeztį́ .
8:3:008:0	Tł'é'ííłníi'go diné deesyizgo náhaashjish , nít'éé' jó , hakee'jigo asdzání léi' sitį́į́ lá .
8:3:009:0	Háishą' ánít'į́ ? hodííniidgo ázhdííniid , Ruth , ch'ikę́ę́h ná naal'a'í ásht'į́ ; ná naal'a'í ni'éé' bik'íníłtih , háálá áhánígo nihik'éí nílį́ .
8:3:010:0	Áko ábijiní , Bóhólníihii nik'ijidlíi doo , shitsi' , díí ajooba' akée'diígíí átséhígíí biláahgo ayóó át'éego shaa jiisíníba' ; jó , tsíłkéí bahajoobá'íii , doodaii' at'íiniida t'áadoo ła' bikéé' dah diniyáa da .
8:3:011:0	K'ad shitsi' , t'áadoo nił yé'í , yíníkeedígíí t'áá ałtso ná bi'eeshłíił doo , háálá shidine'é kintahgóó t'áá ałtso néédahósingo , asdzání ílíinii nílį́ .
8:3:012:0	T'áá aaníí áhánígo nihik'éí nishłį́ , ákondi náánáła' shiláahgo áhánígo nihik'éí nilíinii ałdó' hólǫ́ .
8:3:013:0	Hayííłką́ąjį' t'áá akǫ́ǫ́ sínítį́ , áko abínígo éí ak'éí nilíinii yaa nidaakaígíí ná yaa naayáago , éí yá'át'ééh ; bíni'dii ákónééh , nidi éí t'áadoo ná ádzaagóogo , ts'ídá t'áá aaníí Bóhólníihii hiná ; ákót'éego shí ts'ídá t'áá aaníí akéé' góne' ak'éí nilíinii yaa nidaakaígíí ná ádeeshłííł . Hayííłką́ąjį' t'óó sínítį́ .
8:3:014:0	Hakee'jigo dziztį́įgo hayííłką́ , áko t'ah doo ła' haa ákoniizįįhgóó nízhdii'na' , áádóó áhozhdííniid , Ha'al'éesgi asdzání níyáhígíí doo ła'da bił bééhodoozįįł da .
8:3:015:0	Áko ánáábizhdi'ní , Beeldládí éé' bee nanináhígíí de'níłtsóosgo kwe'é dah diiłtsóós . Áko ákwii dashdiiłtsooz índa tł'oh naadą́ą́' bidee'í azis ałní'neel'ą́ bíighahgo há hééł áyiilaago hazéidéíyį́ , áádóó kin haal'áágóó jiníyá .
8:3:016:0	Áko índa bizháá'áád jílíní baa nídzídzáago áhodííniid , Shich'é'é , haa hóót'įįd ? Áko diné há ádzaaígíí t'áá át'é bee bił hojoolne'go
8:3:017:0	ájíní , Díí tł'oh naadą́ą́' bidee'í hastą́ądi haką́ągo sheiníjaa' , háálá áshíłní , Bizháá'áád nílíní bich'į' doo t'áá ákóhígo nihéédíídáał da .
8:3:018:0	Áko ázhdííniid , Haa'íshą' , shich'é'é , t'óó hasht'e'sínídá ; nił bééhoozingo hait'į́į dooleeł ; jó , díí jį́ daats'í t'áadoo hasht'edit'eehí ałtso nidoolnish .
