8:1:001:1	Ruth áádóó Neiyómii
8:1:001:0	Ákódzaago ándahodii'aahii bídahólníihgo yoołkááł yę́ędą́ą́' Ízrel dine'é bikéyahgi hodííchįįd . Áko Béthlehem kin shijaa'gi Júdah kéyahdóó diné léi' dah diiyáago t'óó átsééd ch'aajookahgo Mó'ab kéyahgóó jíkai .
8:1:002:0	Diné éí Elímelek wolyé áádóó be'asdzą́ą́ éí Neiyómii wolyé índa biye'ké éí ła' Málan áádóó ła' Kíliyan wolyé , Éfata dine'é dajílį́įgo Béthlehem kin shijaa'gi Júdah kéyah biyi' kéédahojit'į́į́ nít'éé' . Áko Mó'ab kéyahdi jíkaigo ákwii kéédahojit'į́į́ nít'éé' .
8:1:003:0	Nidi Neiyómii bahastiin Elímelek daaztsą́ , áko hayáázh nidilt'éhígíí bił ch'íjookai .
8:1:004:0	Díí ashiiké éí Mó'ab dine'é asdzání yá ázyeh , ła' Órpah wolyé , ła'ígíí éí Ruth wolyé . Ákwii bił kéédahojit'į́įgo neeznáá daats'í nááhai .
8:1:005:0	Nít'éé' Málan áádóó Kíliyan t'áá áłah neezná , áko éí asdzání biyáázhké bąąh nást'įįd áádóó bahastiin ałdó' bąąh nást'įįd .
8:1:006:0	Áko nízhdii'na'go hazháá'áád nít'é'ígíí bił Mó'ab kéyahdóó nihééjíkai , háálá Mó'ab kéyahgi díí baa hozdiizts'ą́ą́' : haash yit'éego Bóhólníihii bidine'é yik'iinít'į́į'go ch'iyáán yeidiní'ą́ .
8:1:007:0	Ákohgo nijigháhídóó dah nízhdiidzá ; hazháá'áád nidilt'éhígíí t'áá bił Júdah kéyahgóó dah nízhdiikai .
8:1:008:0	Nidi Neiyómii hazháá'áád nidilt'éhígíí ábijiní , Nílááh , nihimá bighangóó nídóht'aash . Shí áádóó ádajídinígíí nihaa jiinohba' yę́ęgi át'éego Bóhólníihii nihił hólǫ́ǫgo nihaa jooba' doo .
8:1:009:0	Bóhólníihii lá nihahastiin ła' bił náádanihighango háádaałyį́įhgo ánéidoodlííł . Ákohgo t'óó bizazhnoot'ą́ áádóó yéego anáádazhniicha .
8:1:010:0	Áko áhodííniid , T'áá aaníí nidine'é bich'į' nił néiikah doo .
8:1:011:0	Nidi Neiyómii ání , T'óó t'ą́ą́' nídóht'aash , shich'é'éké , ha'át'íísh biniyé shił nááhkah doo ? Da' anáádí'néestsąąłgoósh náá'deeshchíiłgo shiyáázhké nááhódlǫ́ǫgo éí nihahastiin náádoodleeł ?
8:1:012:0	Shich'é'éké , nihílááh , t'óó nídóht'aash , háálá shíyee' doo shahastiin nááhódle' át'éégóó hasistih . Bíká shił chohoo'į́ dííniidgo , díí tł'ée'da shahastiin nááhodoodleełgo áádóó shiyáázhké nááhodoodleełgo
8:1:013:0	nininísą́ąjį'ísh biba' ánóht'ée doo ? Índa nihá náá'doohgehgiísh biniyé ádaa áhółyą́ą doo ? Dooda , shich'é'éké ; jó , t'áá íiyisí nihąąh shíni'go Bóhólníihii bigaan yee shich'į' nahodíłgééz .
8:1:014:0	Áko t'áá íiyisí ánáádazh'niichago atínáádazdineesdlį́į́' , áko Órpah yizháá'áád nilíinii yizts'ǫs , nidi Ruth éí hazánáznii' .
8:1:015:0	Áko ázhdííniid , Shoo , bił ííyéehii Órpah bidine'é áádóó bidiyin yich'į' anáádzá , nílááh , bił ííyéehii bikéé' nídídááh .
8:1:016:0	Nidi Ruth áhodííniid , Nits'ą́ą́' dah nídideeshdáłígíí t'áadoo baa náshiinikąąhí ; jó , t'áá hidínááhgóó nił honishłǫ́ǫ doo , kééhót'į́įgi nił kééhasht'į́į doo , nidine'é éí shidine'é doo , áádóó niDiyin God éí shiDiyin God doo ;
8:1:017:0	dadíítsaałgi shí ałdó' ákwii dadeestsaał áádóó ákwii łeeh shidi'dooltééł . Bíni'dii Bóhólníihii ákóshílééhdóó t'ah yówehgo , ts'ídá lá anoonééł t'éí ałts'ánihidoonił ni .
8:1:018:0	Ákohgo índa Neiyómii éí Ruth ts'ídá hoł nihideesh'ashí nízingo yee hasht'e'nitsíníkéezii bik'izhdiitą́ , áko t'áadoo ákónáázhdoo'niid da .
8:1:019:0	Áko t'áá ájíłah dashdii'áazhgo Béthlehem kin shijaa'di níjít'áázh . Áko Béthlehemgi jiní'áazhgo t'áá át'é kintahgóó t'óó hak'ee bił adahóóyóí , áko ádaaní , Da' díísh Neiyómii át'į́ ?
8:1:020:0	Áko ábijiníí lá , T'áadoo Neiyómii dashidohníní ; Mára dashidohní , háálá Aláahgo Ayóó'ábóodziilii t'áá íiyisí bik'e'eshch'í'ígi áshííł'įįd .
8:1:021:0	Kodóó yóó'adineesh'ná , t'áá ákohígo Bóhólníihii shił nát'áázh . Ha'át'éegoshą' Neiyómii dashidohní , háálá Bóhólníihii atíshííł'įįd áádóó Aláahgo Ayóó'ábóodziilii ch'énátsoh béé'oo'níihii yiih shííłt'e' .
8:1:022:0	Ákohgo Neiyómii nídzídzá ; Ruth éí Mó'ab dine'é nilį́įgo hazháá'áád Mó'ab kéyahdę́ę́' bił níjít'áázh . Áko Béthlehemgi ts'ídá tł'oh naadą́ą́' bidee'í bida'niigizh lágo níjít'áázh .
