8:2:001:1	Ruth éí Bó'az bidá'ák'ehgi nahozhdidá
8:2:001:0	Áko Neiyómii hahastiin yę́ę Elímelek wolyéii ła' diné ayóó át'é at'íinii yik'éí nilį́ ; éí Bó'az wolyé .
8:2:002:0	Áko Ruth éí Mó'ab asdzání nilíinii Neiyómii áyidííniid , Shíni'dii k'ad dá'ák'ehgóó dishááh ; tł'oh naadą́ą́' bidee'í daagizhgi ajooba' bee shich'oha'néego shąąh tsídookosígíí bikéé' nahodishdáa doo . Áko ábijiní , Nílááhánee' , shich'é'é .
8:2:003:0	T'áá áko dah diiyáago dá'ák'ehgi da'ayizhii bikéé'góó nahozhdidá , áko Bó'az éí Elímelek yę́ę bik'éí nilį́įgo bidá'ák'ehjį' ajííyá .
8:2:004:0	Áádóó jó , Béthlehem kin shijaa'dę́ę́' Bó'az níyáago da'ayizhígíí áyidííniid , Bóhólníihii nihił hólǫ́ǫ doo . Áko áńdahodoo'niid , Bóhólníihii nik'ijidlí .
8:2:005:0	Ákohgo Bó'az éí bá naal'a'í bik'ehgo da'jiyizhígíí áyidííniid , Díísh háí bich'ikę́ę́h át'į́ ?
8:2:006:0	Naal'a'í bik'ehgo da'agizhígíí ánáádoo'niid , Mó'ab dine'é ch'ikę́ę́h át'į́ , Mó'ab kéyahdę́ę́' Neiyómii yił nát'áázh .
8:2:007:0	Éí ání , Nánooshkąąh , shíni' ahanda'iiljoołgo da'ayizhii t'áá bikéé'góó nahodishdáa doo . Ákohgo jiníyáago abínídóó wóshdę́ę́' t'ááłáhígi ájít'į́ , t'áá hazhó'ó t'óó kónízahíjį' kin góne' háájoolyį́į́' .
8:2:008:0	Ákohgo Bó'az éí Ruth ábijiní , K'ad shíísíníłts'ą́ą́' , shitsi' , díí dá'ák'eh bits'ą́ąjį' náánáłahdi nínááhodídáa doo biniyé dah doóya' lágo , nidi ch'ikę́ę́h shá nidaal'a'ígíí t'éiyá bíighahgóó nanináa doo .
8:2:009:0	Jó , dá'ák'ehgi da'ayizhgóó t'éí díní'į́į́' , ákǫ́ǫ́ bikéé' nahodídá . Tsíłkéí hazhó'ó ábidishní , T'áadoo baa nídaaht'íní . Ákohgo dibáá' nánídleehgo tsíłkéí tó háádayiikáhígi nánídáahgo ná'ídlį́įh doo .
8:2:010:0	Ákohgo yaa azhnoolne'go ni'jį' yaa ádziidzaago ábijiní , Ha'át'éegoshą' ajooba' bee shich'oha'néego shiníníł'į́ ? Jó , shaa ákoninizį́į'go dé'éyóní nishłį́ .
8:2:011:0	Nidi Bó'az ánáhodoo'niid , Nahastiin daaztsą́ą́dóó wóshdę́ę́' bizháá'áád nílíní t'áá át'é bá íinidzaaígíí bee shił hóóne' . Nizhé'é áádóó nimá índa nikéyah bits'ą́ą́' dah diniyáago doo ééhonísingi yíníyáá lá .
8:2:012:0	Íinidzaaígíí éí Bóhólníihii yik'é nich'į' niná'doodlééł , áádóó Ízrel dine'é biBóhólníihii Diyin God nich'į' ni'doolééł ; bit'a' biyaajį' nííníyáago baa jiisíníli' lá .
8:2:013:0	Áko ázhdííniid , Háni'dii náásgóó shich'ohasne'go shiníníł'į́į doo , bóhonishníihii ; jó , shik'éé hwííníłtaa' , áádóó jiiníba'go ch'ikę́ę́h ná naal'a'í bich'į' háínídzíí' ; azhą́ ná naal'a'í doo nishłį́į da nidi ádíní .
8:2:014:0	Áko Bó'az áhodííniid , Hágo , ida'niidą́ą'jį' ahoolzhiizh ; bááh ła' dííyį́į́ł ; ch'il na'atł'o'ii bitoo'da béé'í'áahgo niyą́ . Ákohgo da'ayizhii bíighahgi dzineezdáago shą́ą́' niilt'é hayaa nizhníką́ , áádóó ajííyą́ą'go hwiih dzizlį́į́' , índa ła' t'áá bi'oh nizh'níyą́ą́' .
8:2:015:0	Ninááhozhdidoodaał biniyé nízhdii'na'go Bó'az be'ashiiké yich'į' haadzíi'go ání , Bíni'dii bida'astł'ónígíí nidi bitahgóó ninááhodidá . T'áadoo t'óó baa yáhásinígi ádabidohníní .
8:2:016:0	Bíni'dii álák'ee hadeezbin bíighahgo tł'oh naadą́ą́' bidee'í nidaahnilgo éí ádá náyiidláah doo . T'áadoo nidadohteehí .
8:2:017:0	Ákohgo dá'ák'ehgi nahodidáago i'íí'ą́ , áko náyiizlá'ígíí níłk'íyí'neesxaalgo tł'oh naadą́ą́' bidee'í bee naakáhí íífa wolyéhígíí t'ááłá'í bíighahgo áyiilaa .
8:2:018:0	Éí néidiiką́ągo kintahgóó anáádzá ; nihizdeesnilígíí bizháá'áád jílį́į́ nít'é'ígíí bich'į' ííshją́ą́ ájiilaa áádóó ch'iyáán bi'oh ajííyą́'ígíí baazhnínil .
8:2:019:0	Bizháá'áád jílíinii áháłní , Jį́į́dą́ą́' háadishą' ninááhodínídzá ? Háadi lá nínáá'iyínídláá' ? Diné naa ákoniizį́'ígíí bik'ihojidlíi doo . Ákohgo bizháá'áád jílíinii bił hojoolne'go bił ajííyizhígíí baa hojoolne'go ázhdííniid , Jį́į́dą́ą́' bił íiyizhígíí éí Bó'az wolyé .
