2:22:001:1	Property Rights
2:22:001:0	“ If a man steals an ox or a sheep and slaughters it or sells it , he shall pay five oxen for the ox and four sheep for the sheep .
2:22:002:0	“ If the thief is caught while breaking in and is struck so that he dies , there will be no bloodguiltiness on his account .
2:22:003:0	But if the sun has risen on him , there will be bloodguiltiness on his account . He shall surely make restitution ; if he owns nothing , then he shall be sold for his theft .
2:22:004:0	If what he stole is actually found alive in his possession , whether an ox or a donkey or a sheep , he shall pay double .
2:22:005:0	“ If a man lets a field or vineyard be grazed bare and lets his animal loose so that it grazes in another man’s field , he shall make restitution from the best of his own field and the best of his own vineyard .
2:22:006:0	“ If a fire breaks out and spreads to thorn bushes , so that stacked grain or the standing grain or the field itself is consumed , he who started the fire shall surely make restitution .
2:22:007:0	“ If a man gives his neighbor money or goods to keep for him and it is stolen from the man’s house , if the thief is caught , he shall pay double .
2:22:008:0	If the thief is not caught , then the owner of the house shall appear before the judges , to determine whether he laid his hands on his neighbor’s property .
2:22:009:0	For every breach of trust , whether it is for ox , for donkey , for sheep , for clothing , or for any lost thing about which one says , ‘This is it , ’ the case of both parties shall come before the judges ; he whom the judges condemn shall pay double to his neighbor .
2:22:010:0	“ If a man gives his neighbor a donkey , an ox , a sheep , or any animal to keep for him , and it dies or is hurt or is driven away while no one is looking ,
2:22:011:0	an oath before the Lord shall be made by the two of them that he has not laid hands on his neighbor’s property ; and its owner shall accept it , and he shall not make restitution .
2:22:012:0	But if it is actually stolen from him , he shall make restitution to its owner .
2:22:013:0	If it is all torn to pieces , let him bring it as evidence ; he shall not make restitution for what has been torn to pieces .
2:22:014:0	“ If a man borrows anything from his neighbor , and it is injured or dies while its owner is not with it , he shall make full restitution .
2:22:002:1	Sundry Laws
2:22:015:0	If its owner is with it , he shall not make restitution ; if it is hired , it came for its hire .
2:22:016:0	“ If a man seduces a virgin who is not engaged , and lies with her , he must pay a dowry for her to be his wife .
2:22:017:0	If her father absolutely refuses to give her to him , he shall pay money equal to the dowry for virgins .
2:22:018:0	“ You shall not allow a sorceress to live .
2:22:019:0	“ Whoever lies with an animal shall surely be put to death .
2:22:020:0	“ He who sacrifices to any god , other than to the Lord alone , shall be utterly destroyed .
2:22:021:0	“ You shall not wrong a stranger or oppress him , for you were strangers in the land of Egypt .
2:22:022:0	You shall not afflict any widow or orphan .
2:22:023:0	If you afflict him at all , and if he does cry out to Me , I will surely hear his cry ;
2:22:024:0	and My anger will be kindled , and I will kill you with the sword , and your wives shall become widows and your children fatherless .
2:22:025:0	“ If you lend money to My people , to the poor among you , you are not to act as a creditor to him ; you shall not charge him interest .
2:22:026:0	If you ever take your neighbor’s cloak as a pledge , you are to return it to him before the sun sets ,
2:22:027:0	for that is his only covering ; it is his cloak for his body . What else shall he sleep in ? And it shall come about that when he cries out to Me , I will hear him , for I am gracious .
2:22:028:0	“ You shall not curse God , nor curse a ruler of your people .
2:22:029:0	“ You shall not delay the offering from your harvest and your vintage . The firstborn of your sons you shall give to Me .
2:22:030:0	You shall do the same with your oxen and with your sheep . It shall be with its mother seven days ; on the eighth day you shall give it to Me .
2:22:031:0	“ You shall be holy men to Me , therefore you shall not eat any flesh torn to pieces in the field ; you shall throw it to the dogs .
