2:25:001:1	Offerings for the Sanctuary
2:25:001:0	Then the Lord spoke to Moses , saying ,
2:25:002:0	“ Tell the sons of Israel to raise a contribution for Me ; from every man whose heart moves him you shall raise My contribution .
2:25:003:0	This is the contribution which you are to raise from them : gold , silver and bronze ,
2:25:004:0	blue , purple and scarlet material , fine linen , goat hair ,
2:25:005:0	rams’ skins dyed red , porpoise skins , acacia wood ,
2:25:006:0	oil for lighting , spices for the anointing oil and for the fragrant incense ,
2:25:007:0	onyx stones and setting stones for the ephod and for the breastpiece .
2:25:008:0	Let them construct a sanctuary for Me , that I may dwell among them .
2:25:002:1	Ark of the Covenant
2:25:009:0	According to all that I am going to show you , as the pattern of the tabernacle and the pattern of all its furniture , just so you shall construct it .
2:25:010:0	“ They shall construct an ark of acacia wood two and a half cubits long , and one and a half cubits wide , and one and a half cubits high .
2:25:011:0	You shall overlay it with pure gold , inside and out you shall overlay it , and you shall make a gold molding around it .
2:25:012:0	You shall cast four gold rings for it and fasten them on its four feet , and two rings shall be on one side of it and two rings on the other side of it .
2:25:013:0	You shall make poles of acacia wood and overlay them with gold .
2:25:014:0	You shall put the poles into the rings on the sides of the ark , to carry the ark with them .
2:25:015:0	The poles shall remain in the rings of the ark ; they shall not be removed from it .
2:25:016:0	You shall put into the ark the testimony which I shall give you .
2:25:017:0	“ You shall make a mercy seat of pure gold , two and a half cubits long and one and a half cubits wide .
2:25:018:0	You shall make two cherubim of gold , make them of hammered work at the two ends of the mercy seat .
2:25:019:0	Make one cherub at one end and one cherub at the other end ; you shall make the cherubim of one piece with the mercy seat at its two ends .
2:25:020:0	The cherubim shall have their wings spread upward , covering the mercy seat with their wings and facing one another ; the faces of the cherubim are to be turned toward the mercy seat .
2:25:021:0	You shall put the mercy seat on top of the ark , and in the ark you shall put the testimony which I will give to you .
2:25:003:1	The Table of Showbread
2:25:022:0	There I will meet with you ; and from above the mercy seat , from between the two cherubim which are upon the ark of the testimony , I will speak to you about all that I will give you in commandment for the sons of Israel .
2:25:023:0	“ You shall make a table of acacia wood , two cubits long and one cubit wide and one and a half cubits high .
2:25:024:0	You shall overlay it with pure gold and make a gold border around it .
2:25:025:0	You shall make for it a rim of a handbreadth around it ; and you shall make a gold border for the rim around it .
2:25:026:0	You shall make four gold rings for it and put rings on the four corners which are on its four feet .
2:25:027:0	The rings shall be close to the rim as holders for the poles to carry the table .
2:25:028:0	You shall make the poles of acacia wood and overlay them with gold , so that with them the table may be carried .
2:25:029:0	You shall make its dishes and its pans and its jars and its bowls with which to pour drink offerings ; you shall make them of pure gold .
2:25:004:1	The Golden Lampstand
2:25:030:0	You shall set the bread of the Presence on the table before Me at all times .
2:25:031:0	“ Then you shall make a lampstand of pure gold . The lampstand and its base and its shaft are to be made of hammered work ; its cups , its bulbs and its flowers shall be of one piece with it .
2:25:032:0	Six branches shall go out from its sides ; three branches of the lampstand from its one side and three branches of the lampstand from its other side .
2:25:033:0	Three cups shall be shaped like almond blossoms in the one branch , a bulb and a flower , and three cups shaped like almond blossoms in the other branch , a bulb and a flower—so for six branches going out from the lampstand ;
2:25:034:0	and in the lampstand four cups shaped like almond blossoms , its bulbs and its flowers .
2:25:035:0	A bulb shall be under the first pair of branches coming out of it , and a bulb under the second pair of branches coming out of it , and a bulb under the third pair of branches coming out of it , for the six branches coming out of the lampstand .
2:25:036:0	Their bulbs and their branches shall be of one piece with it ; all of it shall be one piece of hammered work of pure gold .
2:25:037:0	Then you shall make its lamps seven in number ; and they shall mount its lamps so as to shed light on the space in front of it .
2:25:038:0	Its snuffers and their trays shall be of pure gold .
2:25:039:0	It shall be made from a talent of pure gold , with all these utensils .
2:25:040:0	See that you make them after the pattern for them , which was shown to you on the mountain .
