2:39:001:1	The Priestly Garments
2:39:001:0	Moreover , from the blue and purple and scarlet material , they made finely woven garments for ministering in the holy place as well as the holy garments which were for Aaron , just as the Lord had commanded Moses .
2:39:002:0	He made the ephod of gold , and of blue and purple and scarlet material , and fine twisted linen .
2:39:003:0	Then they hammered out gold sheets and cut them into threads to be woven in with the blue and the purple and the scarlet material , and the fine linen , the work of a skillful workman .
2:39:004:0	They made attaching shoulder pieces for the ephod ; it was attached at its two upper ends .
2:39:005:0	The skillfully woven band which was on it was like its workmanship , of the same material : of gold and of blue and purple and scarlet material , and fine twisted linen , just as the Lord had commanded Moses .
2:39:006:0	They made the onyx stones , set in gold filigree settings ; they were engraved like the engravings of a signet , according to the names of the sons of Israel .
2:39:007:0	And he placed them on the shoulder pieces of the ephod , as memorial stones for the sons of Israel , just as the Lord had commanded Moses .
2:39:008:0	He made the breastpiece , the work of a skillful workman , like the workmanship of the ephod : of gold and of blue and purple and scarlet material and fine twisted linen .
2:39:009:0	It was square ; they made the breastpiece folded double , a span long and a span wide when folded double .
2:39:010:0	And they mounted four rows of stones on it . The first row was a row of ruby , topaz , and emerald ;
2:39:011:0	and the second row , a turquoise , a sapphire and a diamond ;
2:39:012:0	and the third row , a jacinth , an agate , and an amethyst ;
2:39:013:0	and the fourth row , a beryl , an onyx , and a jasper . They were set in gold filigree settings when they were mounted .
2:39:014:0	The stones were corresponding to the names of the sons of Israel ; they were twelve , corresponding to their names , engraved with the engravings of a signet , each with its name for the twelve tribes .
2:39:015:0	They made on the breastpiece chains like cords , of twisted cordage work in pure gold .
2:39:016:0	They made two gold filigree settings and two gold rings , and put the two rings on the two ends of the breastpiece .
2:39:017:0	Then they put the two gold cords in the two rings at the ends of the breastpiece .
2:39:018:0	They put the other two ends of the two cords on the two filigree settings , and put them on the shoulder pieces of the ephod at the front of it .
2:39:019:0	They made two gold rings and placed them on the two ends of the breastpiece , on its inner edge which was next to the ephod .
2:39:020:0	Furthermore , they made two gold rings and placed them on the bottom of the two shoulder pieces of the ephod , on the front of it , close to the place where it joined , above the woven band of the ephod .
2:39:021:0	They bound the breastpiece by its rings to the rings of the ephod with a blue cord , so that it would be on the woven band of the ephod , and that the breastpiece would not come loose from the ephod , just as the Lord had commanded Moses .
2:39:022:0	Then he made the robe of the ephod of woven work , all of blue ;
2:39:023:0	and the opening of the robe was at the top in the center , as the opening of a coat of mail , with a binding all around its opening , so that it would not be torn .
2:39:024:0	They made pomegranates of blue and purple and scarlet material and twisted linen on the hem of the robe .
2:39:025:0	They also made bells of pure gold , and put the bells between the pomegranates all around on the hem of the robe ,
2:39:026:0	alternating a bell and a pomegranate all around on the hem of the robe for the service , just as the Lord had commanded Moses .
2:39:027:0	They made the tunics of finely woven linen for Aaron and his sons ,
2:39:028:0	and the turban of fine linen , and the decorated caps of fine linen , and the linen breeches of fine twisted linen ,
2:39:029:0	and the sash of fine twisted linen , and blue and purple and scarlet material , the work of the weaver , just as the Lord had commanded Moses .
2:39:030:0	They made the plate of the holy crown of pure gold , and inscribed it like the engravings of a signet , “ Holy to the Lord . ”
2:39:031:0	They fastened a blue cord to it , to fasten it on the turban above , just as the Lord had commanded Moses .
2:39:032:0	Thus all the work of the tabernacle of the tent of meeting was completed ; and the sons of Israel did according to all that the Lord had commanded Moses ; so they did .
2:39:033:0	They brought the tabernacle to Moses , the tent and all its furnishings : its clasps , its boards , its bars , and its pillars and its sockets ;
2:39:034:0	and the covering of rams’ skins dyed red , and the covering of porpoise skins , and the screening veil ;
2:39:035:0	the ark of the testimony and its poles and the mercy seat ;
2:39:036:0	the table , all its utensils , and the bread of the Presence ;
2:39:037:0	the pure gold lampstand , with its arrangement of lamps and all its utensils , and the oil for the light ;
2:39:038:0	and the gold altar , and the anointing oil and the fragrant incense , and the veil for the doorway of the tent ;
2:39:039:0	the bronze altar and its bronze grating , its poles and all its utensils , the laver and its stand ;
2:39:040:0	the hangings for the court , its pillars and its sockets , and the screen for the gate of the court , its cords and its pegs and all the equipment for the service of the tabernacle , for the tent of meeting ;
2:39:041:0	the woven garments for ministering in the holy place and the holy garments for Aaron the priest and the garments of his sons , to minister as priests .
2:39:042:0	So the sons of Israel did all the work according to all that the Lord had commanded Moses .
2:39:043:0	And Moses examined all the work and behold , they had done it ; just as the Lord had commanded , this they had done . So Moses blessed them .
