59:4:001:1	Nihłit'iinjaraa'ee
59:4:001:0	Zhit nihłit'iinjuh'ee , tr'eedeenihłoojyaa haa nijin gwats'an tr'idigwiindhat ? Gwiizųų gwizhit shroonchy'aa gahohtsyaa gwizhrįh gwinkeehoh'ik , ąįįt'ee khit nakhwazhit nich'itsahthat , ąįįt'ee jyaa dini'yaa kwaa gaanandaii gwiizhit .
59:4:002:0	Jidii nohthan datthak chan khwa'įį kwaa , ąįį geenjit chan dinjii ęęhdaatr'agooh'aa nohthan , zhyaa k'aiich'ii nohthan gaa khyų' ǫhjii . Ąįį geenjit tr'eedeenihłoojyaa ts'ą' nihłit'iinjuh'ee . K'eegwaadhat oohkat kwaa geh'an jidii nohthan datthak khwa'įį kwaa t'oonchy'aa .
59:4:003:0	Ąįįts'ą' chan ideenjit gwiizųų gwizhit shroonchy'aa gahohtsyaa geh'an vach'oohkat dąį' ohdak kwaa .
59:4:004:0	Jii nankat gwijyaa ǫhłįį ts'ą' K'eegwaadhat vijyaa ǫhłįį kwaa . Nakhwatee juu gwineetak ch'aadhichįį nąįį ! Dinjii da'at eet'iindhan izhit gwik'it K'eegwaadhat diineet'iindhan , nik'ee gwah'in ?
59:4:005:0	Dęhtły'aa Choh kat jyaa digwinyąą ąįį zhyaa t'igwinyąą noiinghya' shrǫ' , “ K'eegwaadhat jidii nakhwadrii zhit niin'ąįį nihk'it vaa gwiizųų t'akhwa'ya' nohthan . ”
59:4:006:0	Dęhtły'aa Choh kat jyaa digwinyąą “ K'eegwaadhat juu yats'ą' ndak t'iinchy'aa nąįį ts'į' t'inchy'aa , ts'ą' chan juu yats'ą' ndak t'inchy'aa kwaa nąįį gwintsii ts'inyąą . ”
59:4:007:0	Ąįįts'ą' K'eegwaadhat vantł'eedoochįį . Ch'anky'aa Tr'aanduu vits'į' t'iinchy'aa ji' nihłeedeheedhaa t'inchy'aa .
59:4:008:0	K'eegwaadhat vats'ą' hoiinzhii ji' nats'ą' heekhaa . Nakhwagwitr'it gwiizųų datthak akhagoohnyąą . Gwik'injiighit adaa'įį nąįį akhagohnyąą , ts'ą' K'eegwaadhat ts'ą' łihts'eedǫǫ'ee .
59:4:009:0	Nakhwatr'agwaanduu gwits'į' tree haa K'eegwaadhat vik'inkhaii . Nakhwagwitr'it gwiizųų gwiizhit shoo ǫhłį' shrǫ' , geenjit tr'agohdii .
59:4:002:1	Nihłandaa Gaakhwandaii Yųųhkhya' Shrǫ' !
59:4:010:0	Jii kwaii datthak jyaa dini'in ji' ndak gineenahahchyaa .
59:4:011:0	Shachaa nąįį , nihłeegǫǫhkhii kwaa ! Ąįį juu jyaadahthan nąįį t'ee K'eegwaadhat Viginjik chan jyaadahthan doonchy'aa . K'eegwaadhat Viginjik eegoohkhii ts'ą' nakhweenjit iizųų ji' t'ee ąįį Viginjik k'eegohthat kwaa t'ohchy'aa .
59:4:003:1	Ideech'ǫǫn'ya' Shrǫ' !
59:4:012:0	K'eegwaadhat zhrįh diginjik diitł'eiin'ąįį . Adan zhrįh neediihahshii akwat an diihahtsyaa . Ch'aroahkat drin zhit ji' adan zhrįh diinoohahkat . Juu ihłįį niindhan eenjit dinjii nąįį eeginkhii ts'ą' neenjit iizųų ?
59:4:013:0	Juk shoodǫǫhk'įį ! Juu jii jyaanyąą nąįį , “ Juk drin , nihkaa haa izhit kwaiik'it gwats'ą' tr'iheedaa ts'ą' shree drin ch'ihłak ( one year ) tr'ahaaky'aa ts'ą' ch'arookwat zheh nigwirehee'aa ts'ą' laraa lęįį hałtsyaa . ”
59:4:014:0	Nihkaa naa deegweheechy'aa gaanandaii kwaa ! Ch'atr'ał vakwaa neegwiilik k'it neegoo'aii .
59:4:015:0	Jii ąįį jyaa diinyąą . “ K'eegwaadhat k'iighai' , gwįįhdaii ji' jyaa dishi'yaa . ”
59:4:016:0	Gaa juk ąįį ndak t'iinchy'aa ts'ą' gwinzii gwizhrįh ideegiinkhii , ąįį kwaii gwiizųų t'iinyąą t'oonchy'aa .
59:4:017:0	Ąįįts'ą' t'ee ąįį juu dinjii vigwitr'it gwinzii gweheelyaa goo'aii gwiizhit gwik'it t'ii'in kwaa ji' chan vatr'agwaanduu gwanlii .
