59:5:001:1	Dinjii Valaraa Gwanlii Nąįį Deekhwa'in Gwak'ǫǫhtii
59:5:001:0	Juk dinjii valaraa gwanlii nąįį , shoodǫǫhk'įį ! Nakhwadiveegweheezųų t'oonchy'aa ohtree ts'ą' geenjit tr'agohdii .
59:5:002:0	Nakhwalaraa ajat ts'ą' ( moths ) nakhwagwach'aa chan ch'eeyin'al !
59:5:003:0	Nakhwa-gold , chan ts'ą' silver haa tsuh dhidlit ąįįts'ą' jii tsuh Ch'aroahkat Drin zhit ji' nak'aadagwahaandhal , ąįį geh'an natthąį' ch'iyehee'aa , kǫ' dee'in gwik'it . Juk Khaiinkǫǫ Drin zhit gaa tth'aii hee nakhwalaraa nihkat dohłii .
59:5:004:0	Juu neenjit gwitr'it t'agwah'in nąįį ininjigwanzhii ts'ą' gwinzii googoiinkwat kwaa . Gitr'igii'ee ts'ą' geegiginkhii , nik'ee gooviintth'ak ? K'eegwaadhat datthak geenjit t'aih di'įį chan gooviitth'ak t'inchy'aa .
59:5:005:0	Ch'aroahkat Drin zhit gwats'ą' nahgwan gaa , nankat gǫhdaii gwizhit łyaa jidii nohthan datthak khwa'įį ts'ą' shroonchy'aa gwizhrįh chan gǫhdaii .
59:5:002:1	Vaakhadhanchį' Kwaa ts'ą' Khadigiriinjii
59:5:006:0	Dinjii nizįį nąįį gwiizųų t'igiizhik diinyąą ts'ą' goovęhdaa tr'agwagwa'at ts'ą' ideenjit gaa giginkhii kwaa
59:5:007:0	Shachaa nąįį ! Diik'eegwaadhat Jesus oo'ee neeheedyaa eenjit nagoodhan'in , dinjii gwąąhshii jidii nahshii eenjit khalchį' kwaa gwik'it . Shreenyaa , shin haa hahtsin eenjit nagwal'in ąįį gwik'it nan chan nagoodhan'in .
59:5:008:0	Nihkhaneenoozhi' shrǫ' , Jesus niighit kwaa k'ineeheedik goo'aii .
59:5:009:0	Shachaa nąįį , nihłeegǫǫhkhii kwaa , izhit ji' , K'eegwaadhat gwiizųų t'inizhit kwaa nahaanjyaa . Ch'aroohahkat gwats'ą' niighit kwaa t'oonchy'aa .
59:5:010:0	Shachaa nąįį , ąįį juu Dęhtły'aa Choh zhit K'eegwaadhat oozhri' zhit geenjit ginkhii nąįį anoondaii , goovaagogwantrii dąį' gaa gwik'injigwiighit akhagagoonyąą kwaa . Ąįį nąįį gook'it'ohchy'aa .
59:5:011:0	Nihkhaneegiijil kwaa geenjit , goovaashroonchy'aa goovaagwiindaii . Job vaagogwantrii gaa nihkhaneezhii kwaa ts'ą' ndaagwąą'ąį' dąį' K'eegwaadhat yits'iinyą' . Jyąhts'ą' t'ee Diik'eegwaadhat diineenjit ch'eegoonzhrįį ąįįts'ą' ch'eet'igwiniindhan haa di'įį gaagwiindaii .
59:5:003:1	Khadigiriinjii Gwit'eegwaahchy'aa
59:5:012:0	Shachaa nąįį , “ Łi'haa K'eegwaadhat oozhri' zhit oihts'it kwaa t'ihnyąą ! ” doiinyą' shrǫ' ! Łyaa aahą' yiindhan ji' gwizhrįh “ Aahą' ” diinyąą , ąįįts'ą' chan nakwaa yiindhan ji' gwizhrįh “ Akwaa ” diinyąą , ąįį ji' K'eegwaadhat nagwahąhshįį kwaa .
59:5:013:0	Nakhwatee nik'ee dinjii vaagogwantrii ? Vaagogwantrii ji' khadigiinjii . Nik'ee goovaashroonchy'aa nąįį gwanlii ? Goovaashroonchy'aa ji' shoo haa K'eegwaadhat vats'ą' ch'agooli' .
59:5:014:0	Nakhwatee tr'iłts'ik ji' ch'anjaa gwik'injiighit kįh dilk'ii nąįį aanaii ohnyąą . Giiyeenjit khadigiheejyaa ts'ą' Jesus voozhri' zhit olive ghwai' haa giikat giheendaii .
59:5:015:0	Gwik'injigwiighit haa K'eegwaadhat vats'ą' khadigiriinjii ji' t'ee ąįį dinjii iłts'ik nąįį vaa shreehaanjyaa ąįįts'ą' gootr'agwaanduu gooveenjit oo'an gweheelyaa .
59:5:016:0	Ąįį ji' t'ee shatr'agwaanduu gwanlii nihłahohjyaa ts'ą' nihłeenjit khadagahohjyaa . Ąįį ji' t'ee shrineehaanjyaa . Dinjii K'eegwaadhat k'it gwandaii t'ee khagidiinjii dąį' łyaa K'eegwaadhat vat'aii gwats'an ąhtsii .
59:5:017:0	Elijah t'ee diik'it dinjii inli' . Hahtsin kwaa eenjit khagideedi' ts'ą' t'ee 3½ years datthak ąhtsin kwaa .
59:5:018:0	Ąįįtł'ęę chan hahtsin eenjit khagideedi' ts'ą' ąhtsin ts'ą' nankat datthak neegwiilzhii .
59:5:019:0	Shachaa nąįį , nakhwatee juu K'eegwaadhat ts'ii nil'ee ts'ą' ch'ihłee K'eegwaadhat ts'ą' nineeyąąhchįį ji' , ąįįt'ee gwinzii .
59:5:020:0	Ąįįts'ą' jii ganoondaii ; Ąįį juu dinjii vatr'agwaanduu gwanlii ch'izhii yits'iinyą' ji' t'ee dagwandaii ch'ichį' ts'į' neehahshii . Ąįį geh'an lęįį nąįį atr'agwaanduu oo'an gweheedaa .
