30:5:001:1	Łahgo át'éego tsíńdadohkees ho'doo'niid
30:5:001:0	Ízrel dine'é nohłíinii , díí saad dadoohts'į́į́h , dooládó' lá ayóó ánihiishłaago bik'ee yishchxa da .
30:5:002:0	Ízrel ch'ikę́ę́h bízháán naagháii naa'íígo'go doo náádoo'nééh ádzaa da ; bikéyahgi doo bidi'niidzíí'góó t'áadoo náábidoołáłí da .
30:5:003:0	Jó , Bóhólníihii Diyin God kóní , Kin haal'áádóó miilgo adahaazbaa'ii t'áá neeznádiiní doodzih , áádóó kin haal'áádóó neeznádiingo adahaazbaa'go t'áá neeznált'éhí daadzíi'go Ízrel dine'é yaa nídookah .
30:5:004:0	Jó , Bóhólníihii éí Ízrel dine'é ííłní , Shíká ádaaht'į́įgo dahinohnáa doo .
30:5:005:0	Nidi Béthel kin shijaa'góó , doodaii' Gílgal kin shijaa'góó , doodaii' Bíyer-shííba kin shijaa'góoda t'áadoo nidaahkaí , háálá Gílgaldóó dine'é yisnááh biniyé abidi'niit'áah doo índa Béthel t'áadoo nídoodleełí da .
30:5:006:0	Bóhólníihii hádaaht'į́įgo dahinohnáa doo , áko kǫ' bee iih hodoo'nilígi át'éego Jóseph bikindóó dine'é bitahgi doo didooltłił da , áádóó Béthelgi hodook'ą́łígíí t'áadoo yiinółtsésí da dooleeł .
30:5:007:0	T'áá ákóne' át'éii yę́ę dích'íi'go ádaał'íinii áádóó nihokáa'gi ts'ídá t'áá ákogi át'éii yę́ę yóó'adahidoh'aahígíí , Bóhólníihii hádaaht'į́ .
30:5:008:0	Éí Dilyéhé índa Átsé'ets'ózí áyiilaii , chááháłhiłígíí abíní ánáyiil'įįhii , jínígíí tł'éé' ánáyiil'įįhii , tónteel bits'ą́ą́dóó tó yókeedii éí nahasdzáán bikáa'jį' tó kwííł'íinii éí Bóhólníihii bee wójí .
30:5:009:0	Éí dziil yik'ijį' nilį́įgo ó'oołdįįł , áko bine' nida'adzi'ii ałtso niyiiłchxǫǫh .
30:5:010:0	Aań'dítį́įhgi aditehgo sizíinii deijoołxá ; t'áá ákóne' át'éego halne'ii yik'ee dadiniih .
30:5:011:0	Hojoobá'ígo ádaat'éii t'óó bik'i naahkaigo áádóó bitł'oh naadą́ą́' t'óó bighadahidoht'aahgo bąą azhą́ tsé hasht'e'nibída'ałne'ii bee kin ádaohłaa nidi , doo bii' kéédahoht'į́į da dooleeł áádóó ch'il na'atł'o'ii k'idadooláa nidi , bits'ą́ą́dóó wáin doo ła' dadoohdlį́įł da .
30:5:012:0	Háálá bee haz'áanii dahooti'ii áádóó ádił nida'ayołzíihii t'óó ahayóigo shił bééhózin ; t'áá ákogi ádaat'éii atídaoł'į́ áádóó bee naho'diiniihii nídahidoohnííł índa aań'da'ditį́įhgi hojooba' ádaat'éii áts'ą́ąjį' bida'ayołnííh .
30:5:013:0	Éí bąągo diné hóyáanii t'óó déesyéelgo bíyoołkáał doo , háálá doo yá'át'ééhgóó hoolzhish .
30:5:014:0	Yá'át'éehii hádaaht'į́ , doo yá'át'éehii éí dooda ; ákódaaht'į́įgo t'éí dahinohnáa doo . Índa t'áá ádadooniidígi át'éego t'áá ałtsoní bee Bóhólníihii Diyin God nihił hólǫ́ǫ dooleeł .
30:5:015:0	Doo yá'át'éehii bik'ee dadinohniih ; yá'át'éehii t'éí ayóó'ádeínóh'ní ; t'áá ákóne' át'éii bee niłdzilgo dáń'dítį́įhgi nihaa nídóot'įįł . Áko t'áá ałtsoní bee Bóhólníihii Diyin God éí Jóseph dine'é yidziihígíí ajooba'da yee yik'iizhdoodliił daats'í .
30:5:016:0	Éí bąą t'áá ałtsoní bee Bóhólníihii éí Diyin God , Bóhólníihii kóní , Da'nítiin t'áá ałtsogóó índa kintah da'nítiingóó diné chaał hahodidoołdlałgo , Ayáhéi' , ayáhéi' , daaníigo k'ééda'didléehii yínííł danohłį́ , deiłníi doo ; chxaał nidahałe' dayiichįįhii daachxa doogo hágo bidoo'niid .
30:5:017:0	Ch'il na'atł'o'ii k'éédadilyéhígóó cha háá'áa dooleeł , háálá ákǫ́ǫ́ nihitah ch'ídeeshááł , ní Bóhólníihii .
30:5:018:0	Bóhólníihii beidoołkááł bíká dadínóh'į́į'ii doo hojooba' ájíníi da ! Bóhólníihii beidoołkáłígíí ha'át'íísh nihá íidoolííł ? T'óóyee' chahodoołhiłgo doo adinídíin da doo .
30:5:019:0	Diné éí náshdóítsoh bitsiijį' ditł'ooígíí yits'ą́ąjį' dah diilwodgo shash bidááh yílwodígi át'éego , doodaii' yah anííchą́ą'go kin yideelchidgo kin bąąhdę́ę́' tł'iish bidoołhashígi át'éego
30:5:020:0	Bóhólníihii beidoołkáałdi chahodoołhiłgo doo adinídíin da doo áádóó t'áá íiyisí chahodoołhiłgo doo nidi hool'in da doo .
30:5:021:0	Hodílzingo áłah nídaohdleehii ts'ídá jooshłxá ; ts'ídá doo nisxin da áádóó baa áłah danohłį́į nidi , doo baa shił hózhǫ́ǫ da .
30:5:022:0	Azhą́ didlidgo nááhániihii áádóó ak'áán nááhániihii shich'į' náádahołniih nidi , éí doo dínéesįįł da áádóó hózhǫ́ǫ́jí biniyé neesk'ahii náádahołniihígíí doo t'áá k'ad nééł'į́į' da .
30:5:023:0	Sin bee dahohtaałgo hahooł'áhígíí shits'ą́ąjį' kódaahłééh . Tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii bee nidaahnéego doo yínísts'ą́ą' da doo .
30:5:024:0	Nidi tó náálį́ nahalingo doo haada yit'éii hólǫ́ǫ le' índa ts'ídá bidziilgo tó nílį́ nahalingo ts'ídá t'áá ákwii át'éii hólǫ́ǫ le' .
30:5:025:0	Ízrel dine'é nohłíinii , dízdiin nááhaijį' honoojíidi didlidgo náádahaniihígíí áádóó náádahaniihiísh shich'į' náádahołniih nít'éé' ?
30:5:026:0	Jó , e'elyaii bich'į' nidahohłáa doo biniyé ádaahłaaígíí éí nihidiyin bidi'níinii Mólak biníbaal nidaah'áá nít'éé' áádóó nihidiyin bidi'níinii Káíyan bisǫ' nidaah'áá nít'éé' .
30:5:027:0	Éí bąą Damáskas kin haal'á bilááhgóó yisnááh danohłį́įgo ánihideeshłííł , ní Bóhólníihii , éí T'áá'ałtsoní biDiyin God wolyéii .
