30:8:001:1	Dį́į́' góne' ił ádzaii : shį́įgo aneest'ą' ts'aa' bee sikánígíí
30:8:001:0	Ákohgo Bóhólníihii Diyin God díí shił yit'íní ánááyiidlaa : shį́įgo aneest'ą'ígíí ts'aa' bee siką́ , jó'akon .
30:8:002:0	Áko áshidííniid , Éímas , ha'át'íishą' yíní'į́ ? Áádóó ádíshní , Shį́įgo aneest'ą'ígíí ts'aa' bee siką́ . Ákohgo Bóhólníihii áshidííniid , Ízrel shidine'é danilíinii bił nihoníyáhígíí át'é ; doo t'óó haa náádideesh'áał da .
30:8:002:1	Ízrel dine'é ábidi'dooldįįł baa hoolzhiizh
30:8:003:0	Áko Bóhólníihii Diyin God ání , Éí bijį́ kin bii' sohodizin si'ánídóó sin éí cha nídoodleeł . Ats'íís daneeznáanii t'óó ahayóí t'áá ałtsogóó nihidadíl'áago t'áadoo íits'a'í éí ats'íís yóó'adayiiłtł'iid doo .
30:8:004:0	Kéyahgi badahojoobá'íii ch'ééh ádaat'į́į doo biniyé hojooba' ádaat'éii bik'i naołdeehii , díí dayisínółts'ą́ą́' :
30:8:005:0	shą́ą́' , kódadohní , Dah yiitą́ biháá'áyį́į́h jį́ hahgo bił ahodoolzhish , áko tł'oh naadą́ą́' nídaneelt'ánígíí nidahidiilnih ? Háá'áyį́į́h jį́ hahgo bił ahodoolzhish , áko tł'oh naadą́ą́' ahidahididiijihgo nidahidiilnih ? Bee ha'iikaahí áłts'íísígo ádadiilnííł áádóó béésh bik'ehgo dah adiidloohí nitsaago ádadiilnííł áádóó éí bee nihinda'adlo'go dah da'diyiidleehgo nihaa nida'iiniih doo .
30:8:006:0	Áko badahojoobá'íii éí béésh łigaii bee nidahidiilnih áádóó hojooba' nahas'áanii éí ké bee nidahidiilnih índa tł'oh naadą́ą́' bizhool nihaa nidahidoonih .
30:8:007:0	Bóhólníihii éí Jéíkab baa dzólíii yee ádee hadoodzíi'go ání , Ádáát'įįdii t'áá aaníí ts'ídá doo beidiyeeshnah da .
30:8:008:0	T'áá aaníí , kéyahígíí díí yik'ee naha'náa doo áádóó ákwii kéédahojit'íinii t'ááłá'í jinítínígo dajichxa doo índa Ííjip kéyahdi Náil tooh nílíní góyaa ayóó át'éego tooh wó'ądadziiłhaał áádóó tó yaa ná'nool'ąął nahalingo díí kéyahgi ákóhodoonííł .
30:8:009:0	Bóhólníihii Diyin God ání , Éí bijį́ ałní'ní'ą́ągo i'doo'ááł , áko jį́ hazlį́į' nidi , chahałheełgo ádeeshłííł .
30:8:010:0	Nihihodiyingo áłah nída'adleehii baa yínííł danohłį́įgo áádóó nihiyiin t'áá ałtso bee cha hahooł'áago ánihideeshłííł . Tł'oh yishbizh éé' bee áká dasoołzaazgo áádóó nihítáá' ada'iizt'óodgo ánihideeshłííł . Baa hoolzhiizhgo aye' t'ááłá'í yę́ę baa atínídadinohdlehígi át'éego áádóó t'áá íiyisí yínííł bił i'doo'áłígi át'éego ádeeshłííł .
30:8:011:0	Bóhólníihii Diyin God ání , Kéyahgi hodichingo ádeeshłíłígíí beidoołkááł , jó'akon . Bááh doo bíká dazhdichin da doo ; tó doo bíká dibáá' dajílį́į da doo , nidi Bóhólníihii bizaad wólts'ą́ą' dooígíí bíká hodidoochįįł .
30:8:012:0	Tónteel ha'naadę́ę́' tónteel ha'naajį' áádóó náhookǫsdę́ę́' ha'a'aahjį' ałnáádajijahgo Bóhólníihii bizaad hadazhnitáago nidajikai , nidi doo bik'í dazhdookah da .
30:8:013:0	Éí bijį́ ch'ikéí bízháán nidaakaii baa dadzólníinii áádóó diné ániid nidaakaii dibáá' bik'ee bíni' áńdaadįįh doo .
30:8:014:0	Samériya dine'é éí bi'e'elyaii yee bidahodiit'i'ii yee ádee hadahididziihgo ádaaní , Dan dine'é danohłíinii , nihidiyin nilíinii be'iina' binahjį' áádóó Bíyer-shííba bidiyin nilíinii be'iina' binahjį' ádee hadahidiidziihgo át'é . T'áá aaníí éí bik'eh hodidoodleełgo doo dine'é nídadoodleeł da .
