30:6:001:1	Ízrel dine'é ábidi'dooldįįł
30:6:001:0	Dził Záíyangi doo hodítéehee kéédahoht'íinii índa Dził Samériya bighą́ą'di hasih danohsingo kéédahoht'íinii doo hojooba' ájíníi da ! Ał'ąą dine'é bitahdóó aláahdi dine'é jílíinii , hwi'aląąjį' naazíinii nohłíinii , Ízrel dine'é nihaa hakáhígíí nihich'į' doo hojooba' ájíníi da !
30:6:002:0	Kálnehígóó nídadohkahgo danół'į́ áádóó Héímath ayóó át'éego bił haz'ą́ą́góó ałnáádaahkah áádóó Gathgi Filístiya dine'é bił haz'ą́ą́ góyaa ałdó' nídadohkah . Da' díí bee óhólnííh bił haz'áaniísh biláahgo ayóó ádaat'é ? Éí doodaii' nihił hahoodzooígíísh biláahgo ts'ídá ayóó át'éego bił hadahwiisdzo ?
30:6:003:0	Doo yá'áhoot'ééhgóó yoołkáał doo ha'nínígíí áts'á dabíínółnáa nidi , nihá nidahodoot'ááł baa hodoolzhishígíí ahą́dí hadziihgo ída'doołyaa .
30:6:004:0	Áívori wolyéii tsásk'eh bee ádaalyaago bikáá' nijizhjée'ii áádóó bik'i dah antéhí bikáá' naanídajishjizhii áádóó dibé nanilkaadę́ę́' dibé yázhí índa béégashii shijéé'dóó béégashii yáázh dajilghałii hach'į' doo hojooba' ájíníi da !
30:6:005:0	Tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii bik'ehgo t'óó dzólníígóó dahataałii áádóó David áát'įįd yę́ęgi át'éego bibee na'a'néhí sin yee nidaanéhígíí ádá ádeilne'ii hach'į' doo hojooba' ájíníi da !
30:6:006:0	T'óó bee adlání nitsxaii bee wáin dajidláanii áádóó ak'ah łikání halchinii aláahgo ílíinii bee ádazhdiltłah , nidi Jóseph dine'é yik'ee ti'dahooznii'ígíí doo bik'édí dajílíinii hach'į' doo hojooba' ájíníi da !
30:6:007:0	Éí bąą k'ad hó ts'ídá átsé yisnááh dazhdooleeł áádóó naanídaashjizhgo áda'azįįdgi da'ayáanii hoł yóó'ahodoogááł .
30:6:008:0	T'áá ałtsoní bee Bóhólníihii Diyin God ání , Bóhólníihii Diyin God t'áá bí ádee hadoodzíi'go ádííniid , Jéíkab bibee ádaa hodzódli' t'óó shił baa'ih ; bidziilgo bił nahaz'ánígóó t'óó hojooshłxá ; kin haal'áii áádóó bii' dahólóonii t'áá bił ninádideesh'ááł .
30:6:009:0	Ákóhoodzaago diné neeznájílt'éego kin t'ááłá'ígíí t'áá biyi' nidzíiztą́ągo éí dazhdínóonééł .
30:6:010:0	Éí diné bik'éí ła' , doodaii' biyah adiiłk'ą́ąhii yóó'ábidoolíłígíí biniyé kindóó dabits'in ch'ííjáahgo kin biyi' góne' yidzí'ígíí áyididooniił , Ła'daásh bił nidinílt'é ? Áko ádidooniił , Nidaga' . Na'ídééłkidii ánáádidoo'niił , T'áadoo yáníłti'í , háálá Bóhólníihii bízhi' doo bee yáti' da .
30:6:011:0	Shoo , Bóhólníihii yee hadoodzih , éí t'áá bí kin ayóó áníłtsoii ahiih néidiyoołkał áádóó kin áłts'íísígíí yididooséí , jó'akon .
30:6:012:0	Tsé'éłkáa'giísh łį́į́' t'áá nídidoolwoł ? Ákwiísh béégashii bee nihwiildlaad ? Nidi doo haada yit'éii báhádzidii nináhádleeh ádaahłe' índa t'áá ákogi át'éii bineest'ą' t'óó báhádzidgo dích'íí' nináhádleeh ádaahłe' .
30:6:013:0	T'áadoo dabiniyéhígíí baa nihił nidahoozhǫǫh áádóó ádadohní , T'áá nihí ayóó adanihóodziilii bee danihidziil dasiidlį́į́' .
30:6:014:0	Nidi t'áá ałtsoní bee Bóhólníihii Diyin God ání , Ízrel dine'é danohłíinii , ana'í nilíinii nihich'į' nídahidiikáahgo ádeeshłííł ; éí Héímathdóó honoojíigi tooh nílíníjį' atídanihił'į́įgo ádeeshłííł , jó'akon .
