30:9:001:1	Bóhólníihii yee aa yinít'íinii doo bits'ą́ąjį' kójóne' át'ée da
30:9:001:0	Bikáá' náá'iiniihí bíighahgi Bóhólníihii sizį́įgo yiiłtsą́ áádóó áshíłní , Kin bíyah daniitł'inígíí bílátahgi nídiiłhaałgo ch'é'étiingi naa dah sitání ditsxizgo bąą áyah daniitł'inii t'áá ájít'é hak'ijį' nidahałdaasgo ádíílííł , áko dadzidziihígíí diltłish bee nidahodeestsił . Bitahdę́ę́' ch'íjílyeed nidi , doo yóó'azhdoolwoł da áádóó bitahdę́ę́' ch'íjígháah nidi , doo yisdázhdoogáał da .
30:9:002:0	Azhą́ hool'áágóó ti'hoo'nííh góyaa adziiskai nidi , áádę́ę́' hááhodiyeesh'ish ; yót'ááhgóó adziiskai nidi , áádę́ę́' adááhodeesh'ish .
30:9:003:0	Áádóó azhą́ Dził Kármel bighą́ą'di nida'ádizhnil'in nidi , há hodídéesh'įįłgo nináhodiyeesh'ish , áádóó azhą́ tónteel bitł'ááh góyaa shits'ąą nídazdeest'į́į' nidi , áadi tł'iish ahidahodiyoołhashgo há hadeesdzih .
30:9:004:0	Azhą́ hwe'ana'í biyisnááh dadzizlį́į' nidi , áadi diltłish bee nahodi'dootsxiłgo bee hadeesdzih ; doo yá'át'éhígi áhodeeshłíłígíí biniyé háká yish'áał doo , yá'át'ééhjí éí dooda .
30:9:005:0	T'áá ałtsoní bee Bóhólníihii Diyin God éí nahasdzáán yideelchidgo ałtso diłhį́įhgo áádóó nihokáa'gi kéédahat'íinii t'áá ałtso yínííł danilį́įgo ííł'į́ . Ííjip kéyahdi Náil tooh nílíní góyaa ayóó át'éego tooh wó'ądadziiłhaał áádóó tó yaa ná'nool'ąął nahalingo nihokáá' ákóhodoonííł .
30:9:006:0	Yá'ąąsh aghánáhóó'áadi bighango áyiilaa , áádóó nahasdzáán yik'i dah asbaalgo áyiilaa . Tónteel bits'ą́ą́dóó tóhígíí dah doołdóóh néidi'niihgo nahasdzáán bikáa'jį' naałtingo ííł'į́ . Díí t'áá ałtso áyoolíiłii éí Bóhólníihii bee wójí .
30:9:007:0	Bóhólníihii ání , Ízrel dine'é danohłíinii , da' shich'į'goósh doo Iithiyópiya dine'é nidahonohłin da ? Shą́ą́' , Ííjip kéyahdę́ę́' éí Ízrel dine'é ch'íní'eezh ni' áádóó Káftor kéyahdę́ę́' éí Filístiya dine'é ałdó' ch'íní'eezh índa Kir haz'ą́ą́dę́ę́' éí Síriya dine'é ałdó' ch'íní'eezh .
30:9:008:0	Ízrel dine'é yee bóhólníihgo bił haz'áanii éí bąąhági át'éego bił haz'ą́ągo Bóhólníihii Diyin God biníł'į́ , jó'akon , áko éí nahasdzáán bikáa'jį' t'óó áhodeeshdįįł , nidi Jéíkab dine'é éí doo ałtso ádeeshdįįł da , ní Bóhólníihii .
30:9:009:0	Háálá bee hadeesdzihgo éí bee aghá'níldéhí bee tł'oh naadą́ą́' ats'áníldéehgo t'ááłá'í nidi doo ła' ni'jį' naalts'íi daígíí nahalingo ał'ąą dine'é t'áá át'é bitahgóó Ízrel dine'é ats'áhodínéeshdah .
30:9:002:1	Náás hodeeshzhiizhdi Ízrel dine'é yisdádoo'nił
30:9:010:0	Shidine'é bitahgóó ádił nida'iilzíihii éí doo yá'át'éehii doo nihidídóołniił da , doo nihaa nídóot'įįł da , daanínígíí éí t'áá át'é diltłish bee nidahodi'dootsił .
30:9:011:0	Éí bijį́ David bighan nahasdázígíí áńdeeshdlííł ; éí nídeeshtł'į́įłgo ninádeesh'ááł ; ałk'idą́ą́' ahéé'ítł'inígi át'éego áńdeeshdlííł .
30:9:012:0	Íídam dine'é áádóó ał'ąą dine'é t'áá ałtso ch'éékaígíí shízhi' bee dayídóojiiłii bíí' dooleeł , ní Bóhólníihii , díí áyoolíiłii jílíinii .
30:9:013:0	Bóhólníihii ání , Jó'akon , ayizhii éí t'áá bikéé' ła' nináhwiiłdlaad doo áádóó k'éédídléehii éí t'áá bikéé' ła' wáin yąąh hayiiníihii éí bílástsii' k'inéididlée doo . Dził daní'áii bąąhdę́ę́' ch'il na'atł'o'ii bitoo' łikanii nidahidilch'ą́ął doo , áádóó dah daask'idgóó bee nídahidi'eeł doo .
30:9:014:0	Shidine'é Ízrel yisnááh danilíinii nahjį' kódeeshłíiłgo daabíí' nít'éé' yę́ę bíí' nídadoodleełgo ádeeshłííł áádóó kin hadaas'áii nidahaazhchxǫ' yę́ę hasht'éédeidoodlíiłgo yii' kénáádahat'į́į doo . Áádóó ch'il na'atł'o'ii k'éédadilyéehgi k'idadi'dooléełgo wáin deidlą́ą doo índa dáda'ak'ehgi k'idadi'dooléełgo bits'ą́ą́dóó aneest'ą' deiyą́ą doo .
30:9:015:0	Áko hakéyahgi k'ééhodideeshdlééł áádóó hakéyah haa diní'áanii biyi'dóó doo ch'ínááhodi'nólkaad át'ée da doo , ní Bóhólníihii nihiDiyin God .
