30:3:001:1	Diyin God yá halne'ii binaanishii
30:3:001:0	Ízrel dine'é danohłíinii , Ííjip kéyahdę́ę́' ch'ínihiní'eezhii t'áá ánółtso Bóhólníihii bizaad yee nihik'ijį' nilį́įgo yáłti'ígíí dadoohts'į́į́h .
30:3:002:0	Nihokáá' dine'é danilíinii bitahdóó nihí t'éiyá nihééhasin ; éí bąągo doo ákwii ádaot'įįdii t'áá át'é biniinaa atínihideeshłííł .
30:3:003:0	Hazhó'ó ahazhdeet'ą́ągo lá t'éiyá t'áá ła' joo'ash doo ni .
30:3:004:0	Da' náshdóítsoh bitsiijį' ditł'ooígíí naalzheehgo t'ah doo shóyoołt'eehgóósh áníi doo ? Náshdóítsoh yáázh bitsiijį' ditł'ooígíí yidoolghałii t'ah doo shóyoołt'eehgóósh bi'áándę́ę́' yichxa doo ?
30:3:005:0	Da' ni' bikáa'gi tsídii éí łoh bee doodlohii doo bá si'ą́ą́góósh t'áá yiih doogááł ? Da' t'áá áhoodzaadę́ę́'ésh łoh t'áá azdooloh ?
30:3:006:0	Kin haal'áajį' deenásts'aa' bidee' bee í'dílzoołí ádííniidgo t'áá aaníí diné nídadooldzííł . Kin haal'áii bik'ijį' doo yá'áshóonii ahóóle'go Bóhólníihii éí binaanish át'é .
30:3:007:0	T'áá aaníí , Bóhólníihii Diyin God doo haada adoolíił da , nidi bá naal'a'í bá dahalne'ii t'áá nahont'inee ááníłígíí yił ch'íyii'aahgo índa áánííł .
30:3:002:1	Samériya ábidi'dooldįįł
30:3:008:0	Náshdóítsoh bitsiijį' ditł'ooígíí ayóó íits'a'go áníigo , háishą' t'áadoo nídooldzíił da ? Bóhólníihii Diyin God hahadziihgo , háishą' doo bá yáłti'góó yíneel'ą́ą doo ?
30:3:009:0	Áshdad kin haal'áagi índa Ííjip kéyahgi bidziilgo bił nahaz'áanii bikáá' nidasoozį́įgo baa nidahodołdlaadgo ádadohní , Samériya dził naaznilígíí bighą́ą'di áłah nohłį́į doo , áko bitahdę́ę́' ayóó át'éego hahóó'á índa bide ádahólzinii nihił béédahodoozįįł .
30:3:010:0	Áko bidziilgo bił nahaz'ánígóó t'áá na'níle'dii aghadayiis'nilii hasht'e' nidayiiznilígíí éí ts'ídá yá'át'éhígi ádadooníłígíí doo bił béédahózin da , ní Bóhólníihii .
30:3:011:0	Éí bąągo Bóhólníihii Diyin God kóní , Ana'í doonéełgo nihikéyah yinídoot'ihgo bee nihidziilii nihits'ą́ą́' yaa kódeidoolííł , índa bidziilgo nihił nahaz'ánídóó ałtso nihighada'doolyééł .
30:3:012:0	Áko Bóhólníihii kóní , Na'niłkaadii éí dibé bijáád t'áá naakihígo , doodaii' bijaa' t'áá ałní'ídóó náshdóítsoh bitsiijį' ditł'ooígíí bizéé'dóó hááyoo'nizhígi át'éego Samériyadóó Ízrel dine'é éí bik'i dah asdáhí naanáz'áhígíí índa tsásk'eh bijáád t'éiyá yił dah dadínóochééł .
30:3:013:0	Bóhólníihii Diyin God éí t'áá ałtsoní bee Bóhólníihii Diyin God nilíinii ání , Íísíníłts'ą́ą́' , Jéíkab ba'áłchíní danilíinii díí bee bił hólne' .
30:3:014:0	Ízrel dine'é bee haz'áanii dajiizti'ii biniinaa atíhodeeshłíłígíí t'áá éí bijį́ Béthelgi bikáá' náá'iiniihí ałdó' ałtso nihideeshchxǫǫł , áádóó bikáá' náá'iiniihí bidee' yadaa'áhígíí k'íhidoolniiłgo ni'jį' adínóodah .
30:3:015:0	Kin bii' nídabeehahii índa kin bii' nídabeeshį́įhii nihideeshchxǫǫł áádóó áívorii wolyéii bee kin ádaalyaii ádin dooleeł , áko kin ayóó ádaat'éii ałtso ádin dooleeł , ní Bóhólníihii .
