55:3:001:1	The Dangers of the Last Days
55:3:001:0	You should know this , Timothy , that in the last days there will be very difficult times .
55:3:002:0	For people will love only themselves and their money . They will be boastful and proud , scoffing at God , disobedient to their parents , and ungrateful . They will consider nothing sacred .
55:3:003:0	They will be unloving and unforgiving ; they will slander others and have no self-control . They will be cruel and hate what is good .
55:3:004:0	They will betray their friends , be reckless , be puffed up with pride , and love pleasure rather than God .
55:3:005:0	They will act religious , but they will reject the power that could make them godly . Stay away from people like that !
55:3:006:0	They are the kind who work their way into people 's homes and win the confidence of vulnerable women who are burdened with the guilt of sin and controlled by various desires .
55:3:007:0	( Such women are forever following new teachings , but they are never able to understand the truth . )
55:3:008:0	These teachers oppose the truth just as Jannes and Jambres opposed Moses . They have depraved minds and a counterfeit faith .
55:3:002:1	Paul 's Charge to Timothy
55:3:009:0	But they wo n't get away with this for long . Someday everyone will recognize what fools they are , just as with Jannes and Jambres .
55:3:010:0	But you , Timothy , certainly know what I teach , and how I live , and what my purpose in life is . You know my faith , my patience , my love , and my endurance .
55:3:011:0	You know how much persecution and suffering I have endured . You know all about how I was persecuted in Antioch , Iconium , and Lystra — but the Lord rescued me from all of it .
55:3:012:0	Yes , and everyone who wants to live a godly life in Christ Jesus will suffer persecution .
55:3:013:0	But evil people and impostors will flourish . They will deceive others and will themselves be deceived .
55:3:014:0	But you must remain faithful to the things you have been taught . You know they are true , for you know you can trust those who taught you .
55:3:015:0	You have been taught the holy Scriptures from childhood , and they have given you the wisdom to receive the salvation that comes by trusting in Christ Jesus .
55:3:016:0	All Scripture is inspired by God and is useful to teach us what is true and to make us realize what is wrong in our lives . It corrects us when we are wrong and teaches us to do what is right .
55:3:017:0	God uses it to prepare and equip his people to do every good work .
