66:1:001:1	Jesus Christ yit'íní ályaa
66:1:001:0	T'óó hodíínáá'ígo ádahodooníiłii Jesus Christ bá nidaal'a'í yich'į' íidoolííł biniyé Diyin God bił yit'íní áyiilaa, áádóó John éí Christ bá naal'a'í jílíinii hach'į' bidiyingo naal'a'í yiníł'a'go hoł yit'íní áyiilaa. 
66:1:002:0	Éí John t'áá bí yiyiiłtsáanii t'áá ałtso áádóó Diyin God bizaad índa Jesus Christ baa hane'ii yaa hoolne'. 
66:1:002:1	Tsosts'idgo da'oodlání áłah nídaadleehii k'é bi'doo'niid
66:1:003:0	Díí ádahodooníiłii baa hane'go yółta'ígíí bik'ihojidlí, índa éí saad deidiits'a'ígíí bik'idahojidlí, áádóó díí biyi' bee ak'eda'ashchíinii yik'eh dahół'íinii ałdó' bik'idahojidlí, háálá koshídę́ę́' hoolzhish. 
66:1:004:0	Shí John, Éízha kéyah biyi'di tsosts'idgo da'oodlání áłah nídaadleehii bich'į' naaltsoos áshłééh:Diyin God éí hojílóonii, éí t'áá áłahjį' hojílónígíí, t'áá éí jidoogáałii, áádóó Níłch'i tsosts'idgo habikáá'dóó nahat'áii yidááhdóó naazíinii, éí habee ajooba' índa habee ach'į' hózhǫ́ náhásdlį́į'ii bee nihik'ihojidlíi le', 
66:1:005:0	índa Jesus Christ, ba'ahódlíii oo'íinii k'ehgo halne'ii, aninéédę́ę́' áłtsé hinááh násdlį́į'ii, ni' bikáa'gi aláahgo naat'áanii danilíinii yinant'áii, éí bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi le'.Ayóó'ánihijó'níigo hadił bee nihibąąhági át'éii nihąąh táádzízgiz, 
66:1:006:0	índa haDiyin God t'áá éí haTaa' bee bóhólníihii áádóó bá náá'iiłniihii daniidlį́įgo ádanihijiilaa. Ayóó é'ét'é índa óhólnííh hool'áágóó ahóyéel'áágóó hóó' dooleeł! T'áá ákót'ée doo. 
66:1:007:0	Jó'akon, k'os bił yildohgo doogááł, áko diné t'áá ałtso dahwiidoołtsééł, t'áá éí ada'ashiizhii dahwiidoołtsééł. Ni' bikáá'góó ał'ąą dine'é t'áá ałtso haniinaa ák'idadiit'aah doo. T'áá aaníí! T'áá ákót'ée doo. 
66:1:003:1	Diné Silį́į'ii ił ádzaa
66:1:008:0	Bóhólníihii Diyin God, hojílóonii, éí t'áá áłahjį' hojílónígíí, t'áá éí jidoogáałii, Aláahgo Ayóó'áhóodziilii ájíní, Álfa áádóó Oméga, bee hodeezt'i'ii índa bee nihonít'i'ii shí éí nishłį́. 
66:1:009:0	Shí John, nihínaaí nishłíinii, Jesus bił łá'í daniidlį́įgo ti'hoo'nííh áádóó aláahgo bee bóhólníihgo bił haz'áanii índa nízaadgóó ha'ahóní nihił ałts'ą́ą́' da'nisk'iiz. Diyin God bizaad baa hashne'go índa Jesus bá hashne'go biniinaa táyi'dę́ę́' kéyah háá'áago Pátmos hoolyéedi nishi'deeltį́. 
66:1:010:0	Bóhólníihii biháá'áyį́į́h jį́į́ góne' Níłch'i Diyinii nashiiłáá nít'éé', shikéédę́ę́' dilnígi át'éego ayóó íits'a'go iinéé' diséts'ą́ą́', 
66:1:011:0	kóníigo, [Álfa áádóó Oméga, áłtséhígíí índa akée'diígíí nishłį́. Áádóó,] Yíní'ínígíí naaltsoos bikáá' áníléehgo Éfesasgi, Smírnagi, Pérgamasgi, Thaiyatáíragi, Sárdisgi, Filadélfiyagi, índa Leiyodisíyagi, éí tsosts'idgo da'oodlání áłah nídaadleehii bich'į' ánílééh. 
66:1:012:0	Áko shich'į' yáłti'ígíí yideestsééł nisingo náháyáá nít'éé'; bee hool'iní bá yadaa'áhígíí óola bee ádaalyaa léi' tsosts'idgo yiiłtsą́, 
66:1:013:0	áádóó bee hool'iní bá yadaa'áhígíí bitahgi ła' Diné Dzizlį́į'ii nahojílingo hoołtsą́, t'áá hazhdiil'ée'go óola sis hajéíts'iin gónaa binázt'i'. 
66:1:014:0	Hatsiits'iin áádóó hatsii' aghaałgaiigi át'éego łigai, yasígi át'éego łigai, áádóó hanáá' kǫ' dah nídíno'ígíí nahalin; 
66:1:015:0	hakee' éí déédíljah góne' béésh łitsoii nídoolyį́į'go ániidí ánályaago bízdílidígíí nahalin, áádóó tó t'óó ahayóí hadah yiilį́ nahalingo hwiinéé' diits'a'; 
66:1:016:0	hála' nish'náájí bee sǫ' tsosts'idgo dah joojih, áádóó diltłish t'áá ałch'ishjigo deeníinii hazéé'dę́ę́' hadzisih, índa jį́honaa'éí bits'ádi'nílííd nahalingo hanii' yiiłtsą́. 
66:1:017:0	Shí hoołtsą́ągo dadziztsą́ nahalingo hayaajį' íígo'. Nidi kóníigo bíla' nish'náájí yee shik'i dah deesnii', T'áadoo nił yé'í, áłtséhígíí índa akée'diígíí nishłį́. 
66:1:018:0	Hináanii nishłį́; dasétsą́ą́ nít'éé', nidi k'ad shoo, ahóyéel'áágóó hinishná. [T'áá ákót'ée doo.] Anoonééł áádóó ch'į́įdiitah bibee ąą ńdítį́hí shee hólǫ́. 
66:1:019:0	Yíní'ínígíí áádóó k'ad ádaat'éii índa náásgóó ádahodooníiłii k'ad bee ak'e'íłchí. 
66:1:020:0	Nish'náájí shílák'eegi sǫ' tsosts'id doo bééhózinii yiniłtsáanii áádóó bee hool'iní bá yadaa'áhígíí óola bee ádaalyaii doo bééhózinii yiniłtsáanii díí óolyé: tsosts'id sǫ'ígíí éí tsosts'idgo da'oodlání áłah nídaadleehii bidiyingo nidaal'a'ígíí ádaat'é, índa tsosts'idgo bee hool'iní bá yadaa'áhígíí éí tsosts'idgo da'oodlání áłah nídaadleehii ádaat'é.
