66:12:001:1	Asdzání áádóó na'ashǫ́'iitsoh
66:12:001:0	Áádóó yá'ąąshdi ádahodoonííłgóó bee ééhózinii ayóó át'éii yit'íní silį́į́', éí asdzání ła' jį́honaa'éí yee hadít'éego, tł'éhonaa'éí yik'i dah dées'eezgo, naat'á ch'ah sǫ' naakits'áadah bii' sinilgo bich'ah. 
66:12:002:0	Éí yiltsą́, áádóó awéé' bídii'na'go índa i'niiłchį́įgo niigaígíí yik'ee hadoo'níí'. 
66:12:003:0	Nít'éé' yá'ąąshdi náánáła' bee ééhózinii yit'íní náánásdlį́į́'. Jó'akon, na'ashǫ́'iitsoh łichíi'go ayóó át'éé léi' bitsiits'iin tsosts'idgo áádóó bidee' neeznáá, índa naat'á ch'ah bitsiits'iin t'áá tsosts'idgo binídaazt'i'. 
66:12:004:0	Yádiłhił biyi'di sǫ' yíl'áhígíí táá'góó ałts'áá'nilgo t'ááłáhígo sinil bíighahgo bitsee' yee yideeshóo'go, ni' bikáa'jį' nayííghaz. Na'ashǫ́'iitsoh éí asdzání ashchį́įgo be'awéé' yits'ą́ą́' iidoołnah biniyé asdzání k'adę́ę ałchíhígíí yidááhdóó yiizį'. 
66:12:005:0	Hayáázh jishchį́, éí ał'ąą dine'é bił dah nidahaz'áanii bitahgóó t'áá ałtso béésh hał yee yinant'áa doo, nidi hwe'awéé' nídiiltį́įgo Diyin God índa bibikáá'dóó nahat'áii bich'į' eeltį́. 
66:12:006:0	Áko asdzání honoojíidi łahgo Diyin God há hasht'ehoolaago, t'ááłáhídi mííldóó ba'aan naakidi neeznádiindóó ba'aan hastą́diin yiską́ąjį' ha'altso' doo biniyé ákǫ́ǫ́ azhnííchą́ą́'. 
66:12:007:0	Nít'éé' yá'ąąshdi anaa' hazlį́į́'! Máíkel áádóó bidiyingo nidaal'a'í éí na'ashǫ́'iitsoh yił da'ahigą́ą́ nít'éé', áko na'ashǫ́'iitsoh áádóó bindaal'a'í hoł da'ahoogą́ą'go 
66:12:008:0	bik'eh hodeesdlį́į́', áko yá'ąąshdi doo bá haz'ą́ą da hazlį́į́'. 
66:12:009:0	Na'ashǫ́'iitsoh ayóó'át'éii, ałk'idą́ą́' tł'iishtsohígíí, éí níłch'i bida'iiníziinii binanit'a'í, Séítan wolyéii, nahasdzáán t'áá si'ą́ą́ nít'éé' yina'alo'ii nahasdzáán bikáa'jį' bidah ahoolghan; bindaal'a'í t'áá bił bidah adabidiistł'ííd. 
66:12:010:0	Áádóó yá'ąąshdi iinéé' ayóó íits'a'go kóníigo diséts'ą́ą́',K'ad lą́ą, nihiDiyin God bibee yisdá'iildéehii áádóó bibee adziilii áádóó bee bóhólníihgo bił haz'áanii índa biChrist bibee óhólníihii k'ad dahoníle'! Háálá nihik'isóó yik'i hodii'aahii, éí nihiDiyin God binááł t'áá ákwíí jį́ índa t'áá ákwíí tł'éé' yik'i hodii'aahii, bidah ahoolghan. 
66:12:011:0	Nihik'isóó éí Dibé Yázhí nilíinii bidił yee áádóó saad yee yaa dahalne'ígíí yee yik'eh dadeesdlį́į́', háálá éí dahinánígíí doo ayóó'ádayó'níígóó da'dootsaałjį' nidi niná'ádadeest'ą́. 
66:12:012:0	Éí bąą yá'ąąshii índa biyi' kéédahoht'íinii nihił dahózhǫ́ǫ le'! Nidi nihí nahasdzáán índa tónteel nohłíinii doo hojooba' ájíníi da! Háálá níłch'i bida'iiníziinii binanit'a'í t'óó kónígháníjį' bee nááhodidoo'naałígíí bił bééhózingo ayóó át'éego báháchį'go nihich'į' hadahóóle'. 
66:12:013:0	Nahasdzáán bikáa'jį' na'ashǫ́'iitsoh bidah abidi'yoolghango yaa ákoniizį́į'go, asdzání éí ashkii yishchínígíí yaatįįh yíyáago yidínéeshchą́ą́'. 
66:12:014:0	Nidi asdzání éí tł'iishtsohígíí bits'ą́ą́' honoojíígóó yóó'azhdoot'ah biniyé atsá ayóó áníldíilii bit'a'ígíí naaki haa yí'nil. Áadi táá' nááhaidóó ná'áłníi'jį' haa áhályą́ą doo. 
66:12:015:0	Áko asdzání yee iidooł'oł biniyé tł'iishtsohígíí bizéé'dę́ę́' tó tooh nahalingo asdzání bikéé' hadzíísi'. 
66:12:016:0	Nidi nahasdzáán, éí asdzání yíká aalwodgo bizéé' ąą áhoolaago na'ashǫ́'iitsoh bizéé'dę́ę́' tooh hadzíísi'ígíí ayííłna'. 
66:12:017:0	Ákohgo na'ashǫ́'iitsoh éí asdzání yich'į' báhóóchįįdgo, asdzání ba'áłchíní daadziihígíí, Diyin God yee has'áanii yik'eh dahół'íinii índa Jesus baa hane'ii dayoodlánígíí yich'į' anaa' ánéidoodlíiłgo dah diiyá.
