66:2:001:1	Éfesasgi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:2:001:0	Éfesasgi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí: Bíla' nish'náájí yee sǫ' tsosts'idgo dah yoojihii, t'áá éí tsosts'idgo bee hool'iní bá yadaa'áhígíí óola bee ádaalyaii yitaagháii kóní: 
66:2:002:0	Baa nidaahkaii, yéego nihinaanish danilíinii índa nízaadgóó hada'íínółníigo shił bééhózin, áádóó diné ba'át'e' dahólóonii doo bich'į' hada'íínółníígóó, índa daal'aadii yee ádadójíii nidasoołkáa'go, áko dabiyooch'íidii danilį́įgo nihił béédahoozinígíí shił bééhózin. 
66:2:003:0	Shízhi' bee hada'íínółnínígíí áádóó bídanołdzilígíí índa doo dasidínóołna'góó shił bééhózin. 
66:2:004:0	Nidi átséédą́ą́' nihi'ayóó'ó'ó'ni' yę́ę bits'áhisoohkaigo át'é, éí t'éiyá nihik'ijį' séł'ą́. 
66:2:005:0	Éí bąą bits'áhisoohkaígíí béédaałniihgo, łahgo át'éego tsíńdadohkeesgo átséédą́ą́' baa nisoohkaii yę́ę t'áá éí baa nináánáhkai. Doodago éí nihaa deesháałgo nihibee hool'iní bá yadaa'áhígíí nahjį' kódeeshłííł. 
66:2:006:0	Nidi díí kódanoht'é, jó, éí Nikoléíyatanz yaa nidaakaii bik'ee dadinohniih, éí shí ałdó' bik'ee dinishniih. 
66:2:002:1	Smírnagi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:2:007:0	T'áá háiida daz'diits'a'ii Níłch'i Diyinii éí da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́'! T'áá ak'eh deesdlį́'ígíí Diyin God bikéyah hózhónígi iiná tsin sikaadii bąąhdóó adooyį́įłgo baa dideesh'ááł. 
66:2:008:0	Smírnagi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí: Áłtséhígíí áádóó akée'diígíí, t'áá éí daaztsą́ą́ nít'éé' nidi daaztsą́ą́dę́ę́' náádiidzáii kóní: 
66:2:009:0	Baa nidaahkaii áádóó nihich'į' nidahwii'nánígíí shił bééhózin. Té'é'į́ danohłínígíí shił bééhózin, nidi da'oht'į́įgo át'é! Jew dine'é daniidlį́, daaníinii nidi doo éí danilį́į́góó t'áá ádzaagóó nihaa nidahalne'ígíí shił bééhózin, éí níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii yaa áłah nádleehii danilį́! 
