66:4:001:1	Yá'ąąshdi nahadlá
66:4:001:0	Kódzaadóó bik'ijį' déé'į́į́', nít'éé' yá'ąąshdi dáádílkał ąą ádzaago yiiłtsą́. Átséédą́ą́' iinéé' dilnígi át'éego shich'į' yáłti'go diséts'ą́ą'ii ání, Wóshdę́ę́' hasínááh, kodóó náásgóó ádahodooníiłii nich'į' bééhózingo ádeeshłííł. 
66:4:002:0	T'áá áko Níłch'i Diyinii shik'i hoole', nít'éé' yá'ąąshdi bikáá'dóó nahat'áii ła' si'ą́, bikáa'gi ła' dah dzizdá! 
66:4:003:0	Ákwe'é dah sidáhígíí tsé da'ílíinii, jásper wolyéhígíí índa sárdiyas wolyéhígíí bits'ádi'nídínígi át'éego hats'ádi'nílííd, índa bikáá'dóó nahat'áii binaagóó nááts'íílid tsé da'ílíinii émerald wolyéhígíí nahalingo ahéénít'i'. 
66:4:004:0	Díí bikáá'dóó nahat'áhígíí binaagóó náánáła' bikáá'dóó nidahat'áii naadiin dį́į'go ahéénínil, díí bikáá'dóó nidahat'áii ahéénínilígíí bikáá'dóó hastóí naadiin dį́į́' yilt'éego bi'éé' daalgaigo índa óola naat'á ch'ah dabich'ahgo dah naháaztą́. 
66:4:005:0	Díí bikáá'dóó nahat'áii á si'ánígíí bits'ą́ą́dóó atsiniltł'ish anídahata' áádóó iinéé' dadiits'a' índa da'di'ní, áádóó bikáá'dóó nahat'áii bidááhdóó bee hool'iní tsosts'id dadiltłi'go sinil, éí Diyin God biNíłch'i tsosts'idgoígíí ádaat'é; 
66:4:006:0	bikáá'dóó nahat'áii bidáahgi ha'át'íí shį́į́ be'ek'id nahalingo tsésǫ' biisdííłtólígi át'éego yiiłtsą́. Áádóó bikáá'dóó nahat'áii binaagi t'áá dį́į́'góó, ha'át'íí shį́į́ dahináanii bidááhdę́ę́' índa bine'dę́ę́' anáá' bee dadilkǫǫhgo yiiłtsą́. 
66:4:007:0	Átséhígíí náshdóítsoh bitsiijį' ditł'ooígíí nahalin, naaki góne'ígíí dóola yázhí nahalin, táá' góne'ígíí diné yilnii', índa dį́į́' góne'ígíí atsá yit'ah nahalingo yiiłtsą́. 
66:4:008:0	Áádóó díí ha'át'íí shį́į́ dahináanii dį́į'go yiiłtsánígíí t'ááłá'í nítínígo bit'a' dahastą́ągo t'áá naazį́į́ nít'éé' bii'dę́ę' nidi anáá' yee dadilkǫǫh, áko éí t'áadoo dadiiłheełí i'ii'aah áádóó niyiiłkaah kódaaní:Diyin, diyin, diyin, éí Bóhólníihii Diyin God Aláahgo Ayóó'áhóodziilii,hool'áádę́ę́' hojílóonii, k'ad hojílóonii, índa jidoogáałii!  
66:4:009:0	Ha'át'íí shį́į́ dahináanii éí bikáá'dóó nahat'áii bikáá'dóó dah sidáii t'áá éí hool'áágóó ahóyéel'áágóó hináanii nilíinii yaa dahaniihgo bił danilį́, áádóó yich'į' ahééh danízingo, 
66:4:010:0	naadiin dį́į́' hastóíígíí éí bikáá'dóó nahat'áii yikáá'dóó dah sidáii yidáahjį' tsé'yaa nídaniljołgo, hool'áágóó ahóyéel'áágóó hináanii yich'į' nidahałá, índa bikáá'dóó nahat'áii bidáahjį' binaat'á ch'ah adayiiníiłgo kódaaní: 
66:4:011:0	Diyin God nihiBóhólníihii,ayóó é'ét'é áádóó ił ídlį́ índa óhólnííh bą́ą́h nílį́,háálá t'áá ałtsoní íinilaa,éí íinínízinii bee ádaalyaago dahólǫ́.
