66:20:001:1	T'ááłáhídi mííl nááhai
66:20:001:0	Nít'éé' yá'ąąshdę́ę́' diyingo naal'a'í léi' a'áán doo nihoodzáanii bibee ąą ńdítį́hí dah yootį́įłgo áádóó béésh da'ahólzha'í ayóo da'át'éé léi' dah yooléełgo hadahooleełgo yiiłtsą́. 
66:20:002:0	Áko na'ashǫ́'iitsoh yisił, éí t'áá ałk'idą́ą́' tł'iish nilínígíí, níłch'i bida'iiníziinii binanit'a'í éí Séítan wolyéii, áko t'ááłáhídi mííl nááhaijį' ye'eztł'ǫ́ǫgo 
66:20:003:0	a'áán doo nihoodzą́ą́ góne' ayiyííłhan, áádóó yidádi'nítą́ áádóó yidádi'nídléézh. T'ááłáhídi mííl nááhaijį' ał'ąą dine'é bił dah nidahaz'ą́ą́góó doo yinináá'ádlo' da dooleeł biniyé ákódzaa. Éí bíighah azlį́į'go índa t'óó kónígháníjį' béédidoochił. 
66:20:004:0	Nít'éé' bikáá'dóó nidahat'áii yiiłtsą́, áko bikáá'dóó dah naháaztánígíí éí bee aa nídahat'į́įgo bee óhólníihii baa dadeest'ą́. Áádóó ałdó' Jesus baa hane' áádóó Diyin God bizaad yaa dahoolne'go biniinaa dabitsiits'iin daheesne'ii bii' naazíinii yiiłtsą́. Éí naaldlooshii naayéé' nilíinii áádóó t'áá bí be'elyaii doo yich'į' nidahasáa da, índa naaldlooshii naayéé' nilíinii bibee í'diidlííd dabítáa'gi, éí doodaléi' dabíla' bikáa'gi doo bee bída'diidlid da nít'éé'. Éí nídahii'na'go t'ááłáhídi mííl nááhaijį' Christ yił bídahólnííh. 
66:20:005:0	Nidi ła' daneeznáanii éí t'áadoo nídahii'na' da, t'ááłáhídi mííl nááhaidi índa. Díí átsé aninéédę́ę́' náá'diijeehígíí át'éé lá. 
66:20:002:1	Níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii baa honeezná
66:20:006:0	Díí átsé náádi'doojahii biyi' atah jílíinii éí jidiyin áádóó hoł hózhǫ́ǫ doo! Éí t'éiyá naakidi ná'ní'néhígíí doo bidééłníi da, nidi éí Diyin God índa Christ yá nááda'iiłniihii dadooleeł, áádóó t'ááłáhídi mííl nááhaijį' yił bídahólníih doo. 
66:20:007:0	Áádóó t'ááłáhídi mííl nááhaigo Séítan be'estł'ónígíí béédidoochił, 
66:20:008:0	áádę́ę́' hadoogáałgo t'áá dį́į́'góó ał'ąą dine'é bił dah nidahaz'áanii, éí Gag índa Méígag wolyéhígíí yi'doolohgo, anaa' ádeidoolííł biniyé áłah íidoolííł; éí ánéelą́ą'gi tábąąhgóó séigi ánéelą́ą́'. 
66:20:009:0	Nahasdzáán t'áá áhoníłtéél nít'éé' bikáá'góó tádadinéehgo Diyin God bidiyį́į́' dah dayínéehgi índa kin haal'áii ayóó'ó'ó'níinii yináshzhiizh. Nidi yá'ąąshdę́ę́' kǫ' hadadíínáadgo ábísdįįd. 
66:20:003:1	Bikáá'dóó nahat'áii ayóo da'át'éego łigai léi' bidááhdóó akée'di ánihoot'aah
66:20:010:0	Áádóó níłch'i bida'iiníziinii binanit'a'í bi'deezlo'ii éí kǫ' tsékǫ' bił be'ek'id góne', t'áá naaldlooshii naayéé' nilíinii áádóó t'óó áhodil'į́įgo halne'ii éí aheestł'ídí góne' ahoolghan. Éí tidabidi'yoolníihgo i'ii'aah áádóó niyiiłkaahgo hool'áágóó ahóyéel'áa doo. 
66:20:011:0	Nít'éé' bikáá'dóó nahat'áii ayóo da'át'éego łigai léi' índa yikáá'dóó dah sidáii t'áá bił náánéiłtsą́. Éí nahasdzáán áádóó yádiłhił ts'ídá doo néidooltsééłgóó hats'ą́ą́dóó bił yóó'ahóóyá. 
66:20:012:0	Diné daneeznáanii ayóó ádaat'éii índa a'ohgo ádaat'éii bikáá'dóó nahat'áii bidááhdóó naazį́įgo yiiłtsą́. Naaltsoos ąą ádaalyaa, áádóó naaltsoos náánáła', éí iiná naaltsoos át'éego ałdó' ąą ályaa. Diné daneeznáanii yaa nidaaskai naaltsoos bikáá' ádaalyaago bik'ehgo baa nídahast'įįd. 
66:20:013:0	Dazneeznáanii tónteel bii' nidziztínígíí bii'dę́ę́' háádadziiskai, índa dazneeznáanii éí aniné áádóó ch'į́įdiitah bii' dahojílónígíí ałdó' háádadziiskai, áko t'áá ádzíłtso baa nidadziskaii bik'ehgo haa nídahast'įįd. 
66:20:014:0	Nít'éé' aniné áádóó hool'áágóó ti'hoo'nííh éí kǫ' be'ek'id góne' aheestł'ííd. Díí kǫ' be'ek'id biyi'di naakidi ná'ní'né át'é. 
66:20:015:0	Áko ła'da iiná naaltsoos bii' doo házhi' bik'iisdzohgóogo, éí kǫ' bił be'ek'id biyi' góne' aho'diistł'ííd.
