50:2:001:1	Christ Khazhak Dilįį ts'ą' Chan Łyaa Hil'ee
50:2:001:0	Jidii datthak gǫhdaii gwizhit t'akhwa'in Christ gwats'ą' k'eegwaadhat. Ąįį geh'an nakhwat'aii gwanlii. Vich'eet'igwiniidhan eh'an gwinzii gwarandaii. Nakhwateegwagwąąnchy'aa ts'ą' Christ Vanky'aa Shroodiinyąą nakhwats'an nilii. Nihts'ą' nakhweeshroonchy'aa ts'ą' chan gwintł'oo nihłeenjit yinjiihooh'ee. 
50:2:002:0	Nakhwats'ą' ch'oodahashakwat. Tthak kheihłok nihk'it ninjich'ohjii. Nihłagwaantsii ts'ą' chan nihłeet'oohthan. Tthak kheihłak ǫhłįį ts'ą' nihk'it ninjich'ohjii, jidii yuuhthan geenjit chan. Datthak shik'eegohthat ji', ąįį ji' łyaa zhyąą shoo hihłyaa. 
50:2:003:0	Khadeenjit gwizhrįh jyaa dakhwa'ya' shrǫ' ts'ą' khaiinjihooh'ee geenjit chan nakwaa. Khazhak t'ahohchy'aa ts'ą' chan khik ch'izhii nąįį nakhwandaa nizįį k'it t'ohnyąą. 
50:2:004:0	Ch'izhii dinjii nąįį nats'ahts'ą' goodiveegoodlii gwiky'ųųhtii, nats'ahts'ą' nakhweegoodlii gwizhrįh nakwaa. 
50:2:005:0	Nats'ąą Jesus Christ dee'ya' gwik'it gwizhrįh gǫhdaii. 
50:2:006:0	Vit'eegwijyąhchy'aa gweedhaa tthak khik k'it t'inchy'aa,gaa Vit'eegwijyąhchy'aa vagwąhtł'oo veegoo'aii k'it t'iindhan kwaa ts'ą' chan ideenjit goontą' kwaa. 
50:2:007:0	Ąįįts'ą' t'ee kii dhidii gwintł'ineegwin'ąįįts'ą' zhyąą zhik gwa'an ch'itsyaa nilii nąįį k'it t'inchy'aa.Dinjii k'it dhidlit ts'ą' dinjii nąįįyąąh'in dąį', dinjii t'inchy'aa giiyaandaii. 
50:2:008:0	Christ khazhak dilįį, gwiizhik chan gwintł'oo Vit'eegwijyąhchy'aa k'eegwahthat.Ąįį geh'an t'ee tr'iiłkhwąįį. Cross kak gigiiyiłtsak ts'ą' giiyiiłkhwąįį. 
50:2:009:0	Jidii t'ee'ya' geh'an Vit'eegwijyąhchy'aa zheekak gwizhit nijin ch'andaa gwihil'ee yintł'eegwin'ąįį.Ąįįts'ą' chan kii niyąąhchįį. Łyaa zhyąą ch'adanh geeghaih gwik'it t'oonchy'aa kwaa niyąąhchįį. 
50:2:010:0	Jii geh'an t'ee zhik zheekak gwich'in, nankak gwich'in,ts'ą' oozhak gwit'eh gwich'in, ts'ą' gwanky'aa haa,datthak geeyinjahah'aa ts'ą' giits'ą' nikiigweheetthak. 
50:2:002:1	Dinjii Nąįį Tee Nakhwagweheechy'aa Ts'ą' Chan Ch'ahǫhndit
50:2:011:0	Datthak ts'ą' jyaa digiheenjyaa,Jesus Christ t'ee Diik'eegwaadhat nilii.Jyaa diginyąą gwik'iighai' Vit'eegwijyąhchy'aa Diiti' deegihiił'ee gogogwaahch'in. 
50:2:012-013:0	Nakhwan datthak, juu gwintł'oo veet'iihthan nąįį, nijin nakhwaa iidi' dąį', khik ts'ą' shik'eegohthat, gaa juk nakhwats'į' hooljii gwiizhik nihk'it shik'eegohthat. Izhik łyaa ch'andaa gwireechyaa. Vit'eegwijyąhchy'aa zhrįh nats'ąą deekhwa'yaa łyaa gwintł'oo gwik'it t'ohthan nakhwahtsii gwik'eegǫhdaii ts'ą' chan gwik'it t'akhwa'yaa gahohkhyaa. Ąįį geh'an khik Vit'eegwijyąhchy'aa k'injiighit nąįį tee dook'įį ǫhłįį ts'ą', gǫhdaii gwizhit, izhik ch'andaa t'agoohnyąą. 
50:2:014:0	Nijin k'eegwiichy'aa t'akhwa'in dąį', gwintł'oo nihts'ą' zhyąą geenjit gohkhyaa shrǫ', ts'ą' chan ginjik haa nihtrooneekhwadal shrǫ'. 
50:2:015-016:0	Jyąhts'ą' t'ee, ąįį geh'an jii nankak gwizhit dinjii juu łyaa zhyąą tr'aanduu nilii nąįį ts'ą' chan gwintł'oo khagwaatsii ginlįį nąįį tee t'ohchy'aa, gaa Vit'eegwijyąhchy'aa vitr'iinin nąįį ǫhłįį ts'ą' nakhwat'igwin'ee kwaa. Nijin Gwandak Nizįį goots'ą' geegoohkhii ji', t'oohju' t'ee nats'ahts'ą' gaakhwandaii gaageheendaii, nakhwatr'agwaanduu kwaa, nakhwats'ą' git'eerahahtraa chan gwanlii kwaa ts'ą' gaageheendaii. Zheetii są' ch'ąhndit, ąįį gwik'it nakhwagąąh'in dąį', gootee ch'ahǫhndit. Jyąhts'ą' t'ohchy'aa ji', nijin drin Christ chan k'inidik ji', nats'ahts'ą' dohchy'aa gogweheechy'aa, jidii gwintł'oo geenjit gwitr'it t'agwał'ya', zhyąą gogwiilii geenjit t'ishizhik kwaa. Jii kwaii datthak geenjit, izhik ji', gwintł'oo nakhweech'ihih'yaa. 
50:2:003:1	Dinjii Timothy ts'ą' Epafroditus Haa Goaazhii
50:2:017-018:0	Duulee Christ veenjit sharahaahkhwaa. Ąįį ji', t'ee gweheezyaa. Geenjit shoohohłyaa nats'ąą Christ k'injuhkhit nakhwashoo'ahłįį ąįį gwik'it. 
50:2:019:0	K'eegwaadhat gwik'it t'iindhan ji', ninghyuk kwaa ts'ą' Timothy nakhwats'ą' hał'aa yiihthan, gwintsal nakhwats'ą' heenjyaa geenjit, jyąhts'ą' teegoodhat ji', łyaa yiihthan. Nakhwats'ą' haazhii ji', Ąįįtł'ęę sheek'inidik ji', nakhweegwaandak gwihiihtth'ak ts'ą' nakhweenjit ninjich'ihihthat kwaa. Ąįį kwaii geh'an nakhwats'ą' hoozhi' oihnyąą. 
50:2:020:0	Adan zhrįh nats'ąą nakhwaninjich'ałthat gwik'it t'inchy'aa. Shik'it chan łyaa nakhwats'oihnyą' yindhan. 
50:2:021:0	Ch'izhii nąįį tthak nats'ąą Jesus Christ deegoo'ya' gavoonyąą gwik'it t'igii'in kwaa, khadeenjit gwizhrįh ninjich'agadhat. 
50:2:022:0	Ch'adąį' deegwahtł'oo vit'eerąąhchy'a', łyaa zhyąą gaakhwandaii. Jyąhts'ą' t'ee gwandaa dinjii nąįį Gwandak Nizįį gogwiitth'ak, ch'iti', didinji' haa nihłaa gwitr'it t'agwah'in gwik'it, shaa gwitr'it t'agwah'ya', izhik t'ee łyaa gaakhwandaii. 
50:2:023:0	Nijin nats'ahts'ą' shaateegwahaadhaa gaashandaii ji', Googwahkhan nakhwats'ą' neehał'aa oihnyąą, gaa jyąhts'ą' teegoodhat ji', łyaa yiihthan. 
50:2:024:0	K'eegwaadhat gwik'it t'agoochy'a' yindhan ji', shįį chan ninghyuk kwaa nakhwats'ą' neehihdyaa, jyąhts'ą' łyaa t'agoochy'a' yiihthan. 
50:2:025:0	Diichaa, Epafroditus oaazhii, nakhwats'ą' nanołchyaa oihnyąą. Nijin diihaa gogwantrii ts'ą' Gwandak Nizįį eegirinkhii dąį' googaa. Gweedhaa tthak shaa Christ eenjit gwitr'it t'agwah'ya'. Gwandak haa shats'ą' nanoohchįį, ąįįts'ą' jidii geenjit gwitr'it t'agwał'in shits'inyąą. 
50:2:026:0	Łyaa zhyąą gwintł'oo datthak nakhwak'at t'inchy'aa. Ąįį geh'an nakhwats'ą' nanaałchįį. Nijin ąhts'ik veegohtth'ak, gwiitth'ak dąį', ąįį geh'an łyaa gwintł'oo tr'igwindii. 
50:2:027:0	Łyaa zhyąą gwintł'oo ąhts'ik ts'ą' khaiinjii niindhat. Gaa Vit'eegwijyąhchy'aa neeshraahchy'aa yuunyąą ts'ą', yats'ą' inzi' ts'ą' t'ee shranaazhik. Adąhzhrįh yats'ą' inzi' kwaa, shįį chan gwandaa tr'igwihihdii gwits'į' shats'ą' inzi'. 
50:2:028:0	Ąįį kwaii geh'an, łyaa nakhwats'ą' ninoołchyaa oihnyąą. Ąįį ji', nijin nǫh'in ji', datthak nakhwaa shrigweheechy'aa. Gwinzii gwandaii ts'ą' nǫh'in ji', chan veenjit tr'agwahohdii kwaa. Tr'agohdii kwaa ji', shįį chan geenjit tr'igwihihdii kwaa. Ąįį kwaii datthak geh'an łyaa nakhwats'ą' ninoołchyaa oihnyąą. 
50:2:029:0	Adan t'ee diichaa, juu diik'it K'eegwaadhat k'injiighit nąįį tee nilii. Ąįį geh'an, nijin nakhweek'inidik ji', nakhwaa shroonchy'aa ts'ą' vanli' noohohndal yuu. Nakhwan ąįį dzaa shaa ǫhłįį kwaa ts'ą' Christ eenjit gwitr'it t'agwał'in shats'oonyą' kwaa, gaa adan ąįį shits'iinyą'. Shaa Christ eenjit gwitr'it t'agwah'ya', ąįį geh'an khaiinjii yeenjit niindhat. Jii kwaii geh'an, zhik juu yik'it gwitr'it t'agwah'ya' nąįį datthak eenjit yinjiihooh'ee.
