23:61:001:1	Good News for the Oppressed
23:61:001:0	The Spirit of the Sovereign Lord is upon me , for the Lord has anointed meto bring good news to the poor.He has sent me to comfort the brokenheartedand to proclaim that captives will be releasedand prisoners will be freed .
23:61:002:0	He has sent me to tell those who mournthat the time of the Lord 's favor has come , and with it , the day of God 's anger against their enemies .
23:61:003:0	To all who mourn in Israel , he will give a crown of beauty for ashes , a joyous blessing instead of mourning , festive praise instead of despair.In their righteousness , they will be like great oaksthat the Lord has planted for his own glory .
23:61:004:0	They will rebuild the ancient ruins , repairing cities destroyed long ago.They will revive them , though they have been deserted for many generations .
23:61:005:0	Foreigners will be your servants.They will feed your flocksand plow your fieldsand tend your vineyards .
23:61:006:0	You will be called priests of the Lord , ministers of our God.You will feed on the treasures of the nationsand boast in their riches .
23:61:007:0	Instead of shame and dishonor , you will enjoy a double share of honor.You will possess a double portion of prosperity in your land , and everlasting joy will be yours .
23:61:008:0	“ For I , the Lord , love justice.I hate robbery and wrongdoing.I will faithfully reward my people for their sufferingand make an everlasting covenant with them .
23:61:009:0	Their descendants will be recognizedand honored among the nations.Everyone will realize that they are a peoplethe Lord has blessed . ”
23:61:010:0	I am overwhelmed with joy in the Lord my God ! For he has dressed me with the clothing of salvationand draped me in a robe of righteousness.I am like a bridegroom dressed for his weddingor a bride with her jewels .
23:61:011:0	The Sovereign Lord will show his justice to the nations of the world.Everyone will praise him ! His righteousness will be like a garden in early spring , with plants springing up everywhere .
