16:13:001:1	Niihemáíyah yá'át'éehgo ánáhoodlaa
16:13:001:0	T'áá éí bijį́ ałdó' diné yíl'áhígíí bich'į' Mózes binaaltsoos biyi'dóó dajííłta', áko kóníigo biyi' bik'e'ashchį́į́ lá, Áman dine'é índa Mó'ab dine'é Diyin God baa áłah ílį́įgi doo ła' dashdidoogááłgóó ahool'áa doo, 
16:13:002:0	háálá Ízrel dine'é yinééł yę́ędą́ą́' t'áadoo bidááh jíkaigo bááh áádóó tó bee bíká ajííjée' da, nidi Béílam há idínóodzįįł biniyé nidadzistį́; azhą́ ákót'ée nidi, hóyée'go á hadoodzih yę́ęgi nihiDiyin God bee ak'ihojidlíii násdlį́į'go áyiilaa. 
16:13:003:0	Áádóó ákódzaago bee haz'áanii dazdiizts'ą́ą'go doo Ízrel dine'é danilínígíí t'áá ałtso áts'á dadziis'nil. 
16:13:004:0	Díí t'ah bítséedi Iiláíyashib náá'iiłniihii nilíinii, nihiDiyin God bikin bii' sohodizin si'ánígíí bii' nahaz'ą́ą́góó yee bóhólnííh nilíinii éí Tobáíyah yił ach'oo'níigo 
16:13:005:0	nitsaago haz'ą́ yii' bighan dooleeł biniyé yá hasht'ehoolaa. Éí haz'ą́ą́ góne' t'ah yówehdą́ą́' díí ákóne' bá hooghan nít'éé': ak'áán nááhániihii áádóó tsin bijeeh dilidgo łikání halchinii fránkinsens wolyéii áádóó łeets'aa' áádóó tł'oh naadą́ą́' neeznáajį' ałts'ádashjaa'go t'ááłá'í bidadeeshjaa'ii áádóó wáin ániid ályaii índa tsin áliv bineest'ą' bik'ah neeznáago ahádaasdziidgo t'ááłá'í bidadeesdziidii éí Líívai dine'é áádóó sin yee dahataałii índa dáádílkał yaa ádahalyáanii bitaa nídaajih doogo bee ha'oodzíí' nít'éé'. 
16:13:006:0	Díí baa na'aldeeh yę́ędą́ą́' Jerúsalem kin haal'áadi doo naasháa da, háálá Artazérksiiz éí Bábilan dine'é aláahgo yinanit'a'í tádiindóó ba'aan naaki náhááh góne' aláahgo naat'áanii bich'į' níyá, áádóó ákwii t'áá díkwíida shiiską́ą́dóó bik'ijį' shanáádi'doot'áałgo aláahgo naat'áanii bínáánéíkeed. 
16:13:007:0	Áko Jerúsalem kin haal'áadi níyáago łahgo shił bééhoozin, Iiláíyashib éí nihiDiyin God bikin góne' łahgo haz'ą́ Tobáíyah yá hasht'ehoolaaígíí doo ákǫ́ǫ́ áát'įįd da lá. 
16:13:008:0	Áko t'áá íiyisí bąąh shíni' yii'a'; éí bąą Tobáíyah binaalye'é tł'óó'góó ch'éhéłkaad. 
16:13:009:0	Áádóó haasdzíi'go ákóne' hasht'éédahoodlaa; bidiníná Diyin God bikin góne' beedí chodao'íinii áádóó ak'áán nááhániihii índa fránkinsens wolyéii ałts'ádaashjaa'. 
16:13:010:0	Áko Líívai dine'é baa dadidoot'ááł yę́ę doo baa nídadit'áah da lágo baa ákoniizį́į́'; díí bąą Líívai dine'é áádóó sin yee dahataałii naanish yaa nidaakai yę́ę bikédaayahgóó anídahineezhchą́ą́'. 
16:13:011:0	Áadi índa naat'áanii dajílíinii hoł ałghada'désht'ą́ągo ádííniid, Ha'át'íísh biniyé Diyin God bikin yóó'adoot'ą́? Áko áłah ánáshdlaago bá nahaz'ą́ą́góó ninádasisnil. 
16:13:012:0	Áko índa Júdah dine'é t'áá ałtso éí tł'oh naadą́ą́' neeznáá daníjaa'ígíí éí t'ááłá'í shijaa' áádóó wáin ániidíii índa tsin áliv bineest'ą' bik'ah neeznáá daníkánígíí éí t'ááłá'í siką́ągo yódí nooh nídaachííh góne' yah adayiizhjaa'. 
16:13:013:0	Náá'ákóne' yódí nooh nídaachíihgi yindaalnish dooleełii ninínil: éí náá'iiłniihii Shelemáíyah áádóó bee haz'áanii yína'niłtinii Zéídak índa Líívai dine'é nilínígíí Piidéíyah; bíká análwo'ii Matanáíyah biye' Záker, éí biye' Héínan wolyéii ałdó' niníłtį́, háálá bada'ahódlíigo baa nitsídahakeesgo éí dahak'isóó danilíinii bitaa nídaji'nih doo. 
