41:3:001:1	Diné bíla' bąąh dah haz'áanii
41:3:001:0	Kin bii' áłah ná'ádleeh góne' Jesus yah anáádzoodzáago ákwe'é diné bíla' t'ááłáhájígo bąąh dah haz'ą́ą́ léi' sidáá lá .
41:3:002:0	Áko t'áá ałtso hadahasíidgo ádeinízin , háá'áyį́į́h jį́į́ góne' daats'í náábizhdidoołááł , díí yee hak'i dahodidoo'ááł biniyé .
41:3:003:0	Áko diné bíla' bąąh dah haz'áanii hágo yidííniid .
41:3:004:0	Áádóó Férisii danilíinii nayídééłkid , Háá'áyį́į́h jį́į́ góne' daats'í yá'át'éehgo ázhdoonííł , doodaii' atízh'doolíiłgo daats'í bee haz'ą́ ; hináanii yisdázhdoołtééł , doodaii' azhdiyoołhéełgo daats'í bee haz'ą́ ? Nidi t'áadoo hadaasdzíi' da .
41:3:005:0	Áádóó doo binídahaz'áágóó bąąh háni'go doo hoł hózhǫ́ǫ́góó bitah dzideezghalgo diné bíla' bąąh dah haz'ánígíí ábijiní , K'ídílchííd . Áko k'ídeeshchidgo bíla' hadaałt'é násdlį́į́' .
41:3:002:1	Be'ek'id bąąhgi diné yíl'á
41:3:006:0	Áádóó Férisii danilíinii ch'ékaigo ha'át'éegoda dahodiyoołhéłígíí yee hondahaz'ą́ągo Hérad yich'ijí danilínígíí t'áá áko yił haa nídaast'įįd .
41:3:007:0	Áko Jesus bídahooł'aahii be'ek'idgóó yił dah diikai , áko t'óó ahojíyóí Gáliliidę́ę́' bikéé' nidziiskaii áádóó Judíyadę́ę́'
41:3:008:0	áádóó Jerúsalem kin haal'áhídę́ę́' áádóó kéyah Idumíya hoolyéédę́ę́' áádóó Jórdan tooh wónaanídę́ę́' áádóó Táir índa Sáídan kin haal'áhídę́ę́' t'óó ahojíyóí Jesus yaa naagháhígíí t'áá ałtso dajíínii'go baa dziiskai .
41:3:009:0	Áádóó t'óó ahojíyóigo bąą doo dahozhdoołjish da biniyé , hódahooł'aahii ábizhdííniid , Tsinaa'eeł yázhí ła' kojį' shá ninoł'eeł ,
41:3:010:0	háálá lą'í náádabizhdiiłjée'go , ka nidaakaígíí t'áá ałtso hodadidiilchił danízingo hak'ijį' da'ahiljizh .
41:3:011:0	Áádóó níłch'i danchxǫ́'ígíí nídahoołtséehgo hayaajį' anída'diilghą́ąhgo éí yéego háádadilwoshgo ádaaní , Diyin God biYe' nílíinii ánít'į́ .
41:3:003:1	Jesus éí naakits'áadahígíí náyiizláá'
41:3:012:0	Áádóó bich'į' hadzoodzíi'go ábijiní , T'ááká shaa ch'ídahooh'ááł lágo .
41:3:013:0	Áádóó Jesus dayílk'idgóó ajííyáago t'áá hóznízinígíí hágo bizhdííniid , áko éí haa haaskai .
41:3:014:0	Áádóó diné naakits'áadah bił nijikai dooleełgo éí Diyin God bizaad yaa dahodoolnihgóó ahizhdooł'aał biniyé bits'ázhnínil ,
41:3:015:0	áádóó bee óhólníihii bee dahólǫ́ǫgo [ bąąh dah nahaz'áanii hadaałt'é anídeidle' , áádóó] níłch'i bida'iiníziinii bii' dahólóonii yii'dę́ę́' hadeiniiłkaad doo ałdó' biniyé bits'ázhnínil .
41:3:016:0	Sáíman wolyéhígíí Peter ałdó' bee jíízhi' ;
41:3:017:0	Zébedii biye'ké James índa yił háá'áázh John , éí Bowanérjiiz ałdó' bizhdííniid , éí ii'ni' biye'ké jiníigo óolyé ;
41:3:018:0	Andrew , áádóó Philip , áádóó Barthálemew , áádóó Matthew , áádóó Thomas , áádóó James éí Alfíyas biye' , áádóó Thádiyas , áádóó Sáíman éí Kéínan dine'é jílínígíí ,
41:3:004:1	Jesus índa Béíyalzííbab
41:3:019:0	índa Júdas Iskáriyat , éí nináhodidoo'áłígíí , díí t'áá ałtso bits'ázhnínil . Ákohgo kin góne' Jesus bił yah ajookai .
41:3:020:0	Diné yíl'áhígíí haa áłah náánásdlį́į'go doo da'jóyą́ą́' ádzaa da .
41:3:021:0	Áko hak'isóó danilínígíí dayíínii'go dahwiidoołtsoł yiniyé haa yíkai , háálá ła' ádaaní , Tsizh'deeyáá lá .
41:3:022:0	Áádóó bee haz'áanii yínda'niłtinii Jerúsalemdę́ę́' yíkaígíí ádaaní , Béíyalzííbab hwii' hólǫ́ǫ́ lá , áko níłch'i bida'iiníziinii binanit'a'í bee níłch'i bida'iiníziinii ayi'dę́ę́' hahizhniłkaad lá .
41:3:023:0	Áko bee haz'áanii yínda'niłtinii hágo bizhdííniidgo hane' bee ak'idi'dootį́įłii binahjį' ábijiní , Haash yit'éego Séítan t'áá bí ha'ídínóolchééł ?
41:3:024:0	Jó , ła' dine'é t'áá bił dah nahaz'ą́ą́góó t'áá bí ałk'i néijahgo éí doo didoonaał da .
41:3:025:0	Áádóó łahgo hooghandóó t'áá bí ałk'i néijahgo doo bee hodidoonaał da .
41:3:026:0	Áko Séítan t'áá bí ách'į' nídiibaa'go áádóó ák'inéilwodgo ałdó' doo didoonaał da , nidi bá nihodoot'ih .
41:3:027:0	Diné bidziilii bighan góne' diné ła' doo yah adoogáałgo binaalye'é yighaidiyoo'nił da , t'áá hazhó'ó diné bidziilii átsé yi'dootł'óół , áádóó índa bighandę́ę́' binaalye'é yits'ą́ą́' ch'íidiyoojih .
41:3:028:0	T'áá aaníígóó ánihidishní , Diné yee bąąhági ádaat'íinii ts'ídá t'áá ałtso , áádóó Diyin God baa'ihgo bá yáti' t'áá ałtso éí bá yóó'anídahidit'aah dooleeł ,
41:3:029:0	nidi t'áá háiida Níłch'i Diyinii baa'ihgo yá hahadziihígíí , éí ts'ídá doo bá yóó'anídidoot'áał da , nidi éí hool'áágóó bąąhági át'éii bee ádąąh dah hodzist'ą́ ,
41:3:005:1	Jesus bimá índa bitsilíké
41:3:030:0	háálá bee haz'áanii yínda'niłtinii , Níłch'i nichxǫ́'ígíí hwii' hólǫ́ǫ́ lá , daaní .
41:3:031:0	Áádóó hamá índa hatsilíké ákwe'é yíkai , áko tł'óo'di naazį́įgo hágo dahałníigo hach'į' yah ada'as'a' .
41:3:032:0	Áádóó diné t'óó ahayóí hanaagóó naháaztą́ągo ádahodííniid , Tł'óo'di nimá áádóó nitsilíké níkadantá .
41:3:033:0	Áko ábijiní , Háishą' shimá índa shitsilíké danilį́ ?
41:3:034:0	Áko hanaagi naháaztánígíí bitah dzideezghalgo ázhdííniid , Jó , kǫ́ǫ́ shimá áádóó shitsilíké !
41:3:035:0	T'áá háiida Diyin God íinízinii bida'jił'ínígíí éí shitsilí índa shideezhí índa shimá jílį́ .
