41:8:001:1	Diné dį́įdi mííl yilt'éego ba'íltsood
41:8:001:0	Éí yoołkááł yę́ędą́ą́' t'óó ahayóí haa áłah náánásdlį́į'go t'áadoo dayóyą́'ígóó biniinaa Jesus hódahooł'aahii hágo bizhdííniidgo ábijiní ,
41:8:002:0	Díí diné yíl'áhígíí baa a'ááh nisin , háálá t'áá shaa áłah nilį́įgo k'ad táá' yiską́ , áko t'áadoo dayóyą́'í da ;
41:8:003:0	t'áá dichin danilį́įgo hooghangóó béé'ayéłnii'go hooghan t'áá yi'oh dahidínóołnah , háálá ła' nízaadę́ę́' nidaakai .
41:8:004:0	Áko hódahooł'aahii hach'į' hadaasdzíí' , Díí doo naagháhígi háádę́ę'shą' bááh shóidoot'eełgo díí diné da'dooyį́įłgo hwiih dadooleeł ?
41:8:005:0	Áko , Díkwíishą' łees'áán nidaahjaah ? jiníigo nabízhdééłkid . Áko ádahodííniid , Tsosts'id lą́ą .
41:8:006:0	Áko diné yíl'áhígíí , Ni'góó dinohbįįh , bizhdííniid , áádóó łees'áán tsosts'idígíí nízhdiinilgo Diyin God bich'į' sozdilzingo baa ahéésniizį́į́' , índa nijiitíihgo hódahooł'aahii bitaa jiniih , éí diné yitaa deidoonih biniyé , áko éí yíl'áhígíí yitaa deiznii' .
41:8:007:0	Łóó' ádaałts'ísígíí ałdó' t'áá díkwíí nideijaah lá , áko éí bik'i sozdoolzingo hódahooł'aahii , Diné bitaa daahniih , bizhdííniid .
41:8:008:0	Áko da'ííyą́ą'go hwiih daazlį́į́' , áádóó bi'oh da'oodą́'ígíí náádadziisdláa'go ts'iizis tsosts'id hadazdeesbįįd .
41:8:009:0	Da'ííyą́'ígíí dį́įdi mííl daats'í ánéelą́ą́' . Áko éí , Nídayínóhkááh , bizhdííniid ,
41:8:002:1	Bee ééhózinii daniidzin daaníigo dayííkeed
41:8:010:0	áádóó t'áá áko hódahooł'aahii bił tsinaa'eeł biih náájookaigo , Dalmanútha nahós'a'jį' tsé'naa hoł ni'ní'éél .
41:8:011:0	Férisii danilíinii neheeskaigo nidahódíłkidgo yaa nídiikai , áko hákada'iiłhilgo ádaaní , Yá'ąąshdę́ę́' nibee adziilii bee bééhózinii ła' dadíníil'įįł .
41:8:012:0	Jesus yéego ádił hadzoodzolgo ájíní , Ha'át'íí lá biniyé díí k'ad ahoolchíiłii bee ééhózinii hadeintá ? T'áá aaníígóó ánihidishní , Díí k'ad ahoolchíiłii bee ééhózinii doo ła' bá ádoolníił da .
41:8:003:1	Férisii áádóó Hérad bidíík'ǫsh bee aniilyółí
41:8:013:0	Áko bits'ą́ą́' dashdiiyáago tsinaa'eeł biih náádzoodzáago tsé'naa dah náádazh'diił'éél .
41:8:014:0	Hódahooł'aahii łees'áán ła' dayíjáah doo yę́ę yaa dayooznah lá , áko łees'áán t'ááłá'í t'éiyá tsinaa'eeł biyi' si'ą́ą́ lá .
41:8:015:0	Hazhó'ó ábizhdííniidgo ájíní , Férisii danilíinii bidíík'ǫsh bee taos'nii' niilyółí índa Hérad bidíík'ǫsh bee taos'nii' niilyółí bits'ąą ádaa ádahołyą́ .
41:8:016:0	Áko éí yaa nídaat'į́įgo áda'ahidi'ní , Łees'áán nihee ádin , éí biniinaa ánihidííniid .
41:8:017:0	Áko Jesus éí yaa ákoniizį́į'go áháłní , Ha'át'íishą' biniyé łees'áán nihee ádinígíí baa nídaaht'į́ ? Da' t'ah doósh nihił éédahoozįįh da , doo nidi ak'ida'doohtįįh da ? Da' nihijéísh doo binídahaz'áa da daazlį́į́' ?
41:8:018:0	Nihináá' dahólǫ́ǫ nidiísh doo bee da'ooh'į́į da ? Nihijaa' dahólǫ́ǫ nidiísh doo bee da'doohts'a' da ? Índa doósh éédaałniih da ?
41:8:019:0	Diné ashdladi míildi ánéelą́ą'go łees'áán ashdla' bá nihéti' yę́ędą́ą'shą' ch'ínííłna'ígíí díkwíí ts'iizis hadadoołbįįd ni' ? Áko ádahodííniid , Naakits'áadah lą́ą .
41:8:020:0	Áádóó dį́įdi mííl jíl'áago łees'áán tsosts'id há nihéti' yę́ędą́ą'shą' ałdó' ch'ínííłna'ígíí díkwíí ts'iizis hadadoołbįįd ni' ? Áko ánáádabizhdi'ní , Tsosts'id lą́ą .
41:8:004:1	Bethséyidadi diné doo oo'íinii oo'į́ ánábi'diilyaa
41:8:021:0	Áko ábizhdííniid , Da' ákoósh t'ah doo ak'ida'doohtįįh da ?
41:8:022:0	Áko Bethséyida kin haal'áhídi jíkai . Áko diné doo oo'į́į da léi' haa deizlóozgo , Bididííłchił , dahałníigo nídahookąąh .
41:8:023:0	Áko Jesus éí diné doo oo'ínígíí bíla' jiiłtsoodgo kintahdóó ch'íznílóóz , áko áadi binák'ezhdíízhée'go hála' t'áá ałch'ishjí bee bik'i dasdeesnii'go ábijiní , Ha'át'íhígíidaásh yíní'į́ ?
41:8:024:0	Áko hajííghalgo ájíní , Diné éí tsin naazkaadii nidahalingo tádazhdikáahgo yish'į́ .
41:8:025:0	Áádóó Jesus éí diné bináá' yik'i náádiilnii' , áko hazhó'ó k'éhézdon dzidéez'į́į'go hanáá' hadaałt'é násdlį́į́' , áko t'áá ałtsoní nizhónígo daat'į́įgo jiiłtsą́ .
41:8:005:1	Peter éí , Christ Diyin God biYe' nílį́ , yidííniid
41:8:026:0	Áko Jesus hooghangóó dah náhodiił'a'go áháłní , T'ááká kintahjį' nídóódza' yíila' , [ áádóó ła'da bee bił hóólne' yíila'] .
41:8:027:0	Áádóó Jesus hódahooł'aahii bił Sesaríya Fílipaigi kin dah naazhjaa'góó jíkai , áko ákǫ́ǫ́ jookahgo nabízhdééłkidgo ábijiní , Diné ádaaníigoshą' éí háí ájít'į́ dashiłní ?
41:8:028:0	Áko hoł dahoolne'go ádaaní , Ła' John Tó Yee Asį́įhii yę́ę át'į́ ; náánáła' éí Iiláíjah yę́ę át'į́ , nidi náánáła' éí Diyin God yá halne'ii yę́ę ła' át'į́ , daaní .
41:8:029:0	Áko ninááhózhdééłkidgo áhojiní , Nidi nihíshą' éí háí ájít'į́ dashidohní ? Áko Peter hanáánáádzíi'go áhodííniid , Ni Christ ánít'į́ .
41:8:006:1	Jesus bidi'yoolyéłígíí yaa halne'
41:8:030:0	Áko hadzoodzíi'go áhojiní , T'ááká diné ła'da shee bił dahoołne' yíila' .
41:8:031:0	Áko náhozhdíníitą́ą'go áhojiní , Diné Silį́į'ii ts'ídá lą'ígóó ti'hwiidoonih , áko diné yá aląąjį' naazíinii áádóó aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii doo dahodínóozįįł da , áko hodi'yoolyééł , áádóó táá' yiską́ągo náázhdidoodááł .
41:8:032:0	Díí t'áadoo nazhnił'iní bee hadzoodzíí' . Nít'éé' Peter ats'áhonílóozgo hodeezteh .
41:8:033:0	Nidi nídzízyizgo hódahooł'aahii bik'izhnághalgo Peter dzideeztehgo ábijiní , Séítan nílíinii , shidinínáágóó aninááh , háálá doo Diyin God k'ehgo nitsíníkees da , nidi diné k'ehgo t'éí nitsíníkees .
41:8:034:0	Áko diné yíl'áhígíí hódahooł'aahii bił hágo bizhdííniidgo ájíní , Diné t'áá háiida shikéé' dashdiigháahgo ádeizhdiyoo'nah , hatsin ałnáoszid nízhdidootį́į́ł áádóó shikéé' joogáał doo .
41:8:035:0	Háálá t'áá háiida jiinánígíí bąąh hą́ą́snízinii éí yóó'azhdootłish , nidi t'áá háiida shí shiniinaa índa hane' yá'át'éehii biniinaa jiinánígíí ninázhdiní'ą́ągo , éí jiináa dooleeł .
41:8:036:0	Jó , diné ła'da nahasdzáán t'áá si'ą́ą́ nít'éé' hóó' dooleeł biniyé t'áá ákójínéehgo hwii' sizíinii yóó'azhdíí'ą́ągoshą' , haa néelą́ą́' há bínéidoodił ?
41:8:037:0	Diné ła'da t'áá hó hwii' sizíinii ha'át'íí bił aheełt'éé shį́įshą' bił ałnázhdoolééł ?
41:8:038:0	Áko t'áá háiida díí adilyé bee índa bąąhági át'éego ahoolchíiłii biyi' ła' shizaad áádóó shí shaa yázniizį́'ígíí , t'áá éí Diné Silį́į'ii biTaa' bits'ádi'nílíidii yee diyingo nidaal'a'í yił yíkaigo haa yádínóozįįł .
