41:1:001:1	John Tó Yee Asį́įhii nahalne'
41:1:001:0	Diyin God biYe' Jesus Christ baa hane' yá'át'éehii bee deezt'i'ii .
41:1:002:0	T'áá Diyin God yá halne'ii , Aizéíyah wolyéhígíí yee ak'e'ashchínígi át'éego : Jó'akon , shá halne'ii nilą́ąjį' deesh'aał , Éí ná honít'i'ii hasht'eidoolííł ;
41:1:003:0	Honoojíidi ła' chánahgo kójíníigo hwiinéé' diits'a'go hojilne' : Bóhólníihii bá honít'i'ii hasht'edahohłééh , Be'atiin k'éhézdongo ádaahłééh .
41:1:004:0	Honoojíidi John tó yee asį́įhgo níyá . Łahgo át'éego Diyin God bich'į' tsínáhodiikeesgo habąąhági át'éii há yóó'iididoo'áałgo tó bee ho'didoolzįhjí yee na'neeztą́ą́' .
41:1:005:0	Áádóó Judíya kéyahdóó t'áá át'éé nít'éé' índa Jerúsalemdóó ałdó' t'áá ałtso haa haaskai , áko bibąąhági ádaat'éii yę́ę yee ádaa dahalne'go Jórdan tooh nílínígíí biyi' tó bee dadzíísį́į́' .
41:1:006:0	John éí ghą́ą́'ask'idii bighaa' éé' bee ályaago ha'éé' , áádóó akał sis bee áká dzíszaaz , índa nahachagiitsoh índa tsés'ná bitł'izh bikiin nijighá .
41:1:007:0	Áko hojilne'go ájíní , Shikéédę́ę́' ła' shiláahgo át'éii náánáádááł , éí yaa ádeeshníiłgo bikétł'óól k'e'deesh'ałgi nidi doo bą́ą́h nishłį́į da .
41:1:002:1	Jesus éí tó bee bi'doolzį́į́'
41:1:008:0	Shí éí tó t'éiyá bee danihisį́į́h nít'éé' , nidi bí t'éí Níłch'i Diyinii yee danihisį́įh dooleeł .
41:1:009:0	Áko éí yoołkááł yę́ędą́ą́' Gálilii kéyah biyi'gi Názareth hoolyéédóó Jesus jiníyáago John éí Jórdan tooh biyi' tó yee hóósį́į́' .
41:1:010:0	Tó biyi'dę́ę́' hajííyáago , t'áá áko yádiłhił ąą ádzaago Níłch'i Diyinii éí hasbídí nahalingo hak'ijį' hadahooleełgo jiiłtsą́ ,
41:1:003:1	Jesus bóhodi'neestą́ą́'
