41:11:001:1	Jesus ak'eh deesdlį́į'ii k'ehgo Jerúsalem góne' ííyá
41:11:001:0	Áko Jerúsalem t'áá bich'į'dóó Dził Álivz bitsį́įgi Béthfajii índa Béthanii wolyéego kin sinilígíí bich'į' t'áá áyídídę́ę́' jookahgo hódahooł'aahii naaki ajííł'a'go
41:11:002:0	ábijiní , Nihílááh , náwónaanídi nihidááhjí kin sinilíjį' doh'aash , áko t'áá noo'áázhgóó télii yázhí t'ah doo adiyeehígíí dahaastł'ǫ́ǫgo bik'ídooh'ash ; éí k'e'dooh'ałgo nídoohłóós .
41:11:003:0	Áko diné ła'da , Ha'át'íishą' biniyé óht'į́ ? nihidííniidgo , Jó , Bóhólníihii choidooł'įįł , bididoohniił , áádóó t'áá áko áádę́ę́' nihił yi'doołnih .
41:11:004:0	Áko dashdii'áazhgo kintaa'aztiinígíí bibąąhgóó kin léi' bich'éédą́ą'gi télii yázhí dahaastł'ǫ́ǫgo bik'ízhní'áázh , áko k'e'jíí'ah .
41:11:005:0	Nít'éé' ákǫ́ǫ́ naazínígíí ła' ádahodííniid , Ha'át'íishą' baa naah'aashgo , télii yázhí k'e'oh'ad ?
41:11:006:0	Áko t'áá Jesus ádidoohniił hodííniidígi ázhdííniid , áko yił hoda'asnii' .
41:11:007:0	Áko télii yázhí éí Jesus baazhnílóozgo , habeeldléí bikáa'jį' ádadziiznil , áádóó Jesus éí yik'i dah neezdá .
41:11:008:0	Áko lą'í dabibeeldléí atiingóó há dayíłkaad , náánáła' éí atiin bąąhgóó tsin bi'iil dadíłch'ilii dayiigéeshgo atiingóó há dayíłjeeh .
41:11:009:0	Áko alą́ąjį' índa akéédę́ę́' nooyéłígíí dadilwoshgo ádaaní , Baa ha'niih le' ! Bóhólníihii bízhi' bee bi'dójíigo yigáłígíí bik'ihojidlíi doo !
41:11:010:0	Nihizhé'é yę́ę David bee bóhólníihgo bił haz'áanii dooleełígíí bik'ihojidlíi doo ! Aghánáhóó'áádę́ę́' baa ha'niih le' !
41:11:002:1	Fig sikaadii bineest'ą' doo bąąh nááhodoodleełgóó bá ha'oodzíí'
41:11:011:0	Áko Jerúsalemgi Jesus jiníyáago kin bii' sohodizin bił haz'ą́ą́ góne' yah ajííyá , áko t'áá ałtsogóó nidzizghaldóó bik'ijį' , i'íí'ą́ągo naakits'áadahígíí bił Béthaniigóó dashdiikai .
41:11:012:0	Áádóó biiskání Béthaniidóó ch'íjíkaigo dichin dzizlį́į́' .
41:11:013:0	Áko atiin t'áá bits'áhoní'ą́ądi fig léi' bit'ąą' hólǫ́ǫgo sikaadgo jiiłtsą́ , áko bineest'ą' daats'í bąąh hólǫ́ jinízingo bich'į' jiníyá . Áko baazhníyáá nít'éé' , bit'ąą' t'éiyá bąąh hólǫ́ǫ́ lá , háálá fig dadínóot'į́įłjį' t'ah doo ahalzhíish da .
41:11:003:1	Kin bii' sohodizin nidayiiłchxǫǫhii ch'íneelkaad
41:11:014:0	Nít'éé' fig sikaadii ábizhdííniid , Kodóó hool'áágóó diné doo ła' nąąh náá'doodį́įł da . Áko hódahooł'aahii díí deidiizts'ą́ą́' .
41:11:015:0	Áko Jerúsalemdi jíkai . Áádóó kin bii' sohodizin bił haz'ą́ą́ góne' yah ajííyáago , ákóne' baa nida'iiniihígíí índa nida'iiłniihígíí ch'ízhneełkaadgo baa nízdiidzá , áádóó bikáa'gi béeso ałghááda'a'nilígíí índa hasbídí baa nidahaniihii yikáá' dah naazdáhígíí naa'adziistł'ííd ,
41:11:016:0	áádóó kin bii' sohodizin bił haz'ą́ągi ha'át'íhígíida doo naalyée da doogo bee hojiił'a' .
41:11:017:0	Áádóó naz'neeztą́ą'go ábijiní , Da' kót'éegoósh doo bee ak'e'ashchį́į da , Shikin éí ał'ąą dine'é t'áá ałtso bá kin bii' sohodizin wolyée doo ? Nidi aghada'ii'níiłii be'a'áán ádaahłaa lá .
41:11:018:0	Áko bee haz'áanii yínda'niłtinii índa aláahgo nááda'iiłniihii éidí deidiizts'ą́ą́' , áko ha'át'éegoda dahodiyoołhéłígíí ch'ééh yaa nídaast'įįd , háálá diné t'áá ałtso hana'nitin bik'ee t'óó bił adahayóigo biniinaa hwéédaaldzid .
41:11:004:1	Fig sikaadgo siganígíí bee na'nitin
41:11:019:0	Áko t'áá aná'át'ááh bik'eh kin haal'áhídóó ch'ééjídááh .
41:11:020:0	Áádóó abínígo fig sikaadígóó níjookah , nít'éé' t'áá bihétł'óóldę́ę́' sigango dajiiłtsą́ .
41:11:021:0	Áko Peter yénáálnii'go áhodííniid , Shoo , Na'nitiní ! Fig sikaadii nichxǫ́'ógo bá háínídzí'ígíí sigan lá .
41:11:022:0	Áko hach'į' hanáánáádzíi'go áháłní , Diyin God deinohdlą́ągo baa dadzíínóhłí .
41:11:023:0	T'áá aaníígóó ánihidishní , T'áá háiida díí dziłígíí , Dah ni'doot'aahgo tónteel biih nidi'yólghan , yidííniidgo áádóó bee hadzoodzí'ígíí bohodoolnííł jinízingo hajéí t'áadoo bił naaki nilíní joodlą́ągo éí há bohodoolnííł .
41:11:024:0	Éí bąą ánihidishní , T'áá ha'át'íhída dayínóhkeedgo bíká sodadołzinígíí éí t'áá íídą́ą́' nihaa deet'ą́ągo deinohdlą́ą le' , áko danihíí' dooleeł .
41:11:025:0	Áádóó t'áá sodadołzin bik'eh ła'da t'áá baaní hólǫ́ǫgo bik'ijį' danohłínígíí bá yóó'anídahidoh'aah , áko doo ákǫ́ǫ́ ádaahdzaaígíí nihiTaa' yá'ąąshdi hólóonii nihá yóó'ánéididoo'ááł .
41:11:005:1	Jesus háí bee óhólnííh beidiní'ánígíí bínabídéékid
41:11:026:0	[ Nidi náánáła' diné nihich'į' bąąhági ádaadzaii doo bá yóó'anídahidoh'aahgóó nihiTaa' yá'ąąshdi hólóonii ałdó' bąąhági ádaoht'įįdii doo nihá yóó'anéididoo'áał da . ]
41:11:027:0	Áádóó Jerúsalemdi náájíkai . Áko kin bii' sohodizin bił haz'ą́ą́ góne' joogáałgo aláahgo nááda'iiłniihii áádóó bee haz'áanii yínda'niłtinii índa diné yá aląąjį' naazíinii haa yíkaigo
41:11:028:0	ádahałní , Ha'át'íí bee óhólnííh shį́įshą' bik'ehgo díidí baa naniná , áádóó háishą' díí bee óhólnííh neidiní'ą́ągo bik'ehgo baa naniná ?
41:11:029:0	Áko Jesus áháłní , Shí ałdó' łahgo nanihídídéeshkił , bee shił dahoołne'go índa shí ałdó' bee óhólnííh bik'ehgo díidí baa naasháhígíí bee nihił hodeeshnih .
41:11:030:0	John lá háádę́ę́' bee óhólníihii bik'ehgo tó yee asį́į́h nít'éé' , yá'ąąshdę́ę́' daats'í , éí doodaléi' diné bits'ą́ą́dóó daats'í ? Bee shił dahołne' .
41:11:031:0	Áko yaa nídaat'į́įgo ádaaní , Yá'ąąshdę́ę́' dadii'niidgo la' , ádidooniił , Ákoshą' haa yit'éego doo dahwiisoohdląąd da ?
41:11:032:0	Doodaléi' , Diné bits'ą́ą́dóó , dadii'niidgo la' , diné yéédaaldzid , háálá diné t'áá ałtso John t'áá aaníí Diyin God yá halne'ii nilį́į́ nít'éé' dayó'ní .
41:11:033:0	Áko Jesus yich'į' hadaasdzíi'go ádaaní , Doo nihił béédahózin da . Áko Jesus áhodííniid , Shí ałdó' bee óhólnííh bik'ehgo díidí baa naasháhígíí doo bee nihił hodeeshnih da .
