41:4:001:1	K'éé'dídléehii binahjį' hane' bee ak'idi'dootį́įłii
41:4:001:0	Be'ek'id bąąhgi Jesus nínáázhdí'níitą́ą́' . Áko diné t'óó ahayóí haa áłah silį́į́' , éí bąą tsinaa'eeł biih jííyáago bii'dóó dah dzineezdá , áko diné áłah silį́'ígíí t'áá át'é tábąąhgóó yíl'á .
41:4:002:0	Nít'éé' hane' bee ak'idi'dootį́įłii lą'ígóó bee naz'neeztą́ą́' , áko nazh'nitingo ábijiní ,
41:4:003:0	Da'íísółts'ą́ą́' ! K'éé'dídléehii léi' álástsii' k'iididoolééłgóó ch'íníyá .
41:4:004:0	Áko álástsii' ła' nihiyiiłkaad , nít'éé' ła' atiinjį' ahineezdee' . Atiinjį' ahineezdee'ígíí tsídii nidahaast'a'go ałtso yaa nahodeeskai .
41:4:005:0	Náánáła' tsétahjį' ahineezdee' , ákwe'é łeezh doo hózhǫ́ hólǫ́ǫ da , áko łeezh doo ditánígíí biniinaa t'áadoo hodíína'í hadaneesą́ ,
41:4:006:0	áko doozhǫǫgo dah adii'ą́ągo , hadaneesánígíí yideez , índa bihétł'óól ádingo biniinaa daniiłna' .
41:4:007:0	Náánáła' ch'il dadeeníinii bitahgóó ahineezdee' , áko ch'il dadeeníinii bilááh daneesą́ągo ałtso bííghą́ą́' , áko t'áadoo bineest'ą' dahazlį́į' da .
41:4:008:0	Índa náánáła' łeezh yá'át'éehjį' ahineezdee'go dadínéesą́ą́dóó nidahineesą́ągo bineest'ą' dahazlį́į́' , ła' tádiindi , ła' hastą́diindi , ła' neeznádiindi bilááh nídaasdlį́į́' .
41:4:002:1	Hane' bee ak'idi'dootį́įłii biniyé át'éii
41:4:009:0	Áko ázhdííniid , T'áá hajaa' hólǫ́ǫgo azdiits'a'ígíí háni' ajíists'ą́ą́' .
41:4:010:0	Áádóó t'áá sáhí dzizlį́į'go , t'áá ákǫ́ǫ́ hanaagóó naakits'áadahígíí áádóó yił naháaztánígíí hane' bee ak'idi'dootį́įłii yíndahódééłkid .
41:4:011:0	Áko ábizhdííniid , Diyin God bee bóhólníihgo bił haz'áanii bee na'nitinii doo bééhózin daígíí nihich'į' ííshją́ą́ ádaalyaa , nidi doo nihich'ijí danilíinii bich'į'go t'éiyá t'áá ałtso hane' bee ak'idi'dootį́įłii át'éego bee bił dahane' ,
41:4:003:1	K'éé'dídléehii binahjį' hane' bee ak'idi'dootį́įłii ááhyiłníinii
41:4:012:0	áko dazhníł'į́į nidi doo deizdoołtséeł da , dazdiits'a' nidi doo bik'idazhdi'dootį́įł da ; doodaii' bąąhági ádadziidzaaígíí bits'ą́ąjį' ninázhdookah , áádóó há yóó'anídahididoot'ááł .
41:4:013:0	Áko Jesus áhodííniid , Da' díí hane' bee ak'idi'dootį́įłiísh t'áadoo bik'ida'dootą́ą da ? Ákoshą' haa yit'éego hane' bee ak'idi'dootį́įłii t'áá ałtso bik'idadi'doohtį́į́ł ?
41:4:014:0	K'éé'dídléehii éí Diyin God bizaad k'iidilé .
41:4:015:0	Áko díí saad k'idoolyáhígi ła' atiinjį' ahineezdee'ígíí ádaat'é ; éí saad t'áá deidiits'į́į́hgóó , t'áá áko Séítan yigháahgo dabijéí biyi'di k'idoolyáhígíí hááyii'nííł .
41:4:016:0	Áádóó t'áá ákónáánát'éego tsétahgóó ahineezdee'ígíí éí saad t'áá dazdiits'į́į́hgóó , t'áá áko baa hoł dahózhǫ́ǫgo nídazhdiiléhígíí ádaat'é ,
41:4:017:0	áko dahayi'di ahétł'óól ádaadin , nidi t'óó kónígháníjį' hwee dahodina' , áko nít'éé' saadígíí biniinaa hach'į' nidahwii'náago , doodaii' atídaho'dil'į́įgo haa ní'diildahgo t'áá áko bits'áníjiijeeh .
41:4:018:0	Áádóó ła' ch'il dadeeníinii bitahgóó ahineezdee'ígíí éí saad deidiits'į́į́h ,
41:4:019:0	nidi nahasdzáán bikáa'gi bee da'iináanii baa nitsáhákees , áádóó at'į́ hodíní'ah , índa t'áá ałtso bidáhoneení ghadahodiit'aahgo éí saad yę́ę deighą́ , áko doo bineest'ą' dahaleeh da .
41:4:004:1	Adiníłdíinii bił yaa az'ą́
41:4:020:0	Nidi łeezh yá'át'éehii biih hineezdee'ígíí éí saad deidiits'į́įhgo nídeidiyiilééh , áádóó bineest'ą' dahaleehgo ła' tádiindi , ła' hastą́diindi , ła' neeznádiindi bilááh ninádahadleeh .
41:4:021:0	Áádóó Jesus ánáádí'ní , Diné doo bee hool'iní yidiiłtłi'go tsits'aa' yił yaa nií'aah da , doo nidi tsásk'eh yiyaa ii'aah da , da' bá ya'ii'áhígíísh doo yikáa'gi dah yidoo'áał da ?
41:4:022:0	Háálá baa hasti'go dah nool'į́įłii nidi bééhodoozįįłgo át'é , áko t'áá ha'át'íhída bik'é'ésti'ígíí hahgoda báádi'dooltsos .
41:4:023:0	Diné ła'da hajaa' hólǫ́ǫgo azdiits'a'ígíí éí háni' ajíists'ą́ą́' .
41:4:024:0	Áádóó Jesus ánáádoo'niid , Dadoohts'a'ígíí hazhó'ó dayísółts'ą́ą́' , háálá t'áá ła' bá ída'nóoł'ąądígi ánéelt'e'go nihá índa'dí'nóol'ąął , áádóó da'doohts'a'ígíí t'áá biláahgo nidi nihaa náádidoot'ááł .
41:4:005:1	K'eelyéí nanise'gi binahjį' hane' bee ak'idi'dootį́įłii
41:4:025:0	Háálá t'áá háiida ha'át'íhída hwee hólónígíí biláahgo ła' haa náádoolyééł , áádóó ha'át'íhída hwee ádinígíí , éí t'áá hwee hólónígíi nidi haghadoolyééł .
41:4:026:0	Jesus ánáádoo'niid , Diyin God bee bóhólníihgo bił haz'áanii éí kót'é : diné léi' álástsii' nihi'jiiłkaadgo k'izh'díílá .
41:4:027:0	Áko tł'ée'go ní'jiilwosh áádóó jį́įgo náázhdii'nah , áádóó álástsii' hadaneesą́ áádóó dadínéesą́ , áko hada'neesánígíí índa dadí'néesánígíí t'áadoo hoł bééhoozin da .
41:4:028:0	Háálá ni' t'áá bí aneest'ą' yidínísééh , áłtsé yiitsoh áádóó bit'ąą' haleeh , náá'ákóne' bineest'ą' nááhádleeh , áádóó áadi índa ałtso nit'į́į́h .
41:4:006:1	Mástad bílástsii' binahjį' hane' bee ak'idi'dootį́įłii
41:4:029:0	Áádóó ant'į́įhgo iigéeshjį' ahalzhishgo , t'áá áko bee iigéshí bee aneest'ánígíí jiigéeshgo baa nízhdiidááh .
41:4:030:0	Áádóó Jesus ánáádoo'niid , Diyin God bee bóhólníihgo bił haz'áaniishą' ha'át'íí bił ahąąh nidadii'nił , áádóó hane' bee ak'idi'dootį́įłiishą' ha'át'íí bee baa dahodiilnih ?
41:4:031:0	Jó , éí ch'il mástad wolyéhígíí bílástsii' nahalin , háálá éí k'eelyéí dahólónígíí t'áá ałtso bi'oh áníshéhígo k'idilyééh ,
41:4:007:1	Jesus hane' bee ak'idi'dootį́įłii yinahjį' na'nitin
41:4:032:0	áko k'idilyéehgo hanisééh , áko dówózhiigi áníłtsogo dahólónígíí t'áá ałtso yilááh áníłtso yileeh , áko bits'áoz'a' dantsxaaz daaleehgo bichaha'ohgóó tsídii nidahat'ahígíí bit'oh ádayiił'įįh .
41:4:033:0	T'áá yik'ida'dootą́'ígi át'éego hane' bee ak'idi'dootį́įłii lą'í bee diné nazneeztą́ą́' ;
41:4:008:1	Jesus tó náádadiidáahii índa níyol hasht'eidííłt'e'
41:4:034:0	hane' bee ak'idi'dootį́įłii t'áágéedgo diné doo nazhnitin da nít'éé' , nidi hódahooł'aahii bił t'áá sáhí jileehgo , hane' bee ak'idi'dootį́įłii ááhyiłníinii hazhó'ó yaa halne' .
41:4:035:0	T'áá éí bijį́ i'íí'ą́ągo áhodííniid , Tį' , be'ek'id wónaanígóó nihił adoo'oł .
41:4:036:0	Áko hódahooł'aahii diné áłah silį́'ígíí yits'ą́ąjį' dah diikaigo , tsinaa'eeł yázhí bii' dzizdáhígíí yiih yikaigo tsinaa'eeł ła' hanaagóó naaznilígíí bił wónaanígóó dah dazh'diił'éél .
41:4:037:0	Nít'éé' ayóó át'éego deeyol , áádóó tó náádadiidáhígíí tsinaa'eeł biih yilk'oołgo tsinaa'eeł k'adę́ę tó bii' hadibin .
41:4:038:0	Jesus t'éí akéédę́ę́' tsii'ááł bikáa'gi ajiłhosh , áádóó hódahooł'aahii ch'éédahasidgo ádahodííniid , Na'nitiní , da' tó nihidooghą́łígíísh doo ni'diił'áa da ?
41:4:039:0	Áko ch'éédzídzidgo níyol dzideeztehgo tó ábijiní , K'adí ! Hasht'edít'eeh ! Áko ííyol , índa t'áá íiyisí hodiiyeel .
41:4:040:0	Áko Jesus áhodííniid , Ha'át'íishą' biniyé nídaałdzid ? Da' t'ahdii nidiísh doo da'iinohdlą́ą da ?
41:4:041:0	Áko hódahooł'aahii t'áá íiyisí nídaaldzidgo áda'ahidoo'niid , Ákoshą' díí lá háí át'į́įgo , níyol áádóó tó nidi bik'eh dahół'į́ ?
