41:10:001:1	Jesus ałts'á'iildééh yeinít'į́
41:10:001:0	Áádóó dah náázhdiidzáago Judíya kéyah bibąąhgóó ch'ízhníyá , áádóó Jórdan tooh wónaanídi jiníyáago , áadi haa áłah náá'ásdlį́į́' , áko t'áá ninázh'nítįįhígi át'éego nínáázhdí'níitą́ą́' .
41:10:002:0	Nít'éé' Férisii danilíinii ła' haa yíkaigo hákada'iiłhilgo nidahódééłkidgo ádaaní , Da' dinéésh be'asdzą́ą́ yił ałts'ándoot'ashgo t'áá bee haz'ą́ ?
41:10:003:0	Ákohgo bich'į' hadzoodzíi'go ábijiní , Mózesshą' ha'át'íí yee nihá hooł'a' ?
41:10:004:0	Áko ádahodííniid , Mózes éí diné ła'da naaltsoos bik'ehgo ałts'á'doot'ashígíí hazhdiilaago índa hwe'asdzą́ą́ yóó'azhdidoo'ááł níigo yee a'di'ní'ą́ .
41:10:005:0	Nidi Jesus ánááhodoo'niid , Nihijéí doo binídahaz'áhígíí biniinaa éí bee haz'áanii Mózes nihá yee ak'e'ashchį́ .
41:10:006:0	Nidi Diyin God t'áá ałtsoní áyiilaadą́ą́' biką'ii índa bi'áadii áyiilaa .
41:10:007:0	Éí biniinaa diné bizhé'é índa bimá yits'ą́ą́' dah didoogáałgo be'asdzą́ą́ yił ahididoo'ash ,
41:10:008:0	áko éí nizhdilt'éhígíí ats'íís t'ááłá'í jidooleeł . Áádóó bik'ijį' doo t'áá ał'ąą da , nidi ats'íís t'ááłá'í jileeh .
41:10:009:0	Éí bąą Diyin God ahainínilii éí diné doo ła' ałts'ázhdoonił da .
41:10:010:0	Wóne'é hódahooł'aahii t'áá éí yínináádahódééłkid .
41:10:011:0	Áko ábizhdííniid , T'áá háiida hwe'asdzą́ą́ yóó'azhdíí'ą́ągo náánáła' asdzání bá náá'dzísgehgo , éí átsé hwe'asdzą́ą́ nít'é'ígíí baazhdíílá ,
41:10:002:1	Jesus éí áłchíní yázhí yik'ijidlí
41:10:012:0	áádóó asdzání hahastiin yóó'azhdíí'ą́ągo náánáła' diné hahastiin ánáájiidlaago , éí ałdó' azhdíílá .
41:10:013:0	Áko diné ła' áłchíní yázhí bidazhdidoolchił biniyé hach'į' nidayii'éésh , nít'éé' hódahooł'aahii éí deideezteh .
41:10:014:0	Nidi Jesus éí yaa ákoniizį́į'go yik'ee doo bił hóózhǫǫd da , áko áhodííniid , Bíni'dii áłchíní shaa hakááh , t'áadoo shich'į' nidanoh'iní , háálá ákódaat'éhígíí Diyin God bee bóhólníihgo bił haz'áanii bíí' ádaat'é .
41:10:015:0	T'áá aaníígóó ánihidishní , T'áá háiida áłchíní yázhí nahalingo Diyin God bee bóhólníihgo bił haz'áanii doo ádaazhdeet'ánígíí éí doo biishdoogáał da .
41:10:003:1	Dinééh at'íinii
41:10:016:0	Áko náhizhdiiłteehgo bik'i dah dahizhdilníihgo bá sozdoolzin .
