41:6:001:1	Jesus éí Názarethdi doo bidi'niidzį́į' da
41:6:001:0	Áádóó Jesus t'áá hó hakéyahgóó dah nízhdiidzá , áádóó hódahooł'aahii hakéé' dah diikai .
41:6:002:0	Áko háá'áyį́į́h jį́ azlį́į'go kin bii' áłah ná'ádleehí biyi' góne' nízhdí'níitą́ą́' , áko lą'í dahodiizts'ą́ą'go t'óó bił adahóóyóigo ádaaní , Háádę́ę'shą' díí t'áá ałtso shóyoost'e' ? Ha'át'íí bee hódzáanii shį́įshą' beílyá ? Dooládó' ayóó át'éego áhooníiłii áyoolíił da !
41:6:003:0	Da' díísh doo kin ííł'íní át'į́į da ? Éí Mary biyáázh , James áádóó Jóses áádóó Júdas áádóó Sáíman bínaaí nilíinii , áádóó da' dabideezhíísh doo bił kéédahwiit'į́į da ? Áko hach'į' doo bił dahóózhǫǫd da .
41:6:004:0	Áko Jesus áhodííniid , Diyin God yá halne'ii t'áá ałtsogóó diné bił dajílį́ , nidi t'áá hakéyahgi áádóó hak'éí índa bił hajííjéé' bitahgi éí doo bił ajílį́į da .
41:6:005:0	Áko ákwii áhooníiłii ayóó át'éii doo baa nijóya' át'ée da , nidi diné bąąh dah nidahaz'ánígíí t'áá díkwíí t'éí bik'i dah dahizhdilníihgo nááhizhdiiłjéé' .
41:6:002:1	Jesus bídahooł'aahii naakits'áadahígíí dayííł'aad
41:6:006:0	Áko doo da'oodlą́ą́góó biniinaa t'óó hoł ahayóí . Áko kin dah naazhjaa'góó nazh'nitingo tázhdíghááh .
41:6:007:0	Nít'éé' diné naakits'áadah nídziizlá'ígíí hágo bizhdííniidgo , naaki nízį́įgo ch'íjiił'aahgo baa nízdiidzá , áádóó níłch'i danchxǫ́'íii ayi'dę́ę́' hadeiniiłkaad doo biniyé bee óhólnííh bitaazdeez'ą́ .
41:6:008:0	Áko ábizhdííniid , Dah sidoohkaigóó ha'át'íhída t'áadoo dayínóhłéhí , gish t'éiyá ; azis bee na'aljidí éí dooda , yist'éí nidi dooda , áádóó nihidah na'ayizii nidi béeso ła' biih daoh'ááł lágo ,
41:6:009:0	áádóó nihikee' t'éí dahólǫ́ǫgo áádóó nihi'éé' , éí t'áádaałá'í doo .
41:6:010:0	Áádóó ábizhdííniid , T'áá haa'ída hooghan biyi' yah adahisoohkaigo dah náádahidoohkáahjį' t'áá ákwii nahísóotą́ą doo .
41:6:011:0	T'áá háiida doo danihinízinígíí índa doo t'áá k'ad danihidiizts'ą́'ígíí , éí bee hwéédahózin doo biniyé , áádóó dah náádahidoohkáahgo nihikee' łeezh bąąh nidahinołdéeh doo . [ T'áá aaníí ánihidishní , Ánihwiit'aah beiníłką́ądi Sádam índa Gomárah kin haal'áagi kéédahat'į́į́ nít'éé' yę́ę biláahdi át'éego atídabidi'doolnííł . ]
41:6:012:0	Áko dashdiikaigo , Diné danohłíinii , łahgo át'éego tsíńdahidohkeesgo nihibąąhági ádaat'éii bits'áhóhkááh , dajiníigo nidahodzisne' .
41:6:003:1	John Tó Yee Asį́įhii bi'diisyį́
41:6:013:0	Áádóó níłch'i bida'iiníziinii lą'í ayi'dę́ę́' hadahizneeskaad , índa diné t'óó ahayóí ka nidaakaígíí ak'ah bąąh ádajile'go hadaałt'é áńdajiidlaa .
41:6:014:0	Nít'éé' aláahgo naat'áanii Hérad wolyéhígíí Jesus baa hozdiizts'ą́ą́' , háálá t'áá át'éé nít'éé' bízhi' nideezdláád . Áko ání , John Tó Yee Asį́įhii daaztsą́ą́dę́ę́' náádiidzáá lá ; éí bąą díí adziil bee ayóó át'éego ádahooníiłii bii' hólǫ́ǫgo yinahjį' áánííł lá .
41:6:015:0	Náánáła' ádaaní , Iiláíjah át'į́ . Náánáła' ánáádadi'ní , Ałk'idą́ą́' Diyin God yá dahalne'ii yę́ęgi át'éego ła' Diyin God yá halne'ii át'į́į́ lá .
41:6:016:0	Nidi Hérad díí yiyíínii'go ání , John , bik'os k'ínółne' dííniidgo bik'os k'élne'ígíí daaztsą́ą́dę́ę́' náádiidzáá lá .
41:6:017:0	Háálá Hérad t'áá hó , hasiláo John bíká ajííł'a'go John yiyiiłtsood , áko ye'eztł'ǫ́ǫgo awáalyaa góne' yah ayííłt'e' . Háálá Hérad t'áá hó hatsilí Philip be'asdzą́ą́ Heródiyas bighajíltį́įgo bá'dzízyeh .
41:6:018:0	Íídą́ą́' John éí Hérad ábizhdííniid , Nitsilí be'asdzą́ą́ bá'síníyehígíí doo bee ná haz'ą́ą́góó ánít'į́ .
41:6:019:0	Éí biniinaa Heródiyas hach'į' doo bił hóózhǫǫd da , áko hodiyeeshxééł niizį́į́' . Nidi doo óone' át'ée da ,
41:6:020:0	háálá John éí diné ts'ídá t'áá ákogi át'éii índa diyinii nilį́įgo Hérad hoł bééhózingo John béédzíldzid , éí bąą t'óó baa áhojilyą́ą́ nít'éé' . Íídą́ą́' John áháłnínígíí jidiizts'ą́ą'go bik'ee t'áá íiyisí t'óó hoł haada , ákondi baa hoł hózhǫ́ǫgo jidiizts'ą́ą́' .
41:6:021:0	Nít'éé' Heródiyas bá ashja hoodzaa , háálá Hérad bi'dizhchį́ yę́ęjį' anáhoolzhiizhgo naat'áanii danilį́įgo áyaa nei'nilígíí áádóó siláo binanit'a'í danilíinii índa Gáliliidóó aląąjį' naazíinii bá da'ííyą́ą́' .
