41:13:001:1	Kin bii' sohodizin ádooldįįłígíí t'áá bítséedi baa hojoolne'
41:13:001:0	Áko Jesus bídahooł'aahii yił kin bii' sohodizin bił haz'ą́ą́dóó ch'íjíkáahgo hódahooł'aahii ła' áháłní , Shoo , Na'nitiní , dooládó' tséda , áádóó dooládó' daakinda !
41:13:002:1	Ach'į' nahwii'náa dooleełígíí alą́ąjį' baa hojoolne'
41:13:002:0	Áko Jesus áhodííniid , Díí kin ayóó ádaat'éhígíísh yíní'į́ ? Kwe'é tsé doo ła' t'áá ałk'i dah si'ą́ą da dooleeł , nidi t'áá ałtso naa'ahidoolkał .
41:13:003:0	Nít'éé' Dził Álivz binániidi kin bii' sohodizin binaashiijí dzineezdáago , Peter áádóó James áádóó John índa Andrew t'áá sáhí nidahódééłkidgo ádaaní ,
41:13:004:0	Baa ch'íhwííní'ánígíishą' hahgo ákódadoonííł bee nihił hólne' , áádóó díidí ádahodooníłígíishą' k'adę́ę t'áá ałtso ádaanéehgo ha'át'íí bee bééhózin dooleeł ?
41:13:005:0	Áko Jesus hach'į' ayá'niiłti'go ání , Ádaa ádahołyą́ , áko diné doo ła' yóó'adanihidínóo'ah da .
41:13:006:0	Lą'í shízhi' yee ádadójíigo nidahidookah , Shí Christ ásht'į́ ! daaníigo , áko lą'í yóó'adeidínóo'ah .
41:13:007:0	Áko da'anaa' índa anaa' baa dahane'go dadoohts'a'go t'áadoo nitsidaahkaaí , háálá díidí ts'ídá ádahodoonííł , nidi t'ah doo nihoogháah da doo .
41:13:008:0	Háálá ał'ąą dine'é ałch'į' nídahidiibáah doo , áádóó łahgo nihokáá' bee bóhólníihgo bił haz'áanii índa náánáła' nihokáá' bee bínááhólníihgo bił nááhást'áanii yił ałch'į' nídahidiibáah dooleeł , índa łahgóó ni' nídahidi'náah doo , áádóó dahodichin índa ach'į' nidahwii'náa doo ; díidíígíí ti'hoo'nííh bee dadeezt'i'ii ádaat'é .
41:13:009:0	Nidi nihí ádaa ádahołyą́ , háálá aa nídahat'į́įjį' adanihidiyoo'ish , áádóó kin bii' áłah nída'adleehí biyi'góó nídanihiniłhał doo ; shiniinaa naat'áanii índa aláahgo naat'áanii naazdáágóó bidááhdę́ę́' nisoozį́įgo shá nidahołne' doo .
41:13:010:0	Áádóó ał'ąą dine'é t'áá ałtso hane' yá'át'éehii áłtsé ts'ídá bee bił dahodoonih .
41:13:011:0	Áádóó aa nídahat'į́įjį' adanihidiyoo'ishgo , t'áá bítséedi ha'át'íhída dadidoohniiłígíí t'áadoo biniinaa ádił nídahodołchiłí ; áajį' ahoolzhiizhgo índa t'áá nihiih yilyáhígíí éí bee hadoohdzih , háálá nihí doo hadoohdzih da , nidi Níłch'i Diyinii éí hanihidiyoołdzih .
41:13:012:0	Áádóó ashiiké t'áá ła' hajíí'áazhgo ła' bidi'yoolyéełjį' niná'ahididoot'ááł , áádóó azhé'é nilíinii ba'áłchíní ninéididoo'ááł , índa áłchíní bishchíinii yidááhdę́ę́' nídahidiikáahgo nahodi'dootsiłjį' ninádahodii'aah dooleeł ;
41:13:003:1	Ayóó át'éego ach'į' nahwii'náa doo
41:13:013:0	shízhi' biniinaa diné t'áá ałtso nihik'ee dadiniih doo . Nidi t'áá háiida t'áá nihoníyáajį' ha'ólníhígíí éí yisdádooltééł .
41:13:014:0	Nidi ( díí t'áá jółta'ígíí háni' bik'izh'diitįįh ) doo yildingóó ni'iiłchxǫǫhii [ éí Daniel , Diyin God yá halne'ii , yaa ch'íhoní'ánígíí] doo sizį́į da dooleeł yę́ęgi sizį́įgo daołtsą́ągo , áyąądą́ą́' Judíyagi kéédahat'íinii bíni'dii dziłjį' choda'iidooł'įįł ,
41:13:015:0	áko ła'da bikin bighą́ą'di naagháago wóne'dę́ę́' t'áadoo le'é ch'íidoolééł biniyé doo yah anídoolwoł da ,
41:13:016:0	áádóó ła'da dá'ák'ehgi naagháago bi'éétsoh t'ááká t'ą́ą́' yaa náolyeed lágo .
41:13:017:0	Áko éí beiníłką́ągo dadzooltsánígíí índa awéé' dahałt'o'ígíí doo hasht'e'ígóó doo há hojooba' haz'ą́ą da doo !
41:13:018:0	Áko éí haigo doo áhodooníił daígíí bíká sodadołzin .
41:13:019:0	Háálá éí beiníłką́ągo Diyin God t'áá ałtsoní áyiilaadóó wóshdę́ę́' díí jį́įjį' ach'į' nahwii'ná ákót'éii t'ah doo yiiltséeh da yę́ę , k'ad índa , áádóó ts'ídá doo ákónáádoo'níił da .
41:13:020:0	Áko Bóhólníihii éí yoołkáłígíí doo áłts'ísí ánáyiidlaagóogo nihokáá' dine'é doo ła' doodzih da , nidi atah yiyiizláa'ii , t'áá bí yitayiizlá'ígíí biniinaa éí yoołkáłígíí áłts'ísí ánáyiidlaa .
41:13:021:0	Áádóó diné ła'da , Shoo , kǫ́ǫ́ Christ naaghá , éí doodaléi' , Shoo , níláhjí naaghá , danihiłníigo t'áadoo deinohdlání .
41:13:022:0	Háálá Christ ádahodil'íinii índa t'óó ádahodil'į́įgo dahalne'ii dahodooleełgo álílee k'ehgo bee éédahózinii índa bik'ee t'óó ił ahayóigo ádahooníiłii ádeił'į́į doo , áko yídaneel'ą́ą́ ládą́ą́' Diyin God atah yiyiizlá'ígíí nidi yóó'adeidínóo'ah .
41:13:004:1	Diné Silį́į'ii nídoodáłígíí
41:13:023:0	Nidi ádaa ádahołyą́ , jó'akon , díí t'áá ałtso t'ah doo ádahanééhdą́ą́' bee nihił hashne' .
41:13:024:0	Nidi éí yoołkáłígíí biyi' ach'į' nahwii'ná bighá yooską́ą́dóó bik'ijį' jį́honaa'éí bił chahodoołhił , áádóó ooljéé' doo adiníłdíin da dooleeł ,
41:13:025:0	índa yádiłhił biyi'dę́ę́' sǫ' nidahindéeh doo , índa yót'ááh hiníláii biyi'di bee dahółdzilígíí dadoogał .
41:13:026:0	Ákohgo índa Diné Silį́į'ii k'os bił yildohgo áádóó bee adziil ayóó át'éii índa ats'ádi'nílííd yił yigáałgo deizdoołtsééł .
41:13:005:1	Fig sikaadii néitsóhígíí binahjį' na'nitin
