28:2:001:1	Bóhólníihii bidine'é doo bada'ahódlíii ayóó'ájó'ní
28:2:001:0	Nik'isóó, Ámai, kóbidiní, áádóó nilahkéí, Ruhámah, kóbidiní. 
28:2:002:0	Nihimá nídeinohkąąh, háálá k'ad doo she'asdzą́ą́ jílį́į da áádóó k'ad doo hahastiin nishłį́į da. Bee hwe'ajiłígíí háni'dii yóó'azhdi'aahgo bił ahizhdilyéhígíí habe'astse' bits'ą́ąjį' kójílééh, 
28:2:003:0	áko doo ákójínééhgóó éí t'áá ho'dizhchínígi át'éego t'áá łichí'ígo áhodeeshłííł áádóó honoojíigi t'áá hóółtseii nahalingo áhodeeshłííł índa dibáá' hodiyoołhééł. 
28:2:004:0	Ha'áłchíní ałdó' doo baa a'áhí dínéesįįł da, háálá ałjiłnii ba'áłchíní danilį́. 
28:2:005:0	Jó, bimá ałjiłgo nibiishchínígíí ałdó' t'óó baa yáhásinígi áhóót'įįd; jó kóní, Bił ałch'į' dah daashwo'ii bikéé' tádíshyeed dooleeł; éí bááh índa tó shaa dayiikaah; aghaa' shí dooígíí áádóó naak'ą' shi'éé' ádeeshłíłígíí índa áliv ak'ah shí dooígíí áádóó yishdlánígíí ałdó' yee shaa dajooba'. 
28:2:006:0	Éí bąągo ch'il deeníní honídeesht'ih áádóó hadádi'deeshtł'į́įłgo t'áadoo ch'íjóya'jį'góó áhodeeshłííł, jó'akon. 
28:2:007:0	Bił ałch'į' dah dajilwo'ii bikéé' náázhdiilwo' nidi, doo ła' bił jididoodił da; házdéez'į́į' nidi, doo bik'ízhdoogáał da; ákohgo ázhdidooniił, Átséédą́ą́' shahastiin nít'ée'ii bich'į' t'óó nihéédeeshdááł, háálá éí aláahgo yá'át'éehgo bił tádísh'aash nít'éé'. 
28:2:008:0	Áko baa hánilígíí doo yaa ákonízin da; éí tł'oh naadą́ą́' áádóó wáin ániidíii áádóó ak'ah ádaat'éii índa béésh łigaii áádóó óola k'ee'ąą yilzhishgo éí bidiyin Béíyal wolyéii yá choyooł'į́į́ nít'éé'. 
28:2:009:0	Éí bąą da'neest'ą́ą́ góne' náádeeshdáałgo shitł'oh naadą́ą́' índa wáin ániidíii bits'ą́ą́' nahjį' kónídeeshdlííł áádóó t'áá łichí'ígo bee háázhdiit'įįh doo biniyé aghaa' índa na'at'ą́hí łigaii dits'idgo yistł'ónígíí baa deet'ą́ nít'ée'ii bits'ą́ą́' nahjį' kónídeeshdlííł. 
28:2:010:0	Yił ałch'į' ádaat'íinii binááł t'óó baa yáhásingo jiinánígíí yit'íní ádeeshłííł áádóó ts'ídá doo ła' shílák'eedóó yisdáhółtééł át'ée da dooleeł. 
28:2:011:0	Baa hoł hózhóonii t'áá át'é éí áda'azįįd nídeit'aahii áádóó dah yiitą́ągo háá'áyį́į́h jį́ áádóó hoháá'áyį́į́h jį́ índa dahozdísingo áłah nída'adleehii t'áá ałtso nahjį' kódeeshłííł. 
28:2:012:0	Hach'il na'atł'o'ii índa hatsin fig naazkaadii hats'ą́ą́' deeshchǫǫł; éí, Bił ałch'į' dah daashwo'ii shich'į' nidayiiléego shaa dayiiznil, jiníigo baa yájííłti', nidi t'áá ałtsoní bee hodíłch'ilgo ádeeshłííł áádóó nidaaldlooshii yaa nahodidookah. 
28:2:013:0	Béíyal wolyéii bich'į' didlidgo nááhániihii náájiisnii'go biniinaa atíhodeeshłííł. Jaatł'óół índa tsé da'ílíinii t'éí bee háázhdiit'įįh áádóó bił ałch'į' dah dajilwo'ii bikéé' yóó'aníjílwo' áádóó shaa jiyooznah, ní Bóhólníihii. 
28:2:014:0	Éí bąągo ádích'į'go kóhodeeshłíiłgo honoojíijį' ahodeesłóós, jó'akon; áadi hazhó'ó hach'į' hadeesdzih. 
