57:1:001:1	Paul Khadigiinjii ts'ą' Mahsį' Nyąą
57:1:001-002:0	
57:1:001-002:0	Philemon, jii dęhtły'aa nats'ą' dįhtł'oo. Christ Jesus veenjit gwitr'it t'agwał'in geh'an, zheegwaazhrąįį dhiidii.Diichaa, Timothy oozhii, chan nats'ą' ch'eet'igwiniindhan niin'ąįį. Nant'ee diihaa Christ veenjit gwitr'it t'agwah'in t'oonchy'aa. Nijin nizheh gwizhit tr'igiinkhii gwahahtsyaa ji' diijuu Apphia ts'ą' Jesus Christ viniveet'ah'in nilii Archippus oozhii goots'ą' ch'eet'igwiniindhan nariin'ąįį diineenjit goovaagwandak. Jesus k'injiighit nąįį datthak chan ch'eet'igwiniindhan diineenjit goots'ą' niin'ąįį. 
57:1:002:1	Philemon, Jesus K'injijii Nąįį Eenjit Ch'eet'igwiniindhan Di'įį
57:1:003:0	Vit'eegwijyąhchy'aa Diiti' ts'ą' Diik'eegwaadhat Jesus Christ vats'a' khadigihjii, nakhweenjit ch'eegoonzhrįį ts'ą' tsinehdan nats'an oolį'. 
57:1:004:0	Shachaa gwik'injigwiighit zhit Philemon, khit ts'ą' khadigihjii dąį' neenjit Vit'eegwijyąhchy'aa mahsį' vaihnyąą. 
57:1:005:0	Vit'eegwijyąhchy'aa vigii nąįį eenjit ch'eet'igwiniindhan ni'įį ts'ą' K'eegwaadhat Jesus chan vit'injyąhchy'aa narahnyąą neegwiitth'ak geh'an. 
57:1:006:0	Nigwik'iinjigwiighit eh'an ch'eiinzhrii. Ts'ą' ąįį nich'eegǫǫnzhrii haa gwitr'it t'agwah'in, gwik'iighai' jidii gwinzii Christ veenjit t'igwii'in datthak gaanahandaii geenjit, neenjit khadigijii. 
57:1:003:1	Paul, Onesimus Eenjit Philemon ts'ą' Ginkhii
57:1:007:0	Shachaa, nich'eet'igwiniindhan ts'an shant'ee zhuut'iichy'aa shats'an nilii ts'ą' łyaa shashroonchy'aa gaiiyiidhałtsąįį, ąįį nich'eegǫǫnzhrii, Vit'eegwijyąhchy'aa vigii nąįį drii zhit gwinzii neegwahts'ik geh'an. 
57:1:008:0	Ąįį geh'an sheenjit k'eegwiichy'aa t'ini'yaa geenjit noałkat t'ihnyąą. Khan Christ voozhri' zhit gwik'it t'ini'in nakhaihjyaa, jyąhts'ą' gwinzii t'ini'yaa geh'an. 
57:1:009:0	Nijyaa Paul ihłįį ts'ą' nihłeenjit ch'eet'igwiniindhan tr'ii'įį geh'an gwizhrįh, sheenjit k'eegwiichy'aa t'anoonyą' nihthan. Niighyuk K'eegwaadhat vitsyaa ihłįį ts'ą' tth'aii hee veenjit gwitr'it t'agwahał'yaa, ąįį geh'an zheegwaazhrąįį neesharąhchįį. 
57:1:010:0	Googaa dinjii Onesimus vats'a' ch'eegoonzhrįį ni'įį. Zheegwaazhrąįį dhidii gwiizhik Gwandak Nizįį eech'oaałtan geh'an K'eegwaadhat k'injiindhat dhidlit ts'ą' shigii k'it t'inchy'aa. 
57:1:011:0	Ch'adąį' łyaa duuyeh nits'inyąą, gaa juk khan nan shįį haa diits'iheenjyaa. 
57:1:012:0	Juk it'ee Onesimus nats'ą' neeheedyaa geenjit vats'ą' giihkhe'. Łyaa vak'at'ihihchy'aa. 
57:1:013:0	Dzaa ch'iitsii tły'ah haa dashoochaa gwiizhit Gwandak Nizįį eegwaldak shaa oodi' oihnyąą ts'ą' ji' łyaa gwintł'oo shits'iheenjyaa. 
57:1:014:0	Gwik'it t'ini'in gitr'iin'ee gwiizhik jyaa naihnyąą ji' gitr'ih'ee. Gwik'it t'iindhan ji' gwizhrįh shits'iinyąą. 
57:1:015:0	Jyąhts'ą' gininjich'ahthat ch'ihłee gwizhrįh Onesimus naa iindi', gaa juk gwats'an khit naa heedyaa. 
57:1:016:0	Juk slave nilii kwaa, nihk'it Christ k'injiindhat geh'an. Łyaa gwintł'oo vit'eehaałchy'aa, gaa nan ąįį shandaa gwitr'it nizįį eenjit vit'eehąąhchy'aa. 
57:1:017:0	Nihłaa K'eegwaadhat eenjit tr'agwarah'in izhik geenjit ch'eet'igwiniindhan haa adats'ą' nihdanąąhchįį. Shįį nats'ą' tr'ineeshizhii deeshihinlyaa gwik'it. 
57:1:018-019:0	Nats'ą' gwiizųų tr'agwah'ya', datthak gwidihintł'oo ts'ą' nineegoohihkwat. K'eegwaadhat k'injiindhat dąį' nits'iinyą', ąįį gineenahaldaii gwat'aałchy'aa kwaa. 
57:1:020:0	Shachaa, nihłaa K'eegwaadhat k'injiriighit ts'ą' veenjit gwitr'it t'agwarah'in, izhik geh'an sheenjit k'eegwiichy'aa t'inizhik ji' shoo shahąhtsyaa. 
57:1:021:0	Jidii geenjit jii dęhtły'aa nats'ą' dįhtł'oo ąįį gwik'it t'ini'yaa, ts'ą' gwandaa chan gwik'it t'ini'yaa gaashandaii. 
57:1:004:1	Jii Dęhtły'aa T'ee Ndaanaa'ąį'
57:1:022:0	K'eegwiichy'aa ch'ihłak sheenjit t'anoo'ya' yiihthan. Nits'eeheedyaa eenjit gwihihchy'aa sheenjit shrigwinlii ts'ą' khadigiinjii, nik'eegwahahthat vaashandaii. 
57:1:023-024:0	Dzaa zheegwaazhrąįį gwizhit, dinjii, Epaphras oozhii, shaa dhidii. Nidiveegoozų' nahnyąą. Mark, Aristarchus, Demas, Luke nąįį t'ee shaa geenjit gwitr'it t'agwagwah'in nidiveegoozų' nagoonyąą. 
57:1:025:0	K'eegwaadhat Jesus Christ vich'eegoonzhrii nakhwaa gooli'.
