10:4:001:1	Ish-bósheth bi'diisyį́
10:4:001:0	Áádóó Saul yę́ę biye' Ish-bósheth éí Hííbran kin haal'áadi Ábner daaztsą́ągo yiyíínii'go t'óó bił áhásdįįd áádóó Ízrel dine'é t'áá ałtso niseekai .
10:4:002:0	Saul yę́ę biye' éí diné naaki bá naal'a'go siláo binanit'a'í nilį́ : ła' Béíyanah wolyé , náánáła'ígíí éí Rííkab wolyé , t'áá áłah Ríman biye' nilį́įgo Biyérath kin shijaa'dóó Bénjamin dine'é nilį́ . ( Jó , Biyérath kin shijaa'ígíí Bénjamin dine'é bíí' át'é ,
10:4:003:0	áádóó Biyérathdóó dine'é éí Gíteiyimgóó adahineezhchą́ą́' , áko áadi díí jį́į́góó t'óó átsééd kéédahat'į́ . )
10:4:004:0	Jánathan yę́ę biye' éí Saul yę́ę binálí kót'éego nazhniłhod dzizlį́į́' : ashdla' honááhaigo Jézriyel kin haal'áádę́ę́' Saul áádóó Jánathan yę́ę baa hóóne'go asdzání haa áhályánígíí dah hodiiłtį́įgo hoł dínéezhchą́ą́' ; íídą́ą́' tsį́įłgo noochéełgo nahóółt'e'go bits'ą́ą́dóó nazhniłhod dzizlį́į́' . Éí Miifíbosheth joolyé .
10:4:005:0	Áádóó Biyérath kin shijaa'dóó Ríman biye'ké Rííkab áádóó Béíyanah dah dii'áazhgo hadoh dah nídíno'go Ish-bósheth bighangi jiní'áázh ; ałní'ní'ą́ągo bitsásk'eh yikáá' hanályį́į́h lá .
10:4:006:0	Nít'éé' tł'oh naadą́ą́' bąąh hasht'elyaaígíí nízhdidoołtsos áhozhdil'į́įgo yah ajíí'áázh , áádóó hátsą́ą́' biyei góne' diltłish hagháinísi'go Rííkab áádóó bitsilí Béíyanah dah ahidíníilchą́ą́' .
10:4:007:0	Jó , íídą́ą́' jinitéhí góne' hatsásk'eh bikáá' dziztį́įgo hoł yah íí'áazhgo diltłish hagháinísi'go hwiisxį́ , áko hazéidíígizhgo hatsiits'iin dah yidii'ą́ áádóó halgaigóó tł'éé' bíighah yi'ashgo yiską́ .
10:4:008:0	Áádóó Ish-bósheth yę́ę bitsiits'iin éí Hííbran kin haal'áagi aláahgo naat'áanii David yeiní'ą́ągo áyidííniid , Shoo , ni'ana'í Saul yę́ę éí ni'niiłhį́ yę́ę biye' Ish-bósheth kǫ́ǫ́ bitsiits'iin . Saul yę́ę áádóó ba'áłchíní éí Bóhólníihii díí jį́ aláahgo naat'áanii bóhonishníihii yá k'éidiidlaa .
10:4:009:0	Áádóó David éí Rííkab áádóó bitsilí Béíyanah Biyérathdóó Ríman biye'ké yich'į' haadzíi'go áyidííniid , Ts'ídá t'áá aaníí Bóhólníihii hiná ; bí éí ach'į' nahwii'ná bits'ą́ąjį' shii' sizíinii nááyiisnii' .
10:4:010:0	Íídą́ą́' ła' shił hojoolne'go ájíní , Shoo , Saul yę́ę dadziztsą́ ; éí hane' baa hoł hózhǫ́ǫ doo nízingo shił hojoolne' , nidi ts'ídá t'áá aaníí hąąh dah níshjį́įdgo Zíklag kin haal'áagi hoséłhį́ . Éí hoł hweeshne'go bik'é shich'į' ni'doolééł , shijó'níí nít'éé' .
10:4:011:0	T'ah nááyówehígi át'éego diné doo yá'áshóonii éí diné t'áá ákogi át'éii bighan góne' bitsásk'eh bikáa'gi yiyiisxį́įgo ts'ídá t'áá aaníí diné soołhínígíí bidił biniinaa k'éénihidideeshdlíiłgo nihokáá'dóó nahjį' kónihideeshłííł .
10:4:012:0	Nít'éé' David tsíłkéí bá nidaal'a'ígíí hach'į' yiyííł'aadgo nidahastseedgo hála' áádóó hakee' dayiizhgizhgo Hííbran kin haal'áagi tó siyínígíí bíighahgi dah deidiyiinil . Nidi Ish-bósheth bitsiits'iin dah deidii'ą́ągo Hííbrangi tséní'ootséél góne' Ábner yóó'ábi'diilyaa yę́ę góne' adeiz'ą́ .
