10:13:001:1	Ámnan áádóó Téímar
10:13:001:0	Áádóó náás hodeeshzhiizhgo David biye' Ábsalam éí bideezhí baa dzólní ; éí Téímar wolyé , áko David biye' náánáła' Ámnan wolyé ; éí ayóó'ábó'ní .
10:13:002:0	Áádóó Ámnan éí Téímar bilah át'éego t'áá íiyisí yídin béé'niitsxaahgo yik'ee doo bá áts'íid da ; jó , ch'ikę́ę́h bizháán naagháii nilį́ , áko Ámnan éí baa nitsídzíkeesgo t'áá íiyisí há nantł'ago t'áadoo ájóle'gigóó t'óó bídin ájínééh .
10:13:003:0	Áko Ámnan bik'is ła' hólǫ́ , éí Jánadab wolyé ; éí David bínaaí Shímiya biye' ; éí diné t'áá íiyisí nahagizii nilį́įgo
10:13:004:0	Ámnan áyidííniid , Shoo , aláahgo naat'áanii biye' nílíinii , ha'át'éegoshą' t'áá ákwíí jį́ nídínínídzá nahonílin ? Bee shił hólne' . Ámnan ádííniid , Shínaaí Ábsalam bideezhí Téímar ayóó'ósh'ní .
10:13:005:0	Jánadab áhodííniid , Nitsásk'eh bikáá' sínítį́įgo dantsaah áhodíl'į́ , áko nizhé'é naa doogáałgo nidínóoł'įįłgo ábididííniił , Nánooshkąąh , háni'dii shilah Téímar shaa doogáałgo ch'iyáán ła' sha'doołtsoł índa shinááł hasht'eiléehgo yideestsééł índa shidi'yoosį́į́ł .
10:13:006:0	Áko Ámnan neeztį́įgo da'áhodiltsaah í'diilyaa , áádóó aláahgo naat'áanii baa níyáago Ámnan éí aláahgo naat'áanii áyidííniid , Nánooshkąąh , háni'dii shilah Téímar shaa doogáałgo shinááł łees'áán naakigoda íidoolíi łgo éí shiidiyoosį́į́ł .
10:13:007:0	Nít'éé' David éí Téímar bighangóó kóníigo i'ííł'a' , Nílááh , nilah Ámnan bighangóó dínáahgo ch'iyáán bá ánílééh .
10:13:008:0	Áádóó Téímar éí halah Ámnan bighandi sitį́įgo baazhníyá . Ak'áán ákǫ́ǫ́ jiníką́ągo áadi tadzooznii' , áádóó binááł bááh nímazí ájiilaago dzist'é .
10:13:009:0	Nít'éé' binááł bitsee'í bee bááh sit'éego háájííką́ , nidi doo t'áá k'ad yiyííyą́ą' da . Áádóó Ámnan ádííniid , Diné t'áá ałtso ch'ídookah . Áko t'áá ałtso tł'óó'góó ch'ídahaaskai .
10:13:010:0	Áko Ámnan éí Téímar ííłní , Aadę́ę́' nishtéhí góne' ch'iyáán yah anikaahgo shi'di'yíísį́į́ł , áádóó Téímar łees'áán ájiilaaígíí Ámnan halah bił yah ajííką́ .
10:13:011:0	Áko yidooyį́į́ł biniyé baazhníką́ , nít'éé' hasiłgo áháłní , Shił níteesh , shilah .
10:13:012:0	Áádóó ábijiní , Dooda , shilah , t'áadoo bíshiníłchéhí , háálá Ízrel dine'é bitahgi ákódaat'éii doo ádoolníił da nít'éé' ; díí doo áháyą' óólééh lágo .
10:13:013:0	Shíshą' , éí bee shaa yáhóósįįdígíí háágóó bił deeshááł ? Áádóó ni Ízrelgi t'áá íiyisí doo áhoosyąądii nílį́į doo . Éí bąą k'ad nánooshkąąh , aláahgo naat'áanii bich'į' handziih , áko éí ahaa diit'ashgi dooda doo didooniił da .
10:13:014:0	T'áá ákót'ée nidi doo hwíists'ą́ą́'góó haláahgo bidziilgo t'áá bizááká hoł neezhtéézh .
10:13:015:0	Ákohgo Ámnan t'áá íiyisí hojoosłxáá' ; hak'ee deeznihgo hojoosłxá'ígíí éí ayóó'ó'ó'ní yee ayóó'áhó'níí nít'é'ígíí biláahgo ayóó át'éego doo hoł ni'íłdįįh da . Áádóó áháłní , Akǫ́ǫ́h ch'ínílyeed .
10:13:016:0	Áko ábizhdííniid , Doo ch'ídeeshwoł da ; díí ch'íshininíłchéhígíí ts'ídá agháago doo yá'áshónígi áshidíílííł ; doo yá'áshónígi áshiinilaaígíí biláahgo ádíínííł . Nidi doo hwíists'ą́ą' da .
10:13:017:0	Áko bá naal'a'í t'áá bí t'éí bá ninál'aahígíí hágo yidííniidgo ííłní , Díí asdzání k'ad shits'ą́ąjį' ch'íbíníyííł áádóó bits'ą́ą́' dáádílkał bił dah asítįįh .
10:13:018:0	Éé' t'áá sahdii át'éego naashch'ąą'ii yii' sitį́ , háálá aláahgo naat'áanii bitsi'ké bízháán nidaakaii éé' ákót'éii yii' naaztį́ . Ámnan bá naal'a'í hoł ch'íní'áazhgo hach'ą́ą́h dá'di'níłkaal .
10:13:019:0	Nít'éé' Téímar éí łeeshch'iih hatsii' bik'íjízhjaa' áádóó bi'éé' t'áá sahdii át'éego naashch'ąą'ígíí ak'i nidziisdǫ́ǫ́z , índa hatsiits'iin bik'izdées'nii'go jichago níjoodááł .
10:13:020:0	Áko bínaaí Ábsalam ábíłní , Da' nilah Ámnanísh nił neezhtéézh ? Ákót'ée nidi t'áadoo ádíníní diiłheeł , shideezhí , éí nilah át'é . T'áadoo bąąh níni'í . Áko hánaaí Ábsalam bighandi t'áá hó t'éí yínííł jílį́įgo dzizdá .
10:13:021:0	Nít'éé' David díí áhóót'įįdígíí yaa hodiizts'ą́ą'go t'áá íiyisí yik'ee báhóóchįįd .
10:13:002:1	Ábsalam k'ééhodiidlaago yóó'eelwod
10:13:022:0	Áádóó Ábsalam bínaaí Ámnan yá'át'éehii , doodaii' doo yá'át'éehii t'áadoo yich'į' yee haadzíi' da ; jó , Ábsalam éí Ámnan yijoosłxáá' , háálá bilah Téímar t'áá bizááká bił jineezhtéézh lá .
10:13:023:0	Ákódzaago naaki nááhaidóó bik'ijį' Ábsalam éí diné bá tádadi'doogishígíí Béíyal-héízar kin shijaa'gi áłah áyiilaa , éí Íífreiyim kin haal'á bíighahgi áhoolyé ; éí aláahgo naat'áanii biye'ké hágo yidííniid .
10:13:024:0	Nít'éé' Ábsalam éí aláahgo naat'áanii yaa níyáago ííłní , Shoo , ná naal'a'í nishłíinii shá tádadi'doogishígíí áłah íishłaa ; bíni'dii , nánooshkąąh , aláahgo naat'áanii áádóó bá nidaal'a'í éí ná naal'a'í nishłį́įgo shaa hidookah .
10:13:025:0	Áádóó aláahgo naat'áanii éí Ábsalam áyidííniid , Dooda , shiye' , doo nidediidląąłígíí biniyé doo t'áá áníiltso ákǫ́ǫ́ diikah da . Nidi lą́ bizhdidooniiłígíí yaa niséé'áłdił . Ákót'ée nidi doo t'áá k'ad ákǫ́ǫ́ deeyáa da , nidi t'óó hak'i hozhdoodliiłgo há haadzíí' .
10:13:026:0	Áko Ábsalam ádííniid , Éí doodago , bíni'dii , nánooshkąąh , shínaaí Ámnan nihił dookah . Áádóó aláahgo naat'áanii áhodííniid , Ha'át'íísh biniyé éí ákǫ́ǫ́ nihił yikah doo ?
10:13:027:0	Nidi Ábsalam éí hach'į' yaa niséé'áłdiłgo Ámnan áádóó aláahgo naat'áanii biye'ké t'áá ałtso bił yikah dooígíí hoł t'áá ííko .
10:13:028:0	Áko Ábsalam bá nidaal'a'í yich'į' haadzíi'go ání , Díí k'ad baa ákodadínóohsįįł : Ámnan éí wáin bił honiiłdoigo áádóó , Ámnan atídahohłééh , nihidííniidgo dadiyoołhééł . Da' doósh t'áadoo bik'ee nihił daayé'í , nihidishníigo nihich'į' bee haasdzíi' da ? Chánah ída'díínół zin áádóó t'áadoo ninádahinołyésí .
10:13:029:0	Áádóó Ábsalam bá nidaal'a'í t'áá áyidííniidígi ádaadzaago Ámnan dayiisxį́ , áko aláahgo naat'áanii biye'ké t'áá ałtso dah diijéé' áádóó diné t'ááłá'í nítínígo bidzaanééz yik'i dah dahiniljį́įdgo bił yóó'aheezhjéé' .
10:13:030:0	Áko kóhóót'įįdgo t'ah níjookahgo David hane' baa yít'ą́ , kóhá'níigo , Ábsalam éí aláahgo naat'áanii biye'ké ałtso neistseed , t'ááłá'í nidi doo ła' ch'ééyáa da .
10:13:031:0	Áádóó aláahgo naat'áanii náhidiitahgo bi'éé' ayííłdláád índa ni'góó neeztį́ , áádóó bá nidaal'a'í t'áá ałtso dabi'éé' adayiisdláadgo bíighahgóó naazį́ .
10:13:032:0	Nít'éé' David bik'is Shímiya biye' Jánadab ádííniid , Bóhonishníihii nílíinii , aláahgo naat'áanii biye'ké tsíłkéí ałtso naaztseed lá , t'áadoo níníziní ; éíyee' Ámnan t'éiyá bi'diisyį́ ; jó , Ábsalam bilah Téímar t'áá bizááká bił jineezhtézhídóó yee hooł'a'go ákóhodoolíiłgo yinahaz'ą́ .
10:13:033:0	Éí bąą bóhonishníihii aláahgo naat'áanii nílíinii , díí aláahgo naat'áanii biye'ké ałtso naaztseed , ha'níigo nijeehwiit'aahígíí t'áadoo yinídlą́ągo ni'diił'áhí ; jó , Ámnan t'éiyá bi'diisyį́ .
10:13:034:0	Nít'éé' Ábsalam yóó'eelwod . Áko dinééh éí kin haal'áii yik'i ha'ídées'į́į'ii déé'į́į'go , nít'éé' , shoo , bine'jí yílk'idídę́ę́' diné t'óó ahayóí deíjeehgo yiyiiłtsą́ .
10:13:035:0	Áko Jánadab éí aláahgo naat'áanii áyidííniid , Shoo , aláahgo naat'áanii biye'ké aadę́ę́' náákah t'áá ná naal'a'í ádííniidígi áhoodzaa .
10:13:036:0	Ákódzaago t'óó niyázhníłti'ígo aláahgo naat'áanii biye'ké yikai . Áádóó chaał adahoyiiníihgo daacha ; aláahgo naat'áanii índa bá nidaal'a'í t'áá ałtso yił ayóó át'éego daacha .
10:13:037:0	Nidi Ábsalam yóó'eelwodgo Amáíhad éí Gíísher kéyahgi aláahgo naat'áanii biye' Tálmai wolyéii yich'į' ííyá , áádóó David t'áá ákwíí jį́ haye' Ámnan baa jicha .
10:13:038:0	Ákohgo Ábsalam yóó'eelwodgo Gíísher kéyahgóó ííyá ; áadi táá' binááhai .
10:13:039:0	Nít'éé' aláahgo naat'áanii David biye' Ábsalam t'áá íiyisí yídin silį́į'go bich'į' deeshááł nízin , háálá ha'oos'niidgo bik'ehata'go Ámnan daaztsánígíí doo yaa nitsíkees da .
