10:9:001:1	David éí Miifíbosheth yaa joozba'
10:9:001:0	Áádóó David ádííniid , Saul yę́ę ba'áłchíníísh t'ah ła' yidziih ; éí Jánathan binahjį' baa jiideeshbaał .
10:9:002:0	Nít'éé' Saul yę́ę ba'áłchíní bighandóó ła' naal'a'í nilį́į́ léi' Záíba wolyéé lá , áádóó David aláahgo naat'áanii bá hágo dahodííniidgo áhodííniid , Da' niísh Záíba yinílyé ? Áádóó ábizhdííniid , Aoo' , ná naal'a'í nishłį́įgo ásht'į́ .
10:9:003:0	Áko aláahgo naat'áanii ádííniid , Saul yę́ę ba'áłchíní doósh ła' t'ah yidziih da ? Éí Diyin God bibee ajooba' bee baa jiideeshbaał . Nít'éé' Záíba éí aláahgo naat'áanii áyidííniid , Jánathan yę́ę biye' ła' t'ah yidziih ; éí na'niłhod .
10:9:004:0	Aláahgo naat'áanii áhodííniid , Háadish naaghá ? Áádóó Záíba éí aláahgo naat'áanii áyidííniid , Shoo , Ló-dííbar kin shijaa'di Ámiyel biye' Méíkir yighandi sidá .
10:9:005:0	Áko aláahgo naat'áanii David éí dah adiił'a'go Ló-dííbar kin shijaa'di Ámiyel biye' Méíkir bighandę́ę́' hoł nídazhdookah biniyé i'jííł'a' .
10:9:006:0	Áádóó Jánathan yę́ę biye' Saul yę́ę binálí Miifíbosheth wolyéii David yaa níyáago yich'į' nitsideelgo'go ni'jį' tsé'yaa neeshjoolgo hodísin . Áádóó David áhodííniid , Miifíbosheth . Áko ájíní , Jó , ná naal'a'í nishłíinii ásht'į́ .
10:9:007:0	David áhodííniid , T'áadoo nił yé'í . Jó , ts'ídá t'áádóo nídí naa jiideeshbaałgo Jánathan nizhé'é yę́ę bá ákóndeeshłííł , áádóó Saul ninálí yę́ę bikéyah nít'é'ígíí t'áá át'é naa dideesh'ááł áádóó shibikáá' adání bich'į' dah nánídaahgo ná'ídį́įhgo hoolzhish doo .
10:9:008:0	Áádóó yaa ádzaago ání , Ná naal'a'í nishłíinii , ha'át'íísh nishłį́ ? Jó , łééchąą'í daaztsáaniigi yee' ánísht'éego ayóogo shíninidlį́įgo shiníníł'į́ .
10:9:009:0	Nít'éé' aláahgo naat'áanii éí Záíba hágo yidííniid , éí Saul yę́ę yá naal'a'í nilį́įgo ííłní , Bá nanil'a' yę́ę biye' baa diní'áanii éí Saul yę́ę bíí' nít'éé' yę́ę índa ba'áłchíní t'áá ałtso daabíí' nít'éé' yę́ę ałtso baa diní'ą́ .
10:9:010:0	Éí bąą ni áádóó niye'ké índa ná nidaal'a'í dá'ák'eh bá nidahwiidiyoołdlałgo daneest'áanii yah adahidoohééł , áko bá nanil'a'í yę́ę biye' yidooyį́įłii hólǫ́ǫ doo . Nidi bá nanil'a'í yę́ę biye' Miifíbosheth éí shibikáá' adání yich'į' dah náńdaahgo t'áá áłahjį' ná'ádį́įh doo . Jó , Záíba éí biye' ashdla'áadah yilt'é índa bá nidaal'a'í éí naadiin yilt'é .
10:9:011:0	Áko Záíba éí aláahgo naat'áanii áyidííniid , Bóhonishníihii aláahgo naat'áanii bá naal'a'í nishłį́įgo shich'į' yee hahaasdzí'ígíí t'áá ałtso bik'ehgo ná naal'a'í nishłíinii éí bik'eh ádeeshnííł . Jó , aláahgo naat'áanii ájíní , Miifíbosheth éí shibikáá' adání yich'į' dah náńdaahgo aláahgo naat'áanii biye'ké atah jílį́įgo bił nída'jidį́įh doo .
10:9:012:0	Áádóó Miifíbosheth biye' dinééh nilį́ , éí Máíka wolyé . Záíba bighangi kéédahat'ínígíí t'áá ałtso éí Miifíbosheth yá nidaal'a' .
10:9:013:0	Áko Miifíbosheth éí Jerúsalem kin haal'áagi kééhat'į́ , háálá t'áá áłahjį' aláahgo naat'áanii bibikáá' adání yich'į' dah náńdaahgo ná'ádį́į́h , áádóó éí bikee' t'áá ałch'ijí yee na'niłhod .
