10:18:001:1	Ábsalam daaztsą́
10:18:001:0	Nít'éé' David éí diné hoł naakaígíí jííłta' nít'éé' , áádóó míilgo daníjaa'ii binanit'a'í bik'eh danízį́įgo índa neeznádiingo daníjaa'ii binanit'a'í bik'eh danízį́įgo ájiilaa .
10:18:002:0	Áádóó David éí diné táidi'éshígíí táa'go dah yinéełgo áyiilaa ; éí ła' Jó'ab táidi'éeshgo ájiilaa , áádóó Zerowáíyah biyáázh Jó'ab bik'is Abísheiyai éí ałdó' ła' táidi'éeshgo áyiilaa , índa Gath kin haal'áádóó dine'é Ítayai ałdó' ła' táidi'éeshgo áyiilaa , áko aláahgo naat'áanii éí diné áyidííniid , T'áá aaníí shí ałdó' ákǫ́ǫ́ nihił yishkah dooleeł .
10:18:003:0	Nidi diné áńdahodoo'niid , Doo ákǫ́ǫ́ nihił dííkah da , háálá yóó'iijée'go nihí éí doo íiyisí nihíniiká ádaat'į́į da doo , doodaii' ałníí'dóó nidanihistseedgo nihí doo íiyisí nihiniyé ádaat'į́į da doo . Nidi nihí neeznáadi mííl niilt'éhígíí biláahgo anílį́ ; éí bąą k'ad kin haal'áádóó nihíká adíílwołjí éí yá'át'ééh .
10:18:004:0	Áádóó aláahgo naat'áanii ádííniid , T'áá aláahgo nihił yá'ádaat'éhígíí ádeeshłííł , áádóó aláahgo naat'áanii éí yah a'atiin bíighahgi sizį́ , áko diné neeznádiin daníjaa'go áádóó míilgo daníjaa'go t'áá ałtso ch'éheezná .
10:18:005:0	Nít'éé' aláahgo naat'áanii éí Jó'ab áádóó Abísheiyai índa Ítayai yich'į' haadzíi'go kóní , Shí shąą Ábsalam diné ániid naagháii t'áá baa dajiinohba' . Áko diné t'áá ałtso binááł aláahgo naat'áanii éí siláo binanit'a'í t'áá ałtso Ábsalam doo haada dazhdoolííłgóó yee áhodííniid .
10:18:006:0	Áko siláo dah dadiináago Ízrel dine'é yich'į' anaa' dahasłį́į́' ; Íífreiyim kéyah hodíłch'il tahgi bił da'ahijoogą́ą́' .
10:18:007:0	Áadi Ízrel dine'é éí David bá nidaal'a'í dabíłtséedgo áadi íídą́ą́' ayóó ánéelą́ą'go dabi'doogą́'ígíí éí naadiindi mííl siláo ábi'disdįįd lá .
10:18:008:0	Áko anaa' hazlį́į'go kéyahgóó t'áá át'é da'ahijigą́ ; íídą́ą́' diltłish bee nahózdįįdígíí bilááh ázhnéelą́ą'go hodíłch'il bii'góó yóó'adahizdineeskaigo áhásdįįd .
10:18:009:0	Áádóó Ábsalam éí David yá nidaal'a'í yił ałk'ą́ą́h yikai , áko Ábsalam éí dzaanééz bił yilwołgo chéch'iltsoh bits'áoz'a' ałtaanáneez'áá léi' hoł bik'ą́ą́h yilwodgo biishdinoolne'go yádiłhił índa nahasdzáán bita'gi t'áá ákǫ́ǫ́ dah nijilch'ąął ; dzaanééz éí hayaa haalwodgo eelwod .
10:18:010:0	Nít'éé' diné léi' biiłtsą́ągo kóníigo Jó'ab yił hoolne' , Shoo , Ábsalam ga' chéch'il yiih dinoolne' léi' dah naalch'ąąłgo yiiłtsą́ .
10:18:011:0	Áádóó Jó'ab éí diné bił hoolne'ígíí áyidííniid , Áko , jó , yinił tsą́ą́ léi' doo haniih ni'jį' abídzíłxaał da , áko béésh łigaii neeznáá bíighahgo áádóó sis bił naadeeshnił nít'éé' .
