10:15:001:1	Ábsalam éí ádił naalteehgo David yik'ijį' nilį́
10:15:001:0	Áádóó bik'ijį' Ábsalam éí tsinaabąąs bijáád naakiígíí áádóó łį́į́' índa diné ashdladiin yilt'éego halą́ąjį' naajeeh doo biniyé ádá nizhní'nil .
10:15:002:0	Nít'éé' Ábsalam t'ah abíínídą́ą́' náádii'nahgo kin haal'á yah a'atiinígi dáń'dítį́hígíí bíighahgóó naazį' łeh , áko diné ła'da ałgha'dit'áahgo éí aláahgo naat'áanii shá yaa nídóot'įįł nízinígíí hágo yiłniihgo ííłniih , Háí kin haal'áhídóoshą' naniná ? Áádóó ábíłniih , Ná naal'a'í nishłį́įgo Ízrel dine'é ła' ásht'į́ .
10:15:003:0	Áko Ábsalam ábíłniih , Shoo , biniyé nanináhígíí éí nizhónígi índa t'áá ákǫ́ǫ́ ánít'į́ , nidi aláahgo naat'áanii éí níídóołts'įįłii doo ła' niiníłtį́į da .
10:15:004:0	Áádóó Ábsalam ání , Kéyah t'áá náhwiist'ą́ą́ nít'éé' bá ánihwii'aahii áshi'diilyaa laanaa . Áko diné t'ááłá'í nítínígo t'áadoo le'é shá baa náhódóot'įįł nízinii , doodaii' yiniyé shaa hakáhígíí t'áadoo haadayit'éhí bá beinísht'į́į dooleeł .
10:15:005:0	Ákohgo diné ła'da áhánídóó hach'į' nehekáahgo nitsidahidigeehgo bich'į' k'íhizhdilnííh áádóó dadziiłtsoodgo dadziits'ǫs .
10:15:006:0	Ábsalam kóhóół'įįd : éí Ízrel dine'é t'áá ałtso aláahgo naat'áanii t'áadoo le'é shá yaa nídóot'įįł danízingo yich'į' nehekáahii éí Ábsalam t'áá bí Ízrel dine'é ayóó'ádabó'níi doogo niyiiłnééh .
10:15:007:0	Dį́į́' nááhaidóó bik'ijį' Ábsalam éí aláahgo naat'áanii áyidííniid , Nánooshkąąh , shíni'dii shi'níłníihgo ádee haasdzí'ígíí bik'eh ádeeshnííł ; éí Bóhólníihii bich'į' ádee haasdzí'ígíí Hííbran kin haal'áhígi bi'deeshłííł .
10:15:008:0	Jó , ná naal'a'í nishłíinii ádee haasdzíí' ; éí Gíísher kin haal'áadi Síriya kéyahgi naashá yę́ędą́ą́' ádíshní , Bóhólníihii t'áá aaníí Jerúsalem kin haal'áajį' shił nát'áazhgo índa Bóhólníihii bá naash'a' doo .
10:15:009:0	Nít'éé' aláahgo naat'áanii áháłní , Nílááh , nił hózhǫ́ǫgo yínááł . Áádóó dashdiiyáago Hííbran kin haal'áágóó jiníyá .
10:15:010:0	Nidi Ábsalam éí Ízrel dine'é t'áá ałtso bitahgóó naalchi'í tajoos'a'go ájíní , Deenásts'aa' bidee' bee í'dílzoołí dasidoots'ą́ą'go díigi ádadidoohniił , Ábsalam éí Hííbran kin haal'áagi nant'á silį́į́' .
10:15:011:0	Ábsalam éí Jerúsalem kin haal'áádóó diné naakidi neeznádiingo hágo yidííniidígíí ákǫ́ǫ́ yił dah diikai ; t'áadoo át'éhígóó índa t'áadoo baa ákodaznízinígóó yił yíkai .
10:15:012:0	Áádóó Ábsalam éí Gáílo dine'é Ahíthofel yíká i'ííł'a' ; éí David yá bił ééhózinii nilį́įgo bikin haal'áádę́ę́' t'áá éí Gáílo hoolyéédę́ę́' shaazhdoogááł hó'ní ; íídą́ą́' nááhidoonihii náájiiłniihgo baa nijighá . Áko nahont'ingo ihodeest'áanii t'áá íiyisí bidziil silį́į́' índa diné éí Ábsalam yich'ijí danilíinii áłahjį' lą'í k'ee'ąą yilzhish .
10:15:013:0	Nít'éé' David hane' baa yít'ą́ągo kóhodoo'niid , Ízrel dine'é éí Ábsalam yikéé' nidookahgo ádiih tsídaazkééz .
10:15:014:0	Áádóó David bá nidaal'a'í t'áá ałtso Jerúsalem kin haal'áagi bił dah yikahígíí áyidííniid , Nídoohjeehgo yóó'adii'nééł , ákódeiidzaago t'éí Ábsalam doo nihidoołnéeł da ; doo hodíína' tsxį́į łgo dah didii'nééł ; t'áadoo hooyání nihik'iidoojahgoda , doo yá'át'éhígi ádanihidoolííł índa kin haal'áagi diltłish yee nidanihidoołtsiłgoda át'é .
10:15:015:0	Nít'éé' aláahgo naat'áanii bá nidaal'a'í aláahgo naat'áanii ádeidííniid , Shoo , ná naal'a'í daniidlíinii , bídahwííníilníihii aláahgo naat'áanii nílíinii , t'áá ánihidiníígóó ádeiit'į́į doogo hasht'e'ádadíníilzin .
10:15:016:0	Áko aláahgo naat'áanii dah diiyá áádóó bighandóó danilíinii t'áá ałtso bikéé' deínééh , nidi aláahgo naat'áanii éí asdzání neeznált'éego ba'ákéí yíł'ínígíí t'áá ákǫ́ǫ́ hooghan yaa ádahalyą́ągo áyiilaa .
10:15:017:0	Áko aláahgo naat'áanii dah diiyá áádóó diné t'áá ałtso bikéé' deínééh índa nízaadgóó adadziizná .
10:15:018:0	Áko bá nidaal'a'í t'áá ałtso bíighah ch'ídahaazná . Áádóó Kéreth dine'é t'áá ałtso , Pííleth dine'é t'áá ał tso índa Gathdóó dine'é t'áá ałtso éí diné hastą́ądi neeznádiingo Gath kin haal'áádóó hakéé' naakaígíí aláahgo naat'áanii yilą́ąjį' niníná .
10:15:019:0	Nít'éé' aláahgo naat'áanii éí Gathdóó dine'é éí Ítayai wolyéii áyidííniid , Ha'át'íísh biniyé ni ałdó' nihił yíkah ? Nighangóó nídídáahgo áadi aláahgo naat'áanii bił síníké , háálá dé'éyóní nílį́ áádóó yóó'adabi'diis'a'ígíí nílį́ .
10:15:020:0	Adą́ą́dą́ą́' índa yíníyáago da' ákoósh díí jį́ nihitah tádínáahgo áníshłéeh doo ? Dííyee' doo bééhózingóó tádíshááh , nílááh , nik'isóó bił nídíkááh ; aa a'ááh hasin índa t'áá aaníinii nił hólǫ́ǫ doo .
10:15:021:0	Áádóó Ítayai éí aláahgo naat'áanii ánéidoo'niidgo ání , Ts'ídá t'áá aaníí Bóhólníihii hiná áádóó bóhonishníihii aláahgo naat'áanii hiná ; ákót'éego ts'ídá t'áá aaníí bóhonishníihii aláahgo naat'áanii t'áá tádígháahgi , dadootsaałgi , doodaii' hináagi , ákwii ałdó' ná naal'a'í nishłíinii honishłǫ́ǫ doo .
10:15:022:0	Nít'éé' David éí Ítayai áyidííniid , Áko lą́ą , tį' yiikah . Áko Gathdóó dine'é Ítayai dah diináago diné bił naakaígíí t'áá ałtso áádóó ba'áłchíní bił naakaígíí t'áá ałtso yił nihiníná .
10:15:023:0	Áádóó kéyahgi kéédahojit'ínígíí t'áá ádzíłtso ayóó íits'a'go dajíícha , áko diné t'áá ádzíłtso ha'naagóó dah diiná , áádóó aláahgo naat'áanii t'áá bí ałdó' Kídran tó nílínígíí ha'naa niníná índa diné t'áá ałtso hoł yinéłígíí ha'naa bił nizhnínáago honoojíijigo bił dashdiiná .
