10:6:001:1	David éí tsits'aa' dílzinii néidoo'ááł yiniyé dah diiyá
10:6:001:0	Náá'áłdó' David éí Ízrel dine'é bitah haasdlá'ígíí tádiindi míilgo áłah ájiilaa .
10:6:002:0	Áko David nízhdii'na'go Júdah kéyahgi Béíyal kin shijaa'dóó diné hoł naakaígíí t'áá ałtso bił dashdiikai ; áádę́ę́' Diyin God bitsits'aa' dílzinii nídazhdoo'ááł biniyé ádajit'į́ ; éí diyingo naal'a'í chérabim wolyéii ałch'į' sizínígíí bidejí hólǫ́ǫgo éí tsits'aa' t'áá ałtsoní bee Bóhólníihii bízhi' bee bi'dójí .
10:6:003:0	Áko Diyin God bitsits'aa' dílzinii éí tsinaabąąs naadlózígíí ániidígíí yikáá' dah deiz'ą́ ; éí Abínadab bikindóó ch'ídeiz'ą́ ; Gíbiyah kin haal'áagi kééhat'į́įgo Abínadab biye'ké Ázah índa Aháíyo éí tsinaabąąs naadlózígíí ániidígíí dah yidiilóóz .
10:6:004:0	Gíbiyah kin haal'áagi Abínadab bikindóó Diyin God bitsits'aa' dílzinii ch'ídeiz'ą́ągo nihideiz'ą́ , áádóó Aháíyo éí yilą́ąjį' yigááł .
10:6:005:0	Áádóó David índa Ízrel dine'é t'áá ałtso yił nidaanéego ch'ó tsin bee sin yee nidaanéii ał'ąą át'éego ál'íinii ádaalyaii , éí tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii , tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii , ásaa' yilghaałí , béésh yigádígíí índa béésh ahídí'niłgo diits'a'ii bee Bóhólníihii binááł nidadzizne' .
10:6:006:0	Áádóó Néíkan bitł'oh naadą́ą́' habíná'ál'isígi jíkaigo Ázah k'ídeeshchidgo Diyin God bitsits'aa' dílzinii yisił , háálá béégashii yee oołbąsii k'asdą́ą́' deezgo' .
10:6:007:0	Áko Bóhólníihii éí Ázah yich'į' báhóóchįįdgo adzisiihígíí biniinaa Diyin God atíhoolaago Diyin God bitsits'aa' dílzinii bíighahgi dadziztsą́ .
10:6:008:0	Áádóó David éí doo hoł yá'át'éeh da , háálá Bóhólníihii éí Ázah atíyiilaa , áádóó ákwii Píírez-ázah hoolyée doo , dííniidgo díí jį́į́góó ákóhoolyé .
10:6:009:0	Nít'éé' éí bijį́ David éí Bóhólníihii béédzíldzid , áádóó ájíní , Ha'át'éegoshą' Bóhólníihii bitsits'aa' dílzinii shaa doot'ááł ?
10:6:010:0	Áko David éí Bóhólníihii bitsits'aa' dílzinii David bikin haal'áajį' doo doot'áał da nízin , nidi David bíniik'ehgo Gathdóó dine'é Óbed-íídam bighanjį' yít'ą́ .
10:6:002:1	Tsits'aa' dílzinii Jerúsalemjį' nát'ą́
10:6:011:0	Áádóó Bóhólníihii bitsits'aa' dílzinii Gathdóó dine'é Óbed-íídam bighangi si'ą́ągo táá' nídeezid ; Bóhólníihii éí Óbed-íídam áádóó bighandóó danilíinii yik'ijisdli' .
10:6:012:0	Áádóó aláahgo naat'áanii David bił hóóne'go áhodoo'niid , Bóhólníihii éí Óbed-íídam bighandóó danilíinii áádóó bídadéét'i'ii t'áá ałtso yik'ijisdli' , háálá Diyin God bitsits'aa' dílzinii ba'ałk'ee si'ą́ą́ nít'éé' , áko David ákǫ́ǫ́ jiníyáago hániik'ehgo Diyin God bitsits'aa' dílzinii Óbed-íídam bikindóó ch'ídeiz'ą́ągo David bikin haal'áajį' nát'ą́ągo yaa bił nihoozhǫǫh .
10:6:013:0	Ákódzaago Bóhólníihii bitsits'aa' dílzinii hastą́ą́h adées'eezjį' nideiz'ą́ągo hániik'ehgo ákwii béégashii índa béégashii yáázh daneesk'ahii náádahaaznii' .
10:6:014:0	Nít'éé' David éí dziilí bee Bóhólníihii bidááhdóó ajoolzhiizh ; na'at'ą́hí łigaii dits'idígíí bee ályaaígíí íífad wolyéii bii' dziztį́ .
10:6:015:0	Áko David áádóó Ízrel dine'é t'áá ałtso éí Bóhólníihii bitsits'aa' dílzinii nídeiyí'aahgo dadilwosh áádóó deenásts'aa' bidee' bee í'dílzoołí yee nidaané .
10:6:016:0	Áádóó Bóhólníihii bitsits'aa' dílzinii éí David bikin haal'áajį' dají'aahgo , Saul yę́ę bitsi' Máíkal tsésǫ'dóó déez'į́į'go aláahgo naat'áanii David éí Bóhólníihii binááł yááhiichahgo índa alzhishgo yiyiiłtsą́ągo yi'į́įgo tsídeezkééz .
10:6:017:0	Áádóó Bóhólníihii bitsits'aa' dílzinii nídeiz'ą́ągo David éí níbaal bii' hodílzinii niiní'ání góne' ninát'áhígi nideiz'ą́ , áko David éí didlidgo nááhániihii índa hózhǫ́ǫ́jí nááhániihii Bóhólníihii yich'į' nááyiisnii' .
10:6:018:0	Áádóó David éí didlidgo nááhániihii índa hózhǫ́ǫ́jí nááhániihii ałtso náájiisnii'go t'áá ałtsoní bee Bóhólníihii bízhi' binahjį' diné yik'ijisdli' .
10:6:019:0	Áádóó diné t'áá ałtso bitahgóó éí Ízrel dine'é t'áá yíl'áá nít'éé' asdzání índa hastóí t'áá bił bitaa jigháago t'ááłá'í nítínígo łees'áán áádóó déit wolyéii bineest'ą' ahídiiłjée'ii índa ch'il na'atł'o'ii bineest'ą' ahídiiłjée'ii bitaa dziznii' , áko diné t'áá ałtso t'ááłá'í nítínígo dabighangóó anídahaaskai .
10:6:020:0	Nít'éé' David ha'áłchíní bik'iizhdoodliił biniyé dah nízdiidzá . Áko Saul yę́ę bitsi' Máíkal éí David yidááh yílwodgo ííłní , Dooládó' ayói da , Ízrel dine'é aláahgo binanit'a'í díí jį́ t'áadoo yą́ą́h nilíinii yaa naagháago bá nidaal'a'í bich'ikéí nidaal'a'í díísh jį́ dabinééł'į́į́' ; diné doo ílíinii ła' t'áadoo bił baa yáhásinígóó t'áadoo yą́ą́h nilíinii yaa naayáiigi áhoodzaa .
10:6:021:0	Áádóó David éí Máíkal ábizhdííniid , Éíyee' Bóhólníihii binááł eeshzhiizhgo éí nizhé'é yę́ę áádóó ba'áłchíní bítséedi Bóhólníihii bidine'é Ízrel wolyéii binanit'a'í nishłį́į doo biniyé yá siisį' ; éí bąą Bóhólníihii binááł naashnée doo .
10:6:022:0	Áádóó díí t'ah biláhígo doo bą́ą́h anishłíinii baa naasháa doo , áádóó t'áá shí hózhǫ́ a'ohgo ádíí'níszin ádi'deeshnííł , índa ch'ikéí nidaal'a'í baa yáníłti' yę́ę ánísht'éii bił danilį́į doo .
10:6:023:0	Éí bąą Saul yę́ę bitsi' Máíkal t'áadoo ha'áłchíní haleehí dadziztsą́ .
