10:5:001:1	David éí Ízrel dine'é aláahgo binanit'a'í ábi'diilyaa
10:5:001:0	Nít'éé' Ízrel dine'é t'áá ałtso Hííbran kin haal'áajį' David yaa haaskaigo yádaałti'go kódeidííniid , Shoo , nits'in áádóó nits'íís daniidlį́įgo nik'éí niidlį́ .
10:5:002:0	Hoolzhiizhdę́ę́' Saul aláahgo nihinanit'a'í nilį́ yę́ędą́ą́' , ni lą́ą Ízrel dine'é niidlíinii dah nihidini'eezh áádóó yah anánihííní'eezh , áádóó Bóhólníihii ándííniid , Shidine'é Ízrel ba'íłtso' índa Ízrel dine'é aláahgo binanit'a'í nílį́į doo .
10:5:003:0	Áko Ízrel dine'é aląąjį' naazíinii t'áá ałtso Hííbran kin haal'áadi aláahgo naat'áanii yaa haaskai , áádóó Hííbran hoolyéedi Bóhólníihii binááł aláahgo naat'áanii David yił ahada'deest'ą́ , índa aláahgo naat'áanii David éí Ízrel dine'é binanit'a'í dooleeł biniyé ak'ah yik'i yadeiyiiziidgo dayíísį́į́' .
10:5:004:0	David tádiin honááhaigo aláahgo naat'áanii dzizlį́į́' , áádóó dízdiin nááhaijį' aláahgo naat'áanii jílį́į́ nít'éé' .
10:5:002:1	David éí bidziilgo haz'ą́ągi Záíyan hoolyéii yik'eh deesdlį́į́'
10:5:005:0	Hííbran kin haal'áagi tsosts'id nááhaidóó hastą́ą́h nídeezidjį' Júdah dine'é binanit'a'í jílį́į́' nít'éé' índa Jerúsalem kin haal'áagi Ízrel dine'é áádóó Júdah dine'é t'áá ałtso tádiindóó ba'aan táá' nááhaijį' binanit'a'í jílį́į́ nít'éé' .
10:5:006:0	Áádóó aláahgo naat'áanii bisiláo yił Jerúsalem kin haal'áagi Jííbas dine'é éí kéyah yii' kéédahat'ínígíí baa jíkai ; éí David yich'į' yádaałti'go ádeidííniid , Doo da' oo'íinii áádóó nida'niłhodii doo nahjį' bi'ííníłnii'góó doo kojį' yah adíínéeł da . Éí David yah azhdoonéłígíí doo bízhneel'ą́ą da , dahó'ní .
10:5:007:0	Azhą́ ákót'ée nidi David éí Záíyan yee ayóó ábóodziilii yisná , áko t'áá éí David bikin haal'á silį́į́' .
10:5:008:0	Áádóó íídą́ą́' David ádííniid , T'áá háiida dził bii' hahodiidzą́ą́ góde hadzis'na'go Jííbas dine'é áádóó nida'niłhodii índa doo da'oo'íinii atízhdoolíiłgo éí David hak'ee diniihii ádajit'į́ . Éí bąągo ła' ádaaní , Doo da'oo'íinii índa nida'niłhodii kin góne' doo yah adoogáał da .
10:5:009:0	Áko David éí bidziilgo haz'ánígi kééhojit'į́ , áádóó David bikin haal'á hoolyée doo , dííniid . Áko David éí Míllo haz'ánídóó dah adiitł'ingo t'áá kin haal'áá nít'éé' yiná'áztł'in .
10:5:003:1	Háíram éí David ya'ólí
10:5:010:0	Áádóó David bidziilgo bił hoo'a' , índa t'áá ałtsoní bee Bóhólníihii Diyin God bił hólǫ́ .
10:5:011:0	Táirdóó aláahgo naat'áanii Háíram éí David yich'į' naal'a'í ayiis'a'go kin ádeił'íinii áádóó tsé deitł'inii éí dilk'is tsin yił ayiis'a'go David yá kin ádayiilaa .
10:5:004:1	David ba'áłchíní éí Jerúsalem kin haal'áagi dabi'dizhchį́
