10:3:001:1	David biye'ké Hííbran kin haal'áagi nidabi'diizhchį́
10:3:001:0	Saul yę́ę ba'áł chíní áádóó David ba'áłchíní ałch'į' anaa' dahółǫ́ǫgo nízaad nihoolzhiizh , áko David éí bidziil yileełgo bidziil silį́į́' índa Saul yę́ę ba'áłchíní éí doo bidziil da yileełgo doo bidziil da silį́į́' .
10:3:002:0	Áádóó David éí Hííbrangi biye'ké bá neheezhchį́ ; alą́ąjį' bá yizhchínígíí Ámnan wolyé ; éí Jézriyel dine'é asdzání Ahínowam wolyéii biyáázh jílį́ .
10:3:003:0	Naaki góne' bá yizhchínígíí éí Kíliyab wolyé ; éí Kármeldóó dine'é Néíbal be'asdzą́ą́ nít'é'ígíí Ábigeil wolyéii biyáázh jílį́ áádóó táá' góne' bá yizhchínígíí éí Ábsalam wolyé ; Gíísher kéyahgi aláahgo naat'áanii Tálmai bitsi' Méíyakah wolyéii biyáázh jílį́ .
10:3:004:0	Dį́į́' góne' bá yizhchínígíí Adonáíjah wolyé , éí Hágith biyáázh jílį́ ; áádóó ashdla' góne' bá yizhchínígíí Shefatáíyah wolyé , éí Abáítal biyáázh jílį́ ;
10:3:002:1	Ábner éí David yił ahadi'doot'ááł yinaha'á
10:3:005:0	áádóó hastą́ą́h góne' bá yizhchínígíí Íthriyam wolyé , éí David be'asdzą́ą́ Églah wolyéii biyáázh jílį́ . Díí David éí Hííbrangi bá neheezhchį́ .
10:3:006:0	Áádóó bik'ijį' Saul yę́ę ba'áłchíní índa David ba'áłchíní anaa' da'ahil'į́įgo Ábner éí Saul yę́ę ba'áłchíní bitahgi bidziilgo dah oo'ish í'diilyaa .
10:3:007:0	Saul yę́ę be'asdzą́ą́ yíł'íní ła' éí Rízpah wolyéego Éíyah bitsi' nilį́ , áádóó Ish-bósheth éí Ábner áyidííniid , Ha'át'éegoshą' shizhé'é yę́ę be'asdzą́ą́ yíł'íní nít'é'ígíí ba'ałk'eejį' dah ninááh ?
10:3:008:0	Áko Ábner éí Ish-bósheth haadzí'ígíí yik'ee naastáalgo ádííniid , Da' łééchąą'í bitsiits'iin hanii nishłį́ ? Júdah dine'é bik'ijį' nishłį́įgo díí jį́ yee' nizhé'é yę́ę Saul ba'áłchíní áádóó bik'isóó índa bik'is danilíinii baa jiinishba' , áádóó David t'áadoo bílák'ee nidíí'ą́ą da , ákondi díí jį́ t'áá ádzaagóó díí asdzání bee shik'i hodiní'ą́ .
10:3:009:0	Diyin God yee' Ábner nishłíinii atíshidoolííł , áádóó t'ah yówehígo át'éego ákóshidoolííł , Bóhólníihii éí David yich'į' yee ádee hadoodzíi'ii doo bá be'eshłééhgóogo ákóshidoolííł .
10:3:010:0	Éí Saul yę́ę ba'áłchíní éí aláahgo yee bóhólníihii bibikáá'dóó nahat'áii David baa didoot'áałgo , yikáá'dóó hoo'áałgo Ízrel índa Júdah dine'é yinant'áago Dan kin haal'áádóó Bíyer-shííba kin shijaa'jį' yee bóhólníih doo .
10:3:011:0	Áko t'áadoo bich'į' hanáádzoodzíi' da , háálá Ábner béédzísdzííd .
10:3:012:0	Áádóó Ábner éí t'áá áko nidaal'a'í ła' David yich'į' ayiis'a' kóníigo , Kéyahshą' háí bí ? Áádóó ałdó' ání , Nił ahadi'deesht'áałgo , shoo , níká anáshwo' doo , áko Ízrel dine'é t'áá ałtso naa áłah ádeeshłííł .
10:3:013:0	Áádóó ádííniid , Lą́'ąą , nił ahadi'deesht'ááł , nidi t'ááłáhígo haz'ą́ , éí kóndideeshniił , Doo shich'į' nanináágóó doo shííní'į́į da doo ; t'áá hazhó'ó Saul yę́ę bitsi' Máíkal bił shaa yíní'áazhgo t'éiyá náshiiltséeh doo .
10:3:014:0	Áádóó David éí bá nidaal'a'í Saul yę́ę biye' Ish-bósheth yich'į' ayiis'a' kóníigo , She'asdzą́ą́ Máíkal shich'į' bi'níłnííh ; éí Filístiya dine'é bicho' bílátahgi bicho'azis ahénálgizhígíí neeznádiingo bik'é shaa ho'deeltį́į ni' .
10:3:015:0	Áko Ish-bósheth dah adiił'a'go hahastiin bits'ą́ą́' dahodiilóóz ; Léíyish biye' Fáltiyel wolyéego hahastiin nít'éé' .
