10:1:001:1	David éí Saul daaztsánígíí yaa hodiizts'ą́ą́'
10:1:001:0	Ákódzaago Saul daaztsą́ą́dóó bik'ijį' David éí Ámalek dine'é yiyííghą́ą́'dę́ę́' nádzáago áádóó David éí Zíklag kin haal'áagi naaki biiską́ągo ,
10:1:002:0	táá' yiłkaah góne' , jó , diné léi' Saul bisiláo yił dah yinééłdę́ę́' níyáago bi'éé' ák'iniyiisdǫ́ǫ́z lá , índa łeezhígíí bitsiits'iin yik'íyiizhjaa' lá , áko David yaa níyáago tsé'yaa neeshjoolgo a'ohgo í'diilyaa .
10:1:003:0	Áádóó David ábidííniid , Háádę́ę́' yínááł ? Áádóó áhodííniid , Ízrel bisiláo yił dah yinéełii yits'ą́ąjį' yisdánííchą́ą́' .
10:1:004:0	Áko David áhodííniid , Haa dahóót'įįd ? Baa nánooshkąąh , shił hólne' . Áádóó ání , Anaa' bits'ą́ąjį' diné yóó'adahineezhchą́ą́' ; diné lą'í tídadiidzaago nidabi'diztseed , áádóó Saul bi'diisyį́ índa biye' Jánathan ałdó' bi'diisyį́ .
10:1:005:0	Áádóó David éí dinééh bił halne'ígíí ííłní , Haash yit'éego nił bééhózingo éí Saul biye' Jánathan bił nabi'diztseedgo baa hólne' ?
10:1:006:0	Áádóó dinééh bił halne'ígíí ání , Ha'át'íí lá t'áadoo le'égi át'é Dził Gilbówadi yisháałgo , shoo , Saul bitsiidétáán bíyah nii'áago sizį́ ; tsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahii áhánídę́ę́' t'áá bizááká hak' ijį' yinéełgo yiiłtsą́ .
10:1:007:0	Áádóó t'ą́ą́' nídéét'į́į'go shiiłtsą́ągo shich'į' hadoolghaazh . Áko ábidííniid , Kǫ́ǫ́ sézį́ .
10:1:008:0	Áshidííniid , Háísh ánít'į́ ? Áádóó ábidííniid , Ámalek dine'é ásht'į́ .
10:1:009:0	Áádóó ánááshidoo'niid , Shik'ijį' yiizįįh , baa nánooshkąąh ; shiyíłhé , háálá yéego ti'hooshníihgo t'ahdii hinishná .
10:1:010:0	Áko hak'ijį' yiizį'go hoséłhį́ ; jó , haa ákoniizį́į'go doo náájii'náa le' át'éégóó naa'ajíígo' . Áádóó hanaat'á ch'ah hak'i dí'ą́ yę́ę hak'i díí'ą́ągo índa látsíní hálátsíín sitą́ yę́ę haadiitą́ągo shinanit'a'í baa nínil .
10:1:011:0	Áko David bi'éé' ák'iniyiisdǫ́ǫ́z ; t'áá ákót'éego diné yił naakaígíí t'áá ałtso ák'inda'iisdǫ́ǫ́z .
10:1:012:0	Áádóó atínídazhdindleehgo dajíícha índa t'áadoo da'jiyání i'íí'ą́ ; jó , Saul áádóó biye' Jánathan índa Bóhólníihii bidine'é éí Ízrel dine'é baa dajicha , háálá diltłish bee ádabi'disdįįd .
10:1:013:0	David éí dinééh bił hoolne'ígíí ííłní , Háísh ánít'į́ ? Áko ání , Łahdę́ę́' dine'é nilíinii biye' nishłį́įgo Ámalek dine'é nishłį́ .
10:1:014:0	Áádóó David áhodííniid , Ha'át'éegoshą' doo náníldzidgóó Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į'ii bich'į' k'ídíínílchidgo síníłhį́ ?
10:1:015:0	Nít'éé' David dinééh ła' hágo yidííniidgo ííłní , Áháníjį' bich'į' dah diilyeedgo síłhé .
10:1:002:1	David éí Saul áádóó Jánathan yaa atínídindleeh
10:1:016:0	Áádóó David áhodííniid , Nidił nik'ijį' nídoodleeł , háálá t'áá ni nizaad bee ádaa hwíínílne' kódíníigo , Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į'ii séłhį́ .
