10:20:001:1	Shííba éí naalteeh
10:20:001:0	Nít'éé' Bíkrai biye' Bénjamin dine'é Shííba wolyéii diné doo yá'áshóonii nilį́įgo ákwii naaghá . Éí deenásts'aa' bidee' bee í'dílzoołí yee ádííniidgo , Nihí éí David doo bídadíníit'i' da , índa Jésii biye' bíí' nilíinii ałdó' doo nihídadéét'i' da ; Ízrel dine'é nohłíinii , t'ááłá'í nootínígo nihiníbaalgóó nihééhóhkááh .
10:20:002:0	Áko Ízrel dine'é t'áá ałtso David yits'ą́ąjį' dah diikaigo Bíkrai biye' Shííba yikéé' dah diikai , nidi Júdah dine'é éí aláahgo binanit'a'í bił dáálįįd ; Jórdan toohdóó Jerúsalem kin haal'áajį' ákót'éego bił hoo'a' .
10:20:003:0	Nít'éé' David éí Jerúsalem kin haal'áadi bighangi nádzá , áádóó aláahgo naat'áanii ba'ákéí yíł'íní neeznált'éego , éí haghan yaa ádahalyánígíí náánáła' kin góne' nizhnínilgo baa áháyą́ągo áádóó ba'altso'go ájiilaa , nidi hó éí doo bich'į' nijigháa da . Áko daneeznáajį' bidá'deelkaal ; asdzání bąąh ádahasdįįdii nahalingo naháaztą́ą́ nít'éé' .
10:20:004:0	Áko aláahgo naat'áanii éí Améísa áyidííniid , T'áadoo táá' yiłkaahí Júdah dine'é shaa áłah ádíílííł , áádóó ni ałdó' kwe'é nanináa doo .
10:20:005:0	Nít'éé' Améísa éí Júdah dine'é áłah ábizhniilaa biniyé dashdiiyá , nidi t'óó binánijigháago bee há nihoot'ánígíí bilááhgóó ahoolzhiizh .
10:20:006:0	Nít'éé' David éí Abísheiyai áyidííniid , K'ad Bíkrai biye' Shííba éí Ábsalam atínihiilaa yę́ę t'ah bilááh át'éego nihaa hideesdzáago át'é . Bóhoníłníihii nishłíinii shá nidaal'a'í dah dii'éeshgo bikéé' hidohkááh ; éí doodago kin hadaas'á ditą́ągo binaa ahééda'atł'inígíí ádá shóidoołt'eełgo nihits'ą́ą́' áajį' yisdádínóochééł .
10:20:007:0	Áádóó Jó'ab éí diné yił naakaígíí éí Kéreth dine'é áádóó Pííleth dine'é índa diné dahayóii t'áá ałtso bił Abísheiyai yikéé' ch'íkaigo Bíkrai biye' Shííba bikéé' hizhdookah biniyé Jerúsalem kin haal'áádóó ch'íníná .
10:20:008:0	Gíbiyan kin haal'áagi tsé ayóó áníłtso si'ą́ągi jinínáago Améísa hadááh níyá . Jó'ab éí siláojí é'ígíí yii' sitį́įgo bikáa'gi diltłish bizis yił ákászaazgo diltłish bii' sitą́ągo béheestł'ǫ́ǫ́ nít'éé' , áko dashdiilwodgo háákę́ę́z .
10:20:009:0	Nít'éé' Jó'ab éí Améísa ííłní , Yá'át'éehgoósh naniná , shik'is ? Áádóó Jó'ab éí Améísa yidoots'ǫs biniyé nish'náájí yee bidághaa' yisił .
10:20:010:0	Nidi Améísa éí Jó'ab diltłish bílák'ee sitánígíí doo yaa ákonízin da , áko hátsą́ą́' biyaa góne' yaa ayííłgeedgo áádę́ę́' ni'jį' hach'íí' hááłhęęzh , índa t'áadoo nínáhodiiłhaałí dadziztsą́ . Ákódzaago Jó'ab áádóó hak'is Abísheiyai éí Bíkrai biye' Shííba yikéé' ahoot'áázh .
