10:24:001:1	David éí Ízrel dine'é índa Júdah dine'é jííłta'
10:24:001:0	Náá'áłdó' Bóhólníihii éí Ízrel dine'é yich'į' bánááhóóchįįdgo David hak'ijį' náádiildził áyiilaago ání , Nílááh , Ízrel dine'é índa Júdah dine'é deínółta' .
10:24:002:0	Áko aláahgo naat'áanii éí siláo dah deínéehii yinanit'a'í Jó'ab bił sikéego áyidííniid , Nílááh , Ízrel dadóone'é danilínígíí t'áá ałtso bitahgóó dínáahgo Dan kin haal'áádóó Bíyer-shííba kin shijaa'jį' diné yídííłtah ; éí dine'é ánéelą́'ígíí shił bééhodoozįįł .
10:24:003:0	Nít'éé' Jó'ab éí aláahgo naat'áanii áyidííniid , K'ad Bóhólníihii niDiyin God éí diné yilááh áyoolííł ; ádanéelt'e'ii t'ááłáhídi neeznádiindi ánánéelą́ą'go yilááh áyoolííł , áko bóhonishníihii aláahgo naat'áanii yiníł'į́įgo haa néelą́'ígíí bił bééhodoozįįł . Nidi ha'át'íí biniyé bóhonishníihii aláahgo naat'áanii díí yaa bił hózhǫ́ǫgo íidoolííł ?
10:24:004:0	Azhą́ kózhdííniid nidi , aláahgo naat'áanii éí Jó'ab áádóó siláo dah deínéehii yinanit'a'í danilíinii yigha'deet'ą́ . Áko Jó'ab áádóó siláo yinanit'a'í danilíinii aláahgo naat'áanii dah sidáhídóó dashdiikaigo Ízrel dine'é bida'ízhníiłta'góó dashdiikai .
10:24:005:0	Áádóó Jórdan tooh ha'naa nijíkaigo Géed honíts'aa'gi Aró'er kin haal'áhígíí shádi'ááhjígo Jéízer kin haal'áii bich'į' honít'i'ígi nizhníná .
10:24:006:0	Nít'éé' Gíliyad kéyahgi náájíkai áádóó Tátim-hádshai kin shijaa'góó tázhdookaigo Dan-jéíyangi náájíkai índa Sáídan kin haal'áajį' nábik'ee'ąądę́ę'go jíkai .
10:24:007:0	Áádóó Táir kin haal'áagi bine' na'adzi'ii bił haz'ą́ąjį' índa Háíva dine'é áádóó Kéínan dine'é bikin hadaas'áágóó tázhdookai , áko índa Júdah kéyah shádi'áahjigo Bíyer-shííba kin shijaa'go áajį' jíkai .
10:24:008:0	Áko kéyah t'áá át'é bii' tázhdookaigo Jerúsalem kin haal'áajį' níjíkaijį' náhást'éí hwee nídadeezidóó naadiin jį́ hwee da'azlį́į́' lá .
10:24:009:0	Ákohgo Jó'ab éí Ízrel dine'é jííłta'go diné ánéelą́'ígíí naaltsoos bikáá' ájiilaago aláahgo naat'áanii baazhníłtsooz ; nít'éé' Ízrel dine'é doo nídanilyéesii tseebíidi neeznádiindi mííl ánéelą́ą'go diltłish bee na'abaah dayiichįįh lá , áádóó Júdah dine'é ashdladi neeznádiindi míilgo ánéelą́ą́' lá .
10:24:010:0	David éí dine'é yéélta'dóó bik'ijį' náhozhdííłhaaliigi ádziidzaa áádóó David éí Bóhólníihii áyidííniid , Díigi í' iishłaaígíí bee ayóó át'éego ádił asésiih , áko , nánooshkąąh , Bóhólníihii nílíinii , ná naal'a'í nishłíinii doo ákwii áát'įįdígíí shá yóó'adí'aah ; jó , doo áhosisyąągóó ákwíít'įįd .
