10:22:001:1	David t'áá bí biyiin bibee yisdá'iildéehii yee hataał
10:22:001:0	Áko David éí Bóhólníihii bich'į' hadzoodzíi'go , íídą́ą́' díí saad bee sin ályaaígíí bee bich'į' hojitaałgo hwe'ana'í t'áá ałtso bits'ą́ąjį' índa Saul yę́ę bits'ą́ąjį' Bóhólníihii yisdáhóółtį́ .
10:22:002:0	Áádóó ázhdííniid , Bóhólníihii éí tsé shá nilį́ , índa bine' adziihii shá nilį́ , áádóó yisdáshiiłteehii nilį́ .
10:22:003:0	ShiDiyin God éí tsé bine' naasdzi'ii nilį́įgo t'áá bí t'éí baa jííníshłíigo bine' ahinishchééh ; shinaage' áádóó adziil bee yisdáhásháahii nilį́ , nehesdzíihii áádóó bine' ahinishchéehii , shiyisdá'iiníiłii nilį́ . Ni t'éí shi'ana'í nídahwéedǫ́ǫsii bits'ą́ąjį' yisdáshiyíłteeh .
10:22:004:0	Bóhólníihii náoshkąąh doo ; éí baa ha'niihgo yą́ą́h nilį́ . Kót'éego shi'ana'í danilíinii yits'ą́ąjį' yisdáshiiłteeh .
10:22:005:0	Aniné t'éí shináhaazláago shik'i náhoodleeh . Tó nídaadląąhiigi át'éego doo Diyin God k'ehgo ádaat'éii shaa nahaakaigo shił yéé' dahasłį́į́' .
10:22:006:0	Ch'į́įdiitah bik'ee yínííł na' adáii shináhaazláá nít'éé' , aniné biloh shiyah náhodiłhis nít'éé' .
10:22:007:0	Shił nahodít'é sélį́į'go Bóhólníihii bich'į' sodeeszin ; shiDiyin God , shíká adoolwoł biniyé néisiskan ; bikin bii' sohodizin bii'dę́ę́' shidiizts'ą́ą́' , áko náoshkąąhígíí t'áá aaníí yidiizts'ą́ą́' .
10:22:008:0	Ákohgo nahasdzáán ádoogáadgo ditłid ; yá bee daniłdzilii nidahaasnáa'go daditłid nít'éé' , háálá Bóhólníihii báhóóchįįd .
10:22:009:0	Bíníí'dę́ę́' łid ha'ííjool , áádóó bizéé'dę́ę́' kǫ' ó'oołdįįłii hadíínóodgo bee tsííd dadiiltłah .
10:22:010:0	Yót'ááh hiníláii ałdó' ąą ádeile'go hadááyáagobikee' biyaagi chahałheeł dah yildoh .
