10:21:001:1	Gíbiyan dine'é k'éédadidoo'nííł bee bá hoo'a'
10:21:001:0	Nít'éé' David bíyoołkááł yę́ędą́ą́' táá' nááhaijį' hodííchįįd . David éí Bóhólníihii nayídééłkid , áádóó Bóhólníihii hach'į' haadzíi'go áhodííniid , Saul yę́ę áádóó ba'áłchíní ahoolchíiłii bił dił nidaashchxii'go ída'iilaa ; jó , Gíbiyan dine'é nideistseed ; éí bąą áhát'į́ .
10:21:002:0	Áádóó aláahgo naat'áanii éí Gíbiyan dine'é hágo yidííniidgo ííłní ; ( áko Gíbiyan dine'é éí doo Ízrel dine'é danilį́į da , nidi Ámor dine'é t'áá ayáhígo yidziihígíí danilį́ . Azhą́ Ízrel dine'é éí Gíbiyan dine'é bich'į' ádee hadazdeesdzíí' nidi Saul éí Ízrel áádóó Júdah dine'é yá yínéésdlįįdgo Gíbiyan dine'é ałtso nideestsił niizį́į́' : )
10:21:003:0	éí bąągo David éí Gíbiyan dine'é ííłní , Ha'át'íísh nihá baa nideeshaał ? Áádóó ha'át'íísh bee nihá k'ééhodeeshdǫǫłgo Bóhólníihii bíí' nilíinii bik'idajiinohdlíi doo ?
10:21:004:0	Gíbiyan dine'é ádahałní , Nihí éí Saul yę́ę , doodaii' ba'áłchíní bibéésh łigaii , doodaii' bi'óola doo daniidzin da , doodaii' t'ááká nihí nihiniinaa Ízrel dine'é ła' sóółhééł lágo . Áko David ání , T'áá dayínóokeedígíí nihich'į' kódeeshłííł .
10:21:005:0	Nít'éé' aláahgo naat'áanii ánáádeidoo'niid , Éí diné nanihistseedígíí áádóó nihinahazgizgo Ízrel dine'é bikéyahgóó t'áá át'éé nít'éé' doo ła' diidzihgóó nihinahaz'ą́ą́ nít'éé' yę́ę bik'édígi ,
10:21:006:0	bíni'dii ba'áłchíní diné danilínígíí tsosts'idgo nihaa nínííł , áko Bóhólníihii binááł dah dahodiyiidloh ; éí Gíbiyahgi Saul yę́ę bikin haal'áhígi ákódahodiilnííł . Bóhólníihii éí nibiníłtį́į́ nít'éé' . Áko aláahgo naat'áanii ání , Nihaa hodeeshnił lą́ą .
10:21:007:0	Nidi aláahgo naat'áanii éí Jánathan yę́ę biye' Miifíbosheth , éí Saul yę́ę binálí t'áadoo ninéidiní'ą́ą da , háálá Saul yę́ę biye' Jánathan yę́ę éí David bił Bóhólníihii biniit'aa ałch'į' ádee hazdoodzíí' .
10:21:008:0	Aláahgo naat'áanii éí Éíyah bitsi' Rízpah biyáázhké naaki , éí Saul yę́ę yá yishchínígíí , Armónai áádóó Miifíbosheth wolyéego néidiinil , áádóó Saul yę́ę bitsi' Máíkal biyáázhké ashdla'go éí Miihólathdóó diné Barziléíyai biye' Éídriyal yá niyiishchínígíí ałdó' néidiinil .
10:21:009:0	Áko Gíbiyan dine'é yaa honínil áádóó wók'ą́ągi Bóhólníihii binááł dah dahodiyiilo' , índa t'áá tsosts'id yilt'éego t'áá ła' bizhi'ee nidahastseed . Tł'oh naadą́ą́' bidee' í daagizh binih , da'agizhígíí baa nídiildee' binih nidaho'diztseed .
10:21:010:0	Áádóó bik'ijį' Éíyah bitsi' Rízpah éí tł'oh yishbizh néidiiłtsoozgo tsé bikáá' ádá niiníłkaad ; da'agizhígíí baa nídiildee'dóó yá biyi'dę́ę́' aho'niiłtą́ąjį' ákwii sidáago jį́įgo tsídii nidaat'a'ígíí ats'íís bik'éézhníłka' , doodaii' tł'ée'go naaldlooshii nidaaldeehii ats'íís bik'éézhníłka' .
10:21:011:0	Nít'éé' Saul yę́ę ba'ákéí yíł'íní Éíyah bitsi' Rízpah áát'įįdígíí baa yáti'go David bił hóóne' .
