10:10:001:1	Áman dine'é índa Síriya dine'é bik'eh hodeesdlį́į́'
10:10:001:0	Kódahóót'įįdóó bik'ijį' Áman dine'é aláahgo binanit'a'í daaztsą́ągo bitsásk'ehgi biye' Héínan aláahgo naat'áanii náánásdlį́į́' .
10:10:002:0	Nít'éé' David ádííniid , Néíhash yę́ę shaa joozba'ígi át'éego biye' Héínan baa jiideeshbaał . Áko David éí bá nidaal'a'í hadadi'yoołnih biniyé hazhé'é ádinígíí hach'į' ayiis'a' . Áádóó David bá nidaal'a'í Áman dine'é bikéyahdi yíkai .
10:10:003:0	Nít'éé' Áman dine'é bindanit'a'í danilíinii éí yídahółníihii Héínan ádeidííniid , Da' baa nitsíníkeesgo David éí nizhé'é yę́ę bił nilį́įgoósh bá nidaal'a'í hadashidi'yoołnihgo shaa yiis'a' nínízin ? Da' doósh David bá nidaal'a'í nich'į' ayiis'a'ígíí kin haal'áii deidínóoł'įįł áádóó hadeidoosiłgo deidoołnééł yiniyé ádaat'į́į da ?
10:10:004:0	Éí bąą Héínan éí David bá nidaal'a'í yiyiiłtsood áádóó bidághaa' ałníi'go yits'ą́ą́' nahjį' adeishéé' índa dabi'éé' ałníi'jį' bitł'aa' bíighahdóó nahjį' adayiizhgizhgo yéé'níłnii' .
10:10:005:0	Nít'éé' David hoł hóóne'go ła' ákǫ́ǫ́ bidááhgóó i'jííł'a' , háálá díí hastóí t'áá íiyisí ádaa yádandzin . Áádóó aláahgo naat'áanii áhodííniid , T'áá Jériko kin haal'áadi nahísóotą́ągo nihidághaa' nídadínóoyééł , áko índa nídoohkah .
10:10:006:0	Ákohgo Áman dine'é éí David doo bíłdin da áda'diilyaago yaa ákódaniizį́į́' , áko dah da'diił'a'go Beth-rííhob kin haal'áádóó Síriya dine'é bisiláo áádóó Zóba kéyahdóó Síriya dine'é bisiláo t'áá ni' nidaabaahígíí naadiindi míilgo índa aláahgo naat'áanii Méíyakah bisiláo t'ááłáhídi míilgo índa Íshtab dine'é bisiláo éí naakits'áadahdi míilgo yik'é nida'iizláago yíká ada'iis'a' .
10:10:007:0	Áko David éí yaa hodiizts'ą́ą'go Jó'ab áádóó diné dahayóii dah deínéhígíí t'áá ałtso ákǫ́ǫ́ yi'iisnii' .
10:10:008:0	Áádóó Áman dine'é ch'ídahaaznáago anaa' dahodoołeeł biniyé kin haal'áii bił yah a'atiingi ałkéé' ni'ahí'nil , áko Síriya dine'é bisiláo éí Zóba kéyahdóó Rííhob kin haal'áádóó áádóó Íshtab haz' ánídóó índa aláahgo naat'áanii Méíyakah bisiláo danilíinii éí ats'áhoní'ą́ądi honíteeldi ałkéé' nida'ahiis'nil .
10:10:009:0	Nít'éé' Jó'ab éí siláo hadáahgi ałkéé' danít'i'go áádóó hakéédę́ę'go haniyé ałkéé' dadeezt'i'go dziiłtsą́ągo Ízrel dine'é dabíiyisii t'áá ałtso bitahdę́ę́' ła' nídziizláa'go Síriya dine'é bisiláo yił da'ahidoogą́ą́ł biniyé bich'į' nizhnínil .
10:10:010:0	Áádóó diné dabíiyisii łahjį'ígíí éí hak'is Abísheiyai bich'į' bizhníłnii' ; éí Áman dine'é yił da'ahidoogą́ą́ł biniyé ałkéé' niidoonił .
10:10:011:0	Áko ázhdííniid , Síriya dine'é bisiláo shilááh ábóodziil ládą́ą́' , shíká adíílwoł , nidi Áman dine'é nilááh ábóodziil ládą́ą́' , shí aadi hideeshdáałgo níká adeeshwoł .
10:10:012:0	Chánahgo í'díínílzin ; haa'íshą' diné daniidlíinii nihidine'é bá ana'í bił da'ahidiigą́ą́ł áádóó nihiDiyin God bikin hadaas'áii bá ákódadii'nííł , áko Bóhólníihii t'áá bí bił yá'át'éhígi íidoolííł .
10:10:013:0	Áádóó Jó'ab heedzá índa diné yił naakaígíí bił Síriya dine'é yich'į' anaa' dahodoohłeeł biniyé yit'áahjį' eekaigo hats'ą́ąjį' dadínéezhchą́ą́' .
10:10:014:0	Áádóó Áman dine'é éí Síriya dine'é danéechéehgo dayiiłtsą́ągo , bí ałdó' Abísheiyai yits'ą́ąjį' dadínéezhchą́ą'go , kin haal'áajį' yah anídahaazhjéé' . Áko Jó'ab éí Áman dine'é bits'ą́ą́dóó t'ą́ą́' dah nízhdiikaigo Jerúsalemgi níjíkai .
10:10:015:0	Áko Síriya dine'é bisiláo éí Ízrel dine'é bisiláo hak'eh dadeesdlį́į'go baa ákodazniizį́į'go t'áá ła' bizhi'ee t'ááłáhíjį' áłah dzizlį́į́' .
10:10:016:0	Áádóó Hadadíízer dah adiił'a'go Síriya dine'é bisiláo tooh wónaanídi kéédahat'ínígíí áłah áyiilaa , áko áádę́ę́' Híílam hoolyéejį' yíkai ; Shóbak éí Hadadíízer bisiláo dah deínéehii yinanit'a'í nilíinii halą́ąjį' yigáałgo jíkai .
10:10:017:0	Áádóó David díí bee hoł hóóne'go Ízrel dine'é bisiláo t'áá ałtso áłah áyiilaago Jórdan tooh ha'naa niikaigo Híílam hoolyéejį' yíkai , áko Síriya dine'é bisiláo ałkéé' ni'ahí'nilgo David yich'į' nídadiibaa'go yił da'ahoogą́ą́' .
10:10:018:0	Nít'éé' Síriya dine'é bisiláo éí Ízrel dine'é bisiláo yik'ee dadínéezhchą́ą́' , áko David éí Síriya bisiláo tsosts'idi neeznádiin tsindaabąąs bijáád naakiígíí yee nidaabaahii , índa dízdiindi mííl łį́į́' yee nidaabaahii nidzistseed , áádóó Shóbak siláo yinanit'a'í nilíinii bik'eh jideesdlį́į'go ákwii daaztsą́ .
10:10:019:0	Áádóó aláahgo naat'áanii danilíinii t'áá ałtso Hadadíízer yá nidaal'a' nít'éé' yę́ę Ízrel dine'é bik'eh dadeesdlį́į'go bił béédahoozingo , Ízrel dine'é yił k'é nídahasłį́į́' , áádóó t'óó yá nidaal'a'í daazlį́į́' . Áko Síriya dine'é éí Áman dine'é yíká anáádoojahígíí yik'ee bił daayéé' .
