43:1:001:1	Saad jílíinii éí diné dzizlį́į́'
43:1:001:0	Hodeeyáadi Saad jílį́, Saad éí Diyin God bił hojílǫ́, índa Saad éí Diyin God jílį́. 
43:1:002:0	T'áá éí hodeeyáadi Diyin God bił hojílǫ́; 
43:1:003:0	éí t'áá ałtsoní ájiilaa, índa dahólónígíí t'ááłá'í nidi t'áá hádingo t'áadoo ła' ályaa da. 
43:1:004:0	Iiná hwii' hólǫ́, áko éí iinánígíí nihokáá' dine'é bá bee adinídíín. 
43:1:005:0	Éí adinídínígíí chahałheeł góne' adííłdíín, áko chahałheeł doo bidééłníi da. 
43:1:006:0	Diné léi' John wolyéego Diyin God biníł'a'. 
43:1:007:0	Adinídíín hwee bééhodoozįįł biniyé jiníyá, adinídíín nilíinii baa ch'íhozhdoo'áałgo, diné t'áá ałtso hanahjį' da'iidoodląął biniyé. 
43:1:008:0	Hó éí doo adinídíín jílį́į da, nidi adinídíín t'óó baa ch'íhozhdoo'ááł biniyé ho'deel'a'. 
43:1:009:0	Adinídíín t'áá aaníinii éí diné ts'ídá t'áá ałtso bá azhdiníłdíin doogo nahasdzáán bikáa'jį' jiníyá; 
43:1:010:0	nihokáá' nijigháá nít'éé', áádóó hwee nahasdzáán hazlį́į́', nidi nihokáá' dine'é t'áadoo hwéédahoosįįd da; 
43:1:011:0	t'áá hóhígíí baazhníyá, nidi t'áá hó hadine'é doo dahoniizį́į' da. 
43:1:012:0	Nidi t'áá háiida bíí' jidooleełgo yee lą́ asłį́'ígíí éí házhi' yee hózhíigo hoodlą́ągo haa dzólíii éí Diyin God ba'áłchíní dooleełgo bee óhólnííh baazhdiní'ą́. 
43:1:013:0	Éí doo dił bits'ą́ą́dóó nidahaazhchį́į da, doo nidi ats'íís yinízinii bik'ehgo da, doo nidi diné íinízinii bik'ehgo da, nidi Diyin God bits'ą́ą́dóó nidahaazhchį́. 
43:1:014:0	Saadígíí éí diné dzizlį́į́', áádóó ajooba' áádóó t'áá aaníinii hwii' hadeezbingo nihitahgóó kééhojit'į́į́ nít'éé'; aTaa' nilíinii t'ááłá'í bá yizhchínígíí yee ayóó át'éii bee ayóó ájít'éhígíí daníil'į́į́'. 
43:1:015:0	John haa ch'íhoní'ą́ągo yéego haadzíi'go ání, Kót'éego haa haasdzíi'ii éí díí hó ájít'į́, Shikéédę́ę́' náájoodáałii éí shiláahgo ájít'é, háálá t'áá shítséedi hojílǫ́. 
43:1:016:0	Hwee ajooba' doo nídínééshgóó hwii' hólóonii t'áá áníiltso nihił k'ee'ąą nídílzhishgo nihee nídahoodleeł. 
43:1:017:0	Háálá bee haz'áanii éí Mózes binahjį' aa deet'ą́, nidi ajooba' índa t'áá aaníinii éí Jesus Christ binahjį' nihee hazlį́į́'. 
43:1:002:1	John Tó Yee Asį́įhii nahalne'
43:1:018:0	Diné ła'da hádą́ą'da doo Diyin God yiyiiłtsą́ą da; biYe' t'ááłá'í bá yizhchínígíí éí aTaa' nilíinii ádíyóltą'ii, éí t'éiyá ájít'éegi haa ch'íhoní'ą́. 
43:1:019:0	Jew dine'é éí nááda'iiłniihii índa Líívai dine'é ła' Jerúsalemdóó John yich'į' ada'as'a'go, Háishą' ánít'į́? daaníigo nidahódééłkid yę́ędą́ą́', kót'éego John ch'íhoní'ą́, 
43:1:020:0	Shí doo Christ ásht'į́į da, níigo t'áadoo nahont'iní, t'áá aaníígóó ádaa hoolne'. 
43:1:021:0	Áko nináádahódééłkid, Ákoshą' háí ánít'į́? Da' Iiláíjahásh ánít'į́? Áko ázhdííniid, Doo éí ásht'į́į da. Áádóó nináádahódééłkidgo ádaaní, Diyin God yá halne'ii yígháhígíí, éí daats'í ánít'į́? Áko, Dooda, náázhdoo'niid. 
43:1:022:0	Ákohgo índa ánáádahodoo'niid, Ákoshą' ts'ídá háí ánít'į́? Bee nihił hólne', áko nidanihił'a'ígíí bee bił nídahodiilnih. Ts'ídá ha'át'íí diníigo ádaa ch'íhonít'aah? 
43:1:023:0	Áádóó ázhdííniid,Bóhólníihii bá honít'i'ii k'éhézdongo ádaahłééh,níigo ła' honoojíidi yéego ánínígíí biinéé' nishłį́,t'áá Diyin God yá halne'ii Aizéíyah ádííniidígi át'éego.  
43:1:024:0	Áko éí Férisii danilíinii bits'ą́ą́dę́ę́' nidabi'diis'a'go, 
43:1:025:0	nidahódééłkidgo ádahałní, Christ, doodaii' Iiláíjah, doodaii' Diyin God yá halne'ii doo nílį́į́góó ałdó', ha'át'éegoshą' áko tó bee ísį́į́h? 
43:1:026:0	John hanáánáádzíi'go áhodííniid, Shí lá éí tó bee asį́įh ni, nidi ła' akǫ́ǫ́ nihitah dzizínígíí, doo hwéédahonohsin daígíí, 
43:1:027:0	t'áá éí shikéédę́ę́' náájoodááł, éí hakétł'óól k'e'deesh'ałgi doo bą́ą́h nishłį́į da. 
43:1:003:1	Diyin God biDibé Yázhí jílíinii
43:1:028:0	Díí Jórdan tooh wónaanídi, Béthanii hoolyéedi, John tó yee da'íísį́'ígi áhóót'įįd. 
43:1:029:0	Náábiiskání John, éí Jesus hach'į' yigáałgo jiiłtsą́, áko ázhdííniid, Jó'akon, Diyin God biDibé Yázhí jílíinii dahonół'į́, éí nihokáá' dine'é bibąąhági át'éii yóó'iidii'aahii jílį́! 
43:1:030:0	Díí kódíshníigo haa hweeshne'ígíí ájít'į́, Shikéédę́ę́' diné ła' t'áá shiláahgo át'éii náánáádááł, háálá hó éí shítséedi hojílǫ́. 
43:1:031:0	Shí nidi doo hwééhasin da nít'éé', nidi Ízrel dine'é bich'į' yit'íní í'dizhdoolnííł biniyé tó bee asį́įhgo níyá. 
43:1:032:0	Áko John haa ch'íhoní'ą́ągo ání, Yádiłhił biyi'dę́ę́' Níłch'i Diyinii hasbídí nahalingo hak'ijį' bidah hooleełgo yiiłtsą́, áko t'áá ákwii dah neezdá. 
43:1:033:0	Shí nidi doo hwééhasin da nít'éé', nidi Diyin God éí tó bee asį́įh doo biniyé shiníł'a'ígíí áshidííniid, T'áá Níłch'i Diyinii hak'ijį' bidah hooleełgo t'áá ákwii hak'i hoole'go hwiiniłtsánígíí, t'áá éí Níłch'i Diyinii bee adzisį́įh doo. 
43:1:004:1	Ts'ídá átsé íhooł'aahii dzizlį́į'ii
43:1:034:0	Áko t'áá shí yiiłtsą́, áádóó baa ch'íhoní'ą́ągo ádíshní, Díí Diyin God biYe' át'į́į́ lá. 
43:1:035:0	Náábiiskání John hóhooł'aahígíí nidilt'éego bił nináádadzisdzį́, 
43:1:036:0	áko Jesus yigáałgo jinééł'į́į'go ázhdííniid, Jó'akon, Diyin God biDibé Yázhí jílíinii honół'į́! 
43:1:037:0	Nít'éé' hóhooł'aahii ázhdííniidígíí yidiizts'ą́ą'go t'áá áłah Jesus yikéé' dah dii'áázh. 
43:1:038:0	Nít'éé' Jesus názyizgo bikéé' joo'ashgo hoołtsą́ągo áhodííniid, Ha'át'íishą' hanohtá? Áko ábizhdííniid, Rábai (éí Na'nitiní jiníigo óolyé), háadishą' kééhót'į́? 
43:1:039:0	Áko áhodííniid, Tį' ákǫ́ǫ́, t'áá nihí hwiidoołtsééł. Áádóó bił níjíkaigo sidáadi hojiiłtsą́, áadi bił nidzíiztą́ągo hwee ada'az'ą́ (hííłch'į'go hanii shį́į́). 
43:1:040:0	Nizhdilt'éego John yáłti'go jidiizts'ą́ą'go t'áá áko Jesus bikéé' dashdii'ázhígíí éí ła' Andrew át'į́, Sáíman Peter yił háá'áázh. 
43:1:041:0	Éí yił háá'áázh Sáíman wolyéhígíí áłtsé bik'ízhníyáago ábizhdííniid, Mesáíyah bik'íniit'áázh (éí Christ jiníigo óolyé). 
43:1:005:1	Philip áádóó Natháneiyel bíká áhodoo'niid
43:1:042:0	Áádóó Andrew éí bił hajíí'áázh Jesus bich'į' bił jiní'áázh, áko Jesus honééł'į́į'go áhodííniid, Jó, Sáíman, John biye' ánít'į́į́ lá. Síífas yinílyée doo (éí Peter ałdó' wolyé, éí tsé jiníigo óolyé). 
43:1:043:0	Náábiiskání Jesus éí Gáliliigóó deeshááł niizį́į́'. Áko áadi Philip bik'ízhníyáago ábizhdííniid, Shikéé' yínááł. 
43:1:044:0	Kin haal'á Bethséyida hoolyéédóó Philip naaghá, Andrew áádóó Peter ałdó' t'áá áádóó naa'aash. 
43:1:045:0	Philip éí Natháneiyel bik'ízhníyáago ábizhdííniid, Bee haz'áanii biyi' Mózes yee ak'e'ashchínígíí índa Diyin God yá dahalne'ii ałdó' yee ak'eda'ashchį́įgo yaa dahoolne'ígíí bik'íniikai, éí Názarethdóó Jesus, Jóseph biye' jílíinii ájít'į́į́ lá. 
43:1:046:0	Nít'éé' Natháneiyel áhodííniid, Da' Názarethdóó ha'át'íhída yá'át'éehiísh t'áá hodooleeł? Áko Philip áhodííniid, Tį', t'áá ni nił bééhodoozįįł. 
43:1:047:0	Nít'éé' Jesus éí Natháneiyel hach'į' yigáałgo jiiłtsą́ągo ábijiní, Jó'akon, dahonół'į́, eii t'áá aaníí Ízrel dine'é ła', anót'ááh bii' ádinii nilį́į́ lá! 
43:1:048:0	Natháneiyel áhodííniid, Hait'éegoshą' shééhonísin? Jesus hanáánáádzíi'go áháłní, T'ah doo Philip hágo niłniih yę́ędą́ą́' fig sikaadii biyaagi sínídáago niiłtsą́. 
43:1:049:0	Natháneiyel ánááhodoo'niid, Na'nitiní, Diyin God biYe' nílį́į́ lá! Ízrel dine'é Aláahgo biNanit'a'í nílį́į́ lá! 
43:1:050:0	Áko Jesus hach'į' hanáánáádzíi'go áhodííniid, Fig sikaadii biyaagi sínídáago niiłtsą́ nidííniidígíísh bąą shiisínídląąd? Díí t'ah biláhígo ádaat'éii yidííłtsééł. 
43:1:051:0	Áádóó ánááhodoo'niid, T'áá aaníí, t'áá aaníígóó ándishní, Yádiłhił ąą át'éego, índa Diné Silį́į'ii bich'į' Diyin God bidiyingo nidaal'a'í dego áádóó yaago ałnánákahgo yidííłtsééł. 
