43:8:001:1	Asdzání adiléego hadeel'į́į́'
43:8:001:0	Jesus t'éiyá Dził Álivz bighą́ą́'góó dashdiiyá. 
43:8:002:0	Áádóó t'áá íiyisí t'ah abínígo kin bii' sohodizin bił haz'ą́ą́ góne' yah anáádzoodzáago, diné t'áá ałtso haa áłah silį́į́', áko dzineezdáago nazneeztą́ą́'. 
43:8:003:0	Nít'éé' bee haz'áanii yínda'niłtinii índa Férisii danilíinii asdzání ła' adiléé lágo yik'ídaaskaigo Jesus yaa deizlóóz, áko diné biníi'gi dah hoosį'go, 
43:8:004:0	Jesus ádeidííniid, Na'nitiní, díí asdzání adiléé lágo habi'deel'į́į́'. 
43:8:005:0	Ákódaat'ínígíí bił nidadziilne' doo biniyé bee haz'áanii biyi' Mózes yee haadzíi' ni'. Nidi nishą' ha'át'éego bá hadíídzih? 
43:8:006:0	Díí hákada'iiłhilgo binahjį' hak'i dahodidoo'ááł biniyé ádahodííniid. Nidi Jesus yaa ádziidzaago doo baa ná'áhozhdílt'į́į́góó hála' bee łeeshtahgi ni'dzizoh. 
43:8:007:0	Áko t'ah nidahódíłkidgo, de ádziidzaago ábizhdííniid, T'áá háiida nihitahgi ts'ídá t'ah doo ádił iisiihii éí háni'dii átsé tsé bee díí asdzání nízhdidoołniił. 
43:8:008:0	Áko yaa ánáádziidzaago hála' bee łeeshtahgi nináá'dzízoh. 
43:8:009:0	Nidi asdzání yik'i dahodii'ánígíí éidíígíí deidiizts'ą́ą'go, ádił nida'iisíi'ii yee ádaa ákodaniidzį́į'go t'ááłá'í nítínígo t'áá ałkéé' ch'éheeskai, aląąjį' nidaakaígíí átsé, akéédę́ę́' nidaakaígíí bee nihoolzhiizh, áko Jesus t'áá sáhí dzizlį́į'go, asdzání t'éí hadááhdę́ę́' sizį́. 
43:8:010:0	Áádóó Jesus de ádzaago éí asdzání yik'i nághalgo áyidííniid, Asdzání, nik'i dahodii'ah yę́ęshą' háájí? Da' dinéésh doo ła' atínidi'doolníiłgo yee ná haadzíi' da? 
43:8:002:1	Jesus éí nihokáá' dine'é bá adizhníłdíín
43:8:011:0	Áko ábijiní, Doo ła' da, Bóhólníihii. Nít'éé' Jesus ánááhodoo'niid, Shí ałdó' nidi'yoolyéełgo doo bee ná hadeesdzih da; nílááh náádááł, t'áadoo bąąhági ánáánít'íní.] 
43:8:012:0	Nít'éé' Jesus éí diné yich'į' hanáánáádzíi'go áyidííniid, Nihokáá' dine'é bá adinídíín nishłį́; t'áá háiida shikéé' joogáłígíí éí doo chahałheełgóó nináájídáa da doo, nidi iiná bee adinídíinii hwee hólǫ́ǫ dooleeł. 
43:8:013:0	Éí bąą Férisii danilíinii ádahodííniid, T'áá ni ádaa hólne', áko hólne'ígíí doo t'áá aaníi da. 
43:8:014:0	Jesus ánááhodoo'niid, Azhą́ shį́į́ t'áá shí ádaa hashne' nidi, hashne'ígíí éí t'áá aaníí, háálá níyáádę́ę́' índa déyáágóó shił bééhózin, nidi nihí éí níyáádę́ę́' índa déyáágóó doo nihił béédahózin da. 
43:8:015:0	Nihí ats'íís k'ehgo t'éiyá ándahoyoh'aah, shí éí diné doo ła' bá nihwiish'aah da. 
43:8:016:0	Ákondi ánihwiish'aah ládą́ą́', bee ánihwiish'aahii éí t'áá aaníí, háálá doo t'áá sáhí ánihwiish'aah da, nidi shí áádóó aTaa' shiníł'a'ii biłgo t'éiyá. 
43:8:017:0	Bee nihá nahaz'áanii biyi'dóó bee ak'e'ashchį́, diné nidilt'éego oo'íinii nilį́įgo aheełt'éego halne'go éí t'áá aaníí; 
43:8:018:0	shí t'áá shí ádaa hashne', áádóó aTaa' shiníł'a'ii ałdó' shaa halne'. 
43:8:019:0	Áko ádahodííniid, Háadishą' niTaa'? Jesus ánáádoo'niid, Shí nidi doo shéédahonohsin da, shiTaa' ałdó' doo béédahonohsin da; shéédahonohsingo t'éiyá shiTaa' ałdó' béédahonohsin doo nít'éé'. 
43:8:003:1	Déyáágóó doo dadohkááh át'ée da
43:8:020:0	Kin bii' sohodizin bił haz'ą́ą́ góne' béeso ahi'níiłgi na'nitingo díí saadígíí Jesus yee haadzíí', nidi ła'da doo hoołtsoodí da, háálá t'ah doo áajį' há ahalzhíish da. 
43:8:021:0	Jesus ánááhodoo'niid, Shí k'ad dah diishááh, áko nihí hadashinohtáa dooleeł, ákondi t'áá ádił da'íínółzíihgo dadínóohnééł; déyáágóó doo dadohkááh át'ée da. 
43:8:022:0	Áko Jew dine'é ádadííniid, Da' ázhdiyoolyééłísh, háálá, Déyáágóó doo dadohkááh át'ée da, jiní? 
43:8:023:0	Áádóó ábizhdííniid, Nihí nihokáá'dóó nidaahkai, shí t'éiyá wót'ááhdę́ę́' naashá; nihí nahasdzáán bits'ą́ą́dóó dahosoolį́į́', shí doo nahasdzáán bits'ą́ą́dóó hosélį́į' da. 
43:8:024:0	Éí bąą ánihidííniid ni', T'áá ádił da'íínółzíihgo dadínóohnééł, háálá shí Christ ásht'į́įgo doo deinohdlą́ą́góogo t'áá ádił da'íínółzíihgo dadínóohnééł. 
43:8:025:0	Áko ádahodííniid, Háishą' ánít'į́? Jesus ánááhodoo'niid, Ts'ídá átséédą́ą́' nihił hweeshne'ígíí t'áá éí ásht'į́. 
43:8:026:0	Lą'ígóó bee nihich'į' hahideesdzihii áádóó bee nihaa nídéesht'įįłii hólǫ́, nidi shiníł'a'ígíí éí t'áá aaníinii nilį́, áko bits'ą́ą́dóó diséts'ą́ą'ii nihokáá' dine'é bee bił hashne'. 
43:8:027:0	ATaa' baa yájíłti'go t'áadoo yik'ida'diitą́ą da. 
43:8:028:0	Áko Jesus áhodííniid, Diné Silį́į'ii dah dahidoołt'e'go índa, shí t'áá éí ásht'į́įgo nihił béédahodoozįįł, áádóó doo t'áá shí shóhólníihgo ha'át'íhída baa naasháa da, nidi shiTaa' yee nashineeztą́'ígi át'éego díí bee yáshti'. 
43:8:029:0	Shiníł'a'ígíí éí shił hólǫ́; aTaa' doo t'áá shízhání shi'níłnii' da, háálá bił hóshónígíí t'éí t'áá áłahjį' baa naashá. 
43:8:004:1	T'áá aaníinii nihéédeididoochił
43:8:030:0	Díí saad bee hadzoodzíi'go lą'í dahoosdląąd. 
43:8:031:0	Áko Jesus éí Jew dine'é dahoosdląądígíí ábizhdííniid, Shizaad bik'eh wohkahgo t'éiyá t'áá aaníí shídahooł'aahii dadoohłeeł, 
43:8:032:0	áko t'áá aaníinii nihił béédahodoozįįł, índa t'áá aaníinii nihéédeididoochił. 
43:8:033:0	Áádóó ánáádahodoo'niid, Nihí Éíbraham bits'ą́ą́dóó da'ahílchíihii daniidlį́, áko ts'ídá t'áadoo diné ła' binaalte' dasiidlį́į' da. Ákoshą' ha'át'éego, Nihéédadidoochił, diní? 
43:8:034:0	Nít'éé' Jesus ánááhodoo'niid, T'áá aaníí, t'áá aaníígóó ánihidishní, T'áá háiida bąąhági ááníiłii t'áá éí bąąhági át'éii binaalte' jílį́. 
43:8:035:0	Jó, naalte' doo hool'áágóó a'ałk'ee sidáa da, nidi aYe' t'éiyá hool'áágóó hólǫ́. 
